Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	59	 9	94 	 2398 	 23.98 
0	0	 4	 1	Row	34	 5	180 	 1460 	 14.6 
0	0	 4	 2	Row	34	 0	1 	 1 	 0.01 
0	[0;31;40m4[0m	 [0;31;40m2[0m	 5	Row	180	 4	2 	 1026 	 10.26 
0	[0;31;40m4[0m	 [0;31;40m2[0m	 0	Row	61	 2	4 	 516 	 5.16 

1	0	 4	 0	Row	20	 3	209 	 977 	 9.77 
1	0	 4	 0	Col	20	 3	194 	 962 	 9.62 

2	0	 4	 0	Row	158	 10	207 	 2767 	 27.67 
2	0	 4	 0	Col	158	 10	189 	 2749 	 27.49 

3	0	 4	 0	Row	180	 12	163 	 3235 	 32.35 
3	0	 4	 0	Col	180	 12	147 	 3219 	 32.19 

4	0	 4	 0	Row	227	 4	2 	 1026 	 10.26 
4	0	 4	 0	Col	227	 3	241 	 1009 	 10.09 

5	0	 4	 0	Row	48	 12	93 	 3165 	 31.65 
5	0	 4	 0	Col	48	 12	77 	 3149 	 31.49 

6	0	 4	 0	Row	95	 12	31 	 3103 	 31.03 
6	0	 4	 0	Col	95	 12	16 	 3088 	 30.88 

7	0	 4	 0	Row	62	 5	127 	 1407 	 14.07 
7	0	 4	 0	Col	62	 5	111 	 1391 	 13.91 

8	0	 4	 0	Row	196	 2	41 	 553 	 5.53 
8	0	 4	 0	Col	196	 2	24 	 536 	 5.36 

9	0	 4	 0	Row	245	 14	33 	 3617 	 36.17 
9	0	 4	 0	Col	245	 14	17 	 3601 	 36.01 

10	0	 4	 0	Row	166	 13	11 	 3339 	 33.39 
10	0	 4	 0	Col	166	 12	251 	 3323 	 33.23 

11	0	 4	 0	Row	129	 12	231 	 3303 	 33.03 
11	0	 4	 0	Col	129	 12	214 	 3286 	 32.86 

12	0	 4	 0	Row	153	 3	53 	 821 	 8.21 
12	0	 4	 0	Col	153	 3	37 	 805 	 8.05 

13	0	 4	 0	Row	152	 2	98 	 610 	 6.1 
13	0	 4	 0	Col	152	 2	81 	 593 	 5.93 

14	0	 4	 0	Row	240	 3	244 	 1012 	 10.12 
14	0	 4	 0	Col	240	 3	228 	 996 	 9.96 

15	0	 4	 0	Row	174	 4	219 	 1243 	 12.43 
15	0	 4	 0	Col	175	 4	185 	 1209 	 12.09 

16	0	 4	 0	Row	114	 11	149 	 2965 	 29.65 
16	0	 4	 0	Col	114	 11	133 	 2949 	 29.49 

17	0	 4	 0	Row	11	 12	26 	 3098 	 30.98 
