Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	136	 5	151 	 1431 	 14.31 
0	0	 4	 0	Col	136	 3	103 	 871 	 8.71 
0	0	 4	 0	Row	194	 6	40 	 1576 	 15.76 
0	0	 4	 0	Col	194	 6	16 	 1552 	 15.52 

1	0	 4	 0	Row	75	 2	195 	 707 	 7.07 
1	0	 4	 0	Col	75	 2	162 	 674 	 6.74 

2	0	 4	 0	Row	1	 11	144 	 2960 	 29.6 
2	0	 4	 0	Col	1	 11	113 	 2929 	 29.29 

3	0	 4	 0	Row	84	 7	143 	 1935 	 19.35 
3	0	 4	 0	Col	84	 7	117 	 1909 	 19.09 

4	0	 4	 0	Row	13	 11	196 	 3012 	 30.12 
4	0	 4	 0	Col	13	 11	173 	 2989 	 29.89 

5	0	 4	 0	Row	164	 9	145 	 2449 	 24.49 
5	0	 4	 0	Col	164	 9	126 	 2430 	 24.3 

6	0	 4	 0	Row	209	 15	80 	 3920 	 39.2 
6	0	 4	 0	Col	209	 15	19 	 3859 	 38.59 

7	0	 4	 0	Row	126	 9	31 	 2335 	 23.35 
7	0	 4	 0	Col	126	 9	10 	 2314 	 23.14 

8	0	 4	 0	Row	56	 10	93 	 2653 	 26.53 
8	0	 4	 0	Col	56	 10	50 	 2610 	 26.1 

9	0	 4	 0	Row	31	 9	100 	 2404 	 24.04 
9	0	 4	 0	Col	31	 9	72 	 2376 	 23.76 

10	0	 4	 0	Row	75	 10	202 	 2762 	 27.62 
10	0	 4	 0	Col	75	 10	162 	 2722 	 27.22 

11	0	 4	 0	Row	28	 9	175 	 2479 	 24.79 
11	0	 4	 0	Col	28	 9	146 	 2450 	 24.5 

12	0	 4	 0	Row	92	 12	5 	 3077 	 30.77 
12	0	 4	 0	Col	92	 11	236 	 3052 	 30.52 

13	0	 4	 0	Row	118	 10	151 	 2711 	 27.11 
13	0	 4	 0	Col	118	 10	127 	 2687 	 26.87 

14	0	 4	 0	Row	111	 3	205 	 973 	 9.73 
14	0	 4	 0	Col	111	 3	181 	 949 	 9.49 

15	0	 4	 0	Row	99	 9	40 	 2344 	 23.44 
15	0	 4	 0	Col	99	 9	18 	 2322 	 23.22 

16	0	 4	 0	Row	87	 11	211 	 3027 	 30.27 
16	0	 4	 0	Col	87	 11	184 	 3000 	 30.0 

17	0	 4	 0	Row	184	 11	49 	 2865 	 28.65 
17	0	 4	 0	Col	184	 10	252 	 2812 	 28.12 

18	0	 4	 0	Row	216	 9	194 	 2498 	 24.98 
18	0	 4	 0	Col	216	 9	158 	 2462 	 24.62 
