Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906941, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	104	 0	111 	 111 	 1.11 
0	0	 4	 0	Col	104	 0	3 	 3 	 0.03 
0	0	 4	 0	Row	239	 10	116 	 2676 	 26.76 
0	0	 4	 0	Col	239	 10	100 	 2660 	 26.6 

1	0	 4	 0	Row	34	 9	78 	 2382 	 23.82 
1	0	 4	 0	Col	34	 9	59 	 2363 	 23.63 

2	0	 4	 0	Row	19	 10	69 	 2629 	 26.29 
2	0	 4	 0	Col	19	 10	56 	 2616 	 26.16 

3	0	 4	 0	Row	79	 0	159 	 159 	 1.59 
3	0	 4	 0	Col	79	 0	83 	 83 	 0.83 

4	0	 4	 0	Row	179	 9	211 	 2515 	 25.15 
4	0	 4	 0	Col	179	 9	166 	 2470 	 24.7 

5	0	 4	 0	Row	210	 11	130 	 2946 	 29.46 
5	0	 4	 0	Col	210	 11	112 	 2928 	 29.28 

6	0	 4	 0	Row	49	 7	60 	 1852 	 18.52 
6	0	 4	 0	Col	49	 7	43 	 1835 	 18.35 

7	0	 4	 0	Row	115	 11	245 	 3061 	 30.61 
7	0	 4	 0	Col	115	 11	216 	 3032 	 30.32 

8	0	 4	 0	Row	99	 9	226 	 2530 	 25.3 
8	0	 4	 0	Col	99	 9	202 	 2506 	 25.06 

9	0	 4	 0	Row	66	 9	154 	 2458 	 24.58 
9	0	 4	 0	Col	66	 9	133 	 2437 	 24.37 

10	0	 4	 0	Row	145	 9	21 	 2325 	 23.25 
10	0	 4	 0	Col	145	 8	247 	 2295 	 22.95 

11	0	 4	 0	Row	127	 0	49 	 49 	 0.49 

12	0	 4	 0	Row	133	 9	0 	 2304 	 23.04 
12	0	 4	 0	Col	133	 8	230 	 2278 	 22.78 

13	0	 4	 0	Row	16	 12	31 	 3103 	 31.03 
13	0	 4	 0	Col	16	 12	11 	 3083 	 30.83 

14	0	 4	 0	Row	133	 11	57 	 2873 	 28.73 
14	0	 4	 0	Col	133	 11	37 	 2853 	 28.53 

15	0	 4	 0	Row	128	 8	173 	 2221 	 22.21 
15	0	 4	 0	Col	128	 8	151 	 2199 	 21.99 

16	0	 4	 0	Row	160	 8	200 	 2248 	 22.48 
16	0	 4	 0	Col	160	 8	180 	 2228 	 22.28 

17	0	 4	 0	Row	225	 11	182 	 2998 	 29.98 
17	0	 4	 0	Col	225	 11	164 	 2980 	 29.8 

18	0	 4	 0	Row	246	 0	184 	 184 	 1.84 
18	0	 4	 0	Col	247	 0	83 	 83 	 0.83 

19	0	 4	 0	Row	153	 4	229 	 1253 	 12.53 
