Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	254	 12	62 	 3134 	 31.34 
0	0	 4	 0	Col	254	 12	52 	 3124 	 31.24 
0	0	 4	 0	Row	10	 9	105 	 2409 	 24.09 
0	0	 4	 0	Col	10	 9	85 	 2389 	 23.89 

1	0	 4	 0	Row	12	 11	18 	 2834 	 28.34 
1	0	 4	 0	Col	12	 11	3 	 2819 	 28.19 

2	0	 4	 0	Row	168	 11	22 	 2838 	 28.38 
2	0	 4	 0	Col	168	 11	7 	 2823 	 28.23 

3	0	 4	 0	Row	248	 10	149 	 2709 	 27.09 
3	0	 4	 0	Col	248	 10	131 	 2691 	 26.91 

4	0	 4	 0	Row	78	 9	106 	 2410 	 24.1 
4	0	 4	 0	Col	78	 9	93 	 2397 	 23.97 

5	0	 4	 0	Row	72	 11	110 	 2926 	 29.26 
5	0	 4	 0	Col	72	 11	97 	 2913 	 29.13 

6	0	 4	 0	Row	133	 10	34 	 2594 	 25.94 
6	0	 4	 0	Col	133	 10	23 	 2583 	 25.83 

7	0	 4	 0	Row	68	 11	231 	 3047 	 30.47 
7	0	 4	 0	Col	68	 11	219 	 3035 	 30.35 

8	0	 4	 0	Row	184	 1	192 	 448 	 4.48 
8	0	 4	 0	Col	184	 1	180 	 436 	 4.36 

9	0	 4	 0	Row	199	 11	233 	 3049 	 30.49 
9	0	 4	 0	Col	199	 11	221 	 3037 	 30.37 

10	0	 4	 0	Row	80	 11	154 	 2970 	 29.7 
10	0	 4	 0	Col	80	 11	140 	 2956 	 29.56 

11	0	 4	 0	Row	48	 8	40 	 2088 	 20.88 
11	0	 4	 0	Col	48	 8	27 	 2075 	 20.75 

12	0	 4	 0	Row	199	 7	118 	 1910 	 19.1 
12	0	 4	 0	Col	199	 7	103 	 1895 	 18.95 

13	0	 4	 0	Row	235	 11	47 	 2863 	 28.63 
13	0	 4	 0	Col	235	 11	30 	 2846 	 28.46 

14	0	 4	 0	Row	157	 10	203 	 2763 	 27.63 
14	0	 4	 0	Col	157	 10	193 	 2753 	 27.53 

15	0	 4	 0	Row	211	 10	37 	 2597 	 25.97 
15	0	 4	 0	Col	211	 10	22 	 2582 	 25.82 

16	0	 4	 0	Row	184	 5	60 	 1340 	 13.4 
16	0	 4	 0	Col	184	 5	48 	 1328 	 13.28 

17	0	 4	 0	Row	11	 10	203 	 2763 	 27.63 
17	0	 4	 0	Col	11	 10	192 	 2752 	 27.52 

18	0	 4	 0	Row	113	 8	171 	 2219 	 22.19 
18	0	 4	 0	Col	113	 8	159 	 2207 	 22.07 

19	0	 4	 0	Row	90	 9	242 	 2546 	 25.46 
19	0	 4	 0	Col	90	 9	230 	 2534 	 25.34 

20	0	 4	 0	Row	97	 11	182 	 2998 	 29.98 
20	0	 4	 0	Col	97	 11	170 	 2986 	 29.86 

21	0	 4	 0	Row	163	 11	124 	 2940 	 29.4 
21	0	 4	 0	Col	163	 11	113 	 2929 	 29.29 

22	0	 4	 0	Row	86	 9	251 	 2555 	 25.55 
22	0	 4	 0	Col	86	 9	238 	 2542 	 25.42 

23	0	 4	 0	Row	250	 7	184 	 1976 	 19.76 
23	0	 4	 0	Col	250	 7	168 	 1960 	 19.6 

24	0	 4	 0	Row	60	 8	154 	 2202 	 22.02 
24	0	 4	 0	Col	60	 8	143 	 2191 	 21.91 

25	0	 4	 0	Row	186	 11	85 	 2901 	 29.01 
25	0	 4	 0	Col	186	 11	58 	 2874 	 28.74 

26	0	 4	 0	Row	59	 11	3 	 2819 	 28.19 
26	0	 4	 0	Col	59	 10	244 	 2804 	 28.04 

27	0	 4	 0	Row	34	 7	151 	 1943 	 19.43 
27	0	 4	 0	Col	34	 7	139 	 1931 	 19.31 

28	0	 4	 0	Row	141	 10	60 	 2620 	 26.2 
28	0	 4	 0	Col	141	 10	49 	 2609 	 26.09 

29	0	 4	 0	Row	163	 10	84 	 2644 	 26.44 
29	0	 4	 0	Col	163	 10	70 	 2630 	 26.3 

30	0	 4	 0	Row	252	 10	167 	 2727 	 27.27 
30	0	 4	 0	Col	252	 10	156 	 2716 	 27.16 

31	0	 4	 0	Row	18	 12	26 	 3098 	 30.98 
31	0	 4	 0	Col	18	 12	15 	 3087 	 30.87 

32	0	 4	 0	Row	179	 10	134 	 2694 	 26.94 
32	0	 4	 0	Col	179	 10	117 	 2677 	 26.77 

33	0	 4	 0	Row	179	 11	43 	 2859 	 28.59 
33	0	 4	 0	Col	164	 11	32 	 2848 	 28.48 

34	0	 4	 0	Row	170	 9	148 	 2452 	 24.52 
34	0	 4	 0	Col	170	 9	132 	 2436 	 24.36 

35	0	 4	 0	Row	112	 3	244 	 1012 	 10.12 
35	0	 4	 0	Col	112	 3	232 	 1000 	 10.0 

36	0	 4	 0	Row	10	 11	68 	 2884 	 28.84 
36	0	 4	 0	Col	10	 11	57 	 2873 	 28.73 

37	0	 4	 0	Row	29	 11	57 	 2873 	 28.73 
37	0	 4	 0	Col	29	 11	46 	 2862 	 28.62 

38	0	 4	 0	Row	239	 10	16 	 2576 	 25.76 
38	0	 4	 0	Col	239	 10	1 	 2561 	 25.61 

39	0	 4	 0	Row	213	 9	100 	 2404 	 24.04 
39	0	 4	 0	Col	213	 9	89 	 2393 	 23.93 

40	0	 4	 0	Row	82	 10	228 	 2788 	 27.88 
40	0	 4	 0	Col	82	 10	212 	 2772 	 27.72 

41	0	 4	 0	Row	252	 11	45 	 2861 	 28.61 
41	0	 4	 0	Col	252	 11	32 	 2848 	 28.48 

42	0	 4	 0	Row	185	 11	228 	 3044 	 30.44 
42	0	 4	 0	Col	185	 11	217 	 3033 	 30.33 

43	0	 4	 0	Row	197	 11	188 	 3004 	 30.04 
43	0	 4	 0	Col	197	 11	176 	 2992 	 29.92 

44	0	 4	 0	Row	105	 9	171 	 2475 	 24.75 
44	0	 4	 0	Col	105	 9	159 	 2463 	 24.63 

45	0	 4	 0	Row	240	 10	157 	 2717 	 27.17 
45	0	 4	 0	Col	240	 10	144 	 2704 	 27.04 

46	0	 4	 0	Row	133	 8	106 	 2154 	 21.54 
46	0	 4	 0	Col	133	 8	94 	 2142 	 21.42 

47	0	 4	 0	Row	203	 2	230 	 742 	 7.42 
47	0	 4	 0	Col	203	 2	218 	 730 	 7.3 

48	0	 4	 0	Row	118	 6	152 	 1688 	 16.88 
48	0	 4	 0	Col	118	 6	142 	 1678 	 16.78 

49	0	 4	 0	Row	34	 3	236 	 1004 	 10.04 
49	0	 4	 0	Col	34	 3	215 	 983 	 9.83 

50	0	 4	 0	Row	226	 10	190 	 2750 	 27.5 
50	0	 4	 0	Col	226	 10	176 	 2736 	 27.36 

51	0	 4	 0	Row	148	 9	27 	 2331 	 23.31 
51	0	 4	 0	Col	148	 9	15 	 2319 	 23.19 

52	0	 4	 0	Row	223	 11	34 	 2850 	 28.5 
52	0	 4	 0	Col	223	 11	22 	 2838 	 28.38 

53	0	 4	 0	Row	22	 10	222 	 2782 	 27.82 
53	0	 4	 0	Col	22	 10	211 	 2771 	 27.71 

54	0	 4	 0	Row	55	 10	159 	 2719 	 27.19 
54	0	 4	 0	Col	55	 10	146 	 2706 	 27.06 

55	0	 4	 0	Row	67	 11	53 	 2869 	 28.69 
55	0	 4	 0	Col	67	 11	42 	 2858 	 28.58 

56	0	 4	 0	Row	138	 9	171 	 2475 	 24.75 
56	0	 4	 0	Col	138	 9	158 	 2462 	 24.62 

57	0	 4	 0	Row	143	 10	54 	 2614 	 26.14 
57	0	 4	 0	Col	143	 10	43 	 2603 	 26.03 

58	0	 4	 0	Row	191	 6	64 	 1600 	 16.0 
58	0	 4	 0	Col	191	 6	50 	 1586 	 15.86 

59	0	 4	 0	Row	62	 11	53 	 2869 	 28.69 
59	0	 4	 0	Col	62	 11	42 	 2858 	 28.58 

60	0	 4	 0	Row	55	 10	49 	 2609 	 26.09 
60	0	 4	 0	Col	55	 10	36 	 2596 	 25.96 

61	0	 4	 0	Row	99	 10	176 	 2736 	 27.36 
61	0	 4	 0	Col	99	 10	164 	 2724 	 27.24 

62	0	 4	 0	Row	58	 10	180 	 2740 	 27.4 
62	0	 4	 0	Col	58	 10	168 	 2728 	 27.28 

63	0	 4	 0	Row	177	 10	139 	 2699 	 26.99 
63	0	 4	 0	Col	177	 10	125 	 2685 	 26.85 

64	0	 4	 0	Row	97	 9	160 	 2464 	 24.64 
64	0	 4	 0	Col	97	 9	149 	 2453 	 24.53 

65	0	 4	 0	Row	71	 6	220 	 1756 	 17.56 
65	0	 4	 0	Col	71	 6	208 	 1744 	 17.44 

66	0	 4	 0	Row	162	 10	93 	 2653 	 26.53 
66	0	 4	 0	Col	162	 10	78 	 2638 	 26.38 

67	0	 4	 0	Row	26	 11	36 	 2852 	 28.52 
67	0	 4	 0	Col	26	 11	26 	 2842 	 28.42 

68	0	 4	 0	Row	231	 6	141 	 1677 	 16.77 
68	0	 4	 0	Col	231	 6	124 	 1660 	 16.6 

69	0	 4	 0	Row	171	 4	197 	 1221 	 12.21 
69	0	 4	 0	Col	171	 4	186 	 1210 	 12.1 

70	0	 4	 0	Row	204	 11	73 	 2889 	 28.89 
70	0	 4	 0	Col	204	 11	60 	 2876 	 28.76 

71	0	 4	 0	Row	33	 9	200 	 2504 	 25.04 
71	0	 4	 0	Col	33	 9	188 	 2492 	 24.92 

72	0	 4	 0	Row	86	 9	101 	 2405 	 24.05 
72	0	 4	 0	Col	86	 9	85 	 2389 	 23.89 

73	0	 4	 0	Row	167	 11	125 	 2941 	 29.41 
73	0	 4	 0	Col	167	 11	111 	 2927 	 29.27 
