Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	252	 2	46 	 558 	 5.58 
0	0	 4	 0	Col	253	 1	253 	 509 	 5.09 
0	0	 4	 0	Row	88	 10	169 	 2729 	 27.29 
0	0	 4	 0	Col	88	 10	121 	 2681 	 26.81 

1	0	 4	 0	Row	26	 10	179 	 2739 	 27.39 
1	0	 4	 0	Col	26	 10	97 	 2657 	 26.57 

2	0	 4	 0	Row	28	 9	217 	 2521 	 25.21 
2	0	 4	 0	Col	28	 9	169 	 2473 	 24.73 

3	0	 4	 0	Row	81	 10	37 	 2597 	 25.97 
3	0	 4	 0	Col	82	 9	228 	 2532 	 25.32 

4	0	 4	 0	Row	116	 7	109 	 1901 	 19.01 
4	0	 4	 0	Col	116	 7	56 	 1848 	 18.48 

5	0	 4	 0	Row	6	 10	57 	 2617 	 26.17 
5	0	 4	 0	Col	6	 10	0 	 2560 	 25.6 

6	0	 4	 0	Row	96	 9	243 	 2547 	 25.47 
6	0	 4	 0	Col	96	 9	182 	 2486 	 24.86 

7	0	 4	 0	Row	173	 10	220 	 2780 	 27.8 
7	0	 4	 0	Col	173	 10	180 	 2740 	 27.4 

8	0	 4	 0	Row	71	 10	241 	 2801 	 28.01 
8	0	 4	 0	Col	72	 10	178 	 2738 	 27.38 

9	0	 4	 0	Row	237	 9	164 	 2468 	 24.68 
9	0	 4	 0	Col	237	 9	114 	 2418 	 24.18 

10	0	 4	 0	Row	72	 11	51 	 2867 	 28.67 
10	0	 4	 0	Col	72	 11	9 	 2825 	 28.25 

11	0	 4	 0	Row	188	 12	25 	 3097 	 30.97 
11	0	 4	 0	Col	189	 11	218 	 3034 	 30.34 

12	0	 4	 0	Row	164	 9	49 	 2353 	 23.53 
12	0	 4	 0	Col	164	 9	5 	 2309 	 23.09 

13	0	 4	 0	Row	221	 6	181 	 1717 	 17.17 
13	0	 4	 0	Col	221	 6	125 	 1661 	 16.61 

14	0	 4	 0	Row	116	 11	102 	 2918 	 29.18 
14	0	 4	 0	Col	116	 11	35 	 2851 	 28.51 

15	0	 4	 0	Row	108	 8	145 	 2193 	 21.93 
15	0	 4	 0	Col	108	 8	97 	 2145 	 21.45 

16	0	 4	 0	Row	157	 9	107 	 2411 	 24.11 
16	0	 4	 0	Col	157	 9	60 	 2364 	 23.64 

17	0	 4	 0	Row	198	 9	86 	 2390 	 23.9 
17	0	 4	 0	Col	198	 9	1 	 2305 	 23.05 

18	0	 4	 0	Row	184	 2	246 	 758 	 7.58 
