Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	227	 4	209 	 1233 	 12.33 
0	0	 4	 0	Col	227	 2	182 	 694 	 6.94 
0	0	 4	 0	Row	160	 10	57 	 2617 	 26.17 
0	0	 4	 0	Col	160	 10	44 	 2604 	 26.04 

1	0	 4	 0	Row	26	 9	122 	 2426 	 24.26 
1	0	 4	 0	Col	26	 9	111 	 2415 	 24.15 

2	0	 4	 0	Row	40	 3	215 	 983 	 9.83 
2	0	 4	 0	Col	40	 3	201 	 969 	 9.69 

3	0	 4	 0	Row	50	 10	159 	 2719 	 27.19 
3	0	 4	 0	Col	50	 10	142 	 2702 	 27.02 

4	0	 4	 0	Row	205	 10	127 	 2687 	 26.87 
4	0	 4	 0	Col	205	 10	113 	 2673 	 26.73 

5	0	 4	 0	Row	44	 9	187 	 2491 	 24.91 
5	0	 4	 0	Col	44	 9	173 	 2477 	 24.77 

6	0	 4	 0	Row	151	 10	150 	 2710 	 27.1 
6	0	 4	 0	Col	151	 10	139 	 2699 	 26.99 

7	0	 4	 0	Row	30	 11	131 	 2947 	 29.47 
7	0	 4	 0	Col	30	 11	116 	 2932 	 29.32 

8	0	 4	 0	Row	201	 11	11 	 2827 	 28.27 
8	0	 4	 0	Col	201	 10	252 	 2812 	 28.12 

9	0	 4	 0	Row	0	 10	173 	 2733 	 27.33 
9	0	 4	 0	Col	0	 10	160 	 2720 	 27.2 

10	0	 4	 0	Row	49	 1	50 	 306 	 3.06 
10	0	 4	 0	Col	49	 1	23 	 279 	 2.79 

11	0	 4	 0	Row	27	 6	190 	 1726 	 17.26 
11	0	 4	 0	Col	27	 6	177 	 1713 	 17.13 

12	0	 4	 0	Row	172	 10	50 	 2610 	 26.1 
12	0	 4	 0	Col	172	 10	35 	 2595 	 25.95 

13	0	 4	 0	Row	237	 9	27 	 2331 	 23.31 
13	0	 4	 0	Col	237	 9	16 	 2320 	 23.2 

14	0	 4	 0	Row	105	 9	8 	 2312 	 23.12 
14	0	 4	 0	Col	105	 8	247 	 2295 	 22.95 

15	0	 4	 0	Row	230	 10	184 	 2744 	 27.44 
15	0	 4	 0	Col	230	 10	172 	 2732 	 27.32 

16	0	 4	 0	Row	222	 11	19 	 2835 	 28.35 
16	0	 4	 0	Col	222	 10	250 	 2810 	 28.1 

17	0	 4	 0	Row	117	 11	109 	 2925 	 29.25 
17	0	 4	 0	Col	117	 11	95 	 2911 	 29.11 

18	0	 4	 0	Row	159	 12	195 	 3267 	 32.67 
18	0	 4	 0	Col	159	 12	181 	 3253 	 32.53 

19	0	 4	 0	Row	201	 1	157 	 413 	 4.13 
19	0	 4	 0	Col	201	 1	143 	 399 	 3.99 

20	0	 4	 0	Row	131	 10	59 	 2619 	 26.19 
20	0	 4	 0	Col	131	 10	47 	 2607 	 26.07 

21	0	 4	 0	Row	190	 10	8 	 2568 	 25.68 
21	0	 4	 0	Col	190	 9	241 	 2545 	 25.45 

22	0	 4	 0	Row	229	 9	243 	 2547 	 25.47 
22	0	 4	 0	Col	229	 9	219 	 2523 	 25.23 

23	0	 4	 0	Row	126	 9	212 	 2516 	 25.16 
23	0	 4	 0	Col	126	 9	198 	 2502 	 25.02 

24	0	 4	 0	Row	29	 12	55 	 3127 	 31.27 
