Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	250	 13	57 	 3385 	 33.85 
0	0	 4	 0	Col	250	 10	243 	 2803 	 28.03 
0	0	 4	 0	Row	164	 9	208 	 2512 	 25.12 
0	0	 4	 0	Col	164	 9	136 	 2440 	 24.4 

1	0	 4	 0	Row	48	 10	72 	 2632 	 26.32 
1	0	 4	 0	Col	48	 10	13 	 2573 	 25.73 

2	0	 4	 0	Row	112	 11	89 	 2905 	 29.05 
2	0	 4	 0	Col	113	 11	28 	 2844 	 28.44 

3	0	 4	 0	Row	179	 9	214 	 2518 	 25.18 
3	0	 4	 0	Col	179	 9	150 	 2454 	 24.54 

4	0	 4	 0	Row	39	 11	140 	 2956 	 29.56 
4	0	 4	 0	Col	40	 11	87 	 2903 	 29.03 

5	0	 4	 0	Row	23	 10	179 	 2739 	 27.39 
5	0	 4	 0	Col	23	 10	128 	 2688 	 26.88 

6	0	 4	 0	Row	91	 11	161 	 2977 	 29.77 
6	0	 4	 0	Col	91	 11	92 	 2908 	 29.08 

7	0	 4	 0	Row	215	 12	211 	 3283 	 32.83 
7	0	 4	 0	Col	216	 12	152 	 3224 	 32.24 

8	0	 4	 0	Row	214	 11	66 	 2882 	 28.82 
8	0	 4	 0	Col	214	 10	253 	 2813 	 28.13 

9	0	 4	 0	Row	25	 2	127 	 639 	 6.39 
9	0	 4	 0	Col	25	 2	68 	 580 	 5.8 

10	0	 4	 0	Row	19	 7	237 	 2029 	 20.29 
10	0	 4	 0	Col	19	 7	184 	 1976 	 19.76 

11	0	 4	 0	Row	128	 9	86 	 2390 	 23.9 
11	0	 4	 0	Col	128	 9	33 	 2337 	 23.37 

12	0	 4	 0	Row	75	 11	109 	 2925 	 29.25 
12	0	 4	 0	Col	75	 11	39 	 2855 	 28.55 

13	0	 4	 0	Row	174	 10	13 	 2573 	 25.73 
13	0	 4	 0	Col	175	 9	213 	 2517 	 25.17 

14	0	 4	 0	Row	54	 6	239 	 1775 	 17.75 
14	0	 4	 0	Col	54	 6	180 	 1716 	 17.16 

15	0	 4	 0	Row	159	 9	171 	 2475 	 24.75 
15	0	 4	 0	Col	54	 9	108 	 2412 	 24.12 

16	0	 4	 0	Row	2	 7	92 	 1884 	 18.84 
16	0	 4	 0	Col	2	 7	22 	 1814 	 18.14 

17	0	 4	 0	Row	75	 10	173 	 2733 	 27.33 
17	0	 4	 0	Col	75	 10	118 	 2678 	 26.78 

18	0	 4	 0	Row	62	 11	177 	 2993 	 29.93 
