Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	250	 9	222 	 2526 	 25.26 
0	0	 4	 0	Col	250	 9	193 	 2497 	 24.97 
0	0	 4	 0	Row	2	 7	78 	 1870 	 18.7 
0	0	 4	 0	Col	2	 7	64 	 1856 	 18.56 

1	0	 4	 0	Row	247	 11	226 	 3042 	 30.42 
1	0	 4	 0	Col	247	 11	211 	 3027 	 30.27 

2	0	 4	 0	Row	243	 12	191 	 3263 	 32.63 
2	0	 4	 0	Col	243	 12	176 	 3248 	 32.48 

3	0	 4	 0	Row	225	 10	244 	 2804 	 28.04 
3	0	 4	 0	Col	225	 10	229 	 2789 	 27.89 

4	0	 4	 0	Row	245	 4	29 	 1053 	 10.53 
4	0	 4	 0	Col	245	 4	14 	 1038 	 10.38 

5	0	 4	 0	Row	36	 9	223 	 2527 	 25.27 
5	0	 4	 0	Col	36	 9	208 	 2512 	 25.12 

6	0	 4	 0	Row	88	 12	253 	 3325 	 33.25 
6	0	 4	 0	Col	88	 12	237 	 3309 	 33.09 

7	0	 4	 0	Row	54	 12	64 	 3136 	 31.36 
7	0	 4	 0	Col	54	 12	49 	 3121 	 31.21 

8	0	 4	 0	Row	26	 12	72 	 3144 	 31.44 
8	0	 4	 0	Col	26	 12	58 	 3130 	 31.3 

9	0	 4	 0	Row	77	 3	202 	 970 	 9.7 
9	0	 4	 0	Col	77	 3	187 	 955 	 9.55 

10	0	 4	 0	Row	240	 11	103 	 2919 	 29.19 
10	0	 4	 0	Col	240	 11	88 	 2904 	 29.04 

11	0	 4	 0	Row	81	 10	17 	 2577 	 25.77 
11	0	 4	 0	Col	81	 10	3 	 2563 	 25.63 

12	0	 4	 0	Row	98	 13	54 	 3382 	 33.82 
12	0	 4	 0	Col	98	 13	40 	 3368 	 33.68 

13	0	 4	 0	Row	130	 12	103 	 3175 	 31.75 
13	0	 4	 0	Col	130	 12	89 	 3161 	 31.61 

14	0	 4	 0	Row	37	 3	178 	 946 	 9.46 
14	0	 4	 0	Col	37	 3	163 	 931 	 9.31 

15	0	 4	 0	Row	108	 2	95 	 607 	 6.07 
15	0	 4	 0	Col	108	 2	70 	 582 	 5.82 

16	0	 4	 0	Row	114	 3	25 	 793 	 7.93 
16	0	 4	 0	Col	114	 3	9 	 777 	 7.77 

17	0	 4	 0	Row	186	 10	183 	 2743 	 27.43 
17	0	 4	 0	Col	186	 10	168 	 2728 	 27.28 

18	0	 4	 0	Row	19	 2	147 	 659 	 6.59 
18	0	 4	 0	Col	19	 2	134 	 646 	 6.46 

19	0	 4	 0	Row	220	 13	1 	 3329 	 33.29 
19	0	 4	 0	Col	220	 12	243 	 3315 	 33.15 

20	0	 4	 0	Row	202	 3	20 	 788 	 7.88 
20	0	 4	 0	Col	202	 3	6 	 774 	 7.74 

21	0	 4	 0	Row	6	 12	40 	 3112 	 31.12 
21	0	 4	 0	Col	6	 12	25 	 3097 	 30.97 

22	0	 4	 0	Row	1	 12	161 	 3233 	 32.33 
22	0	 4	 0	Col	1	 12	146 	 3218 	 32.18 

23	0	 4	 0	Row	117	 11	4 	 2820 	 28.2 
23	0	 4	 0	Col	117	 10	246 	 2806 	 28.06 

24	0	 4	 0	Row	64	 4	236 	 1260 	 12.6 
24	0	 4	 0	Col	64	 4	221 	 1245 	 12.45 

25	0	 4	 0	Row	169	 13	29 	 3357 	 33.57 
25	0	 4	 0	Col	169	 13	15 	 3343 	 33.43 

26	0	 4	 0	Row	58	 5	169 	 1449 	 14.49 
26	0	 4	 0	Col	58	 5	154 	 1434 	 14.34 

27	0	 4	 0	Row	69	 10	37 	 2597 	 25.97 
27	0	 4	 0	Col	69	 10	22 	 2582 	 25.82 

28	0	 4	 0	Row	22	 11	2 	 2818 	 28.18 
28	0	 4	 0	Col	22	 10	244 	 2804 	 28.04 

29	0	 4	 0	Row	42	 10	168 	 2728 	 27.28 
29	0	 4	 0	Col	42	 10	153 	 2713 	 27.13 

30	0	 4	 0	Row	11	 3	252 	 1020 	 10.2 
30	0	 4	 0	Col	12	 3	200 	 968 	 9.68 

31	0	 4	 0	Row	255	 12	192 	 3264 	 32.64 
31	0	 4	 0	Col	255	 12	174 	 3246 	 32.46 

32	0	 4	 0	Row	25	 12	127 	 3199 	 31.99 
32	0	 4	 0	Col	25	 12	112 	 3184 	 31.84 

33	0	 4	 0	Row	188	 12	215 	 3287 	 32.87 
33	0	 4	 0	Col	188	 12	200 	 3272 	 32.72 

34	0	 4	 0	Row	214	 12	124 	 3196 	 31.96 
34	0	 4	 0	Col	214	 12	109 	 3181 	 31.81 

35	0	 4	 0	Row	202	 12	226 	 3298 	 32.98 
35	0	 4	 0	Col	202	 12	210 	 3282 	 32.82 

36	0	 4	 0	Row	39	 4	17 	 1041 	 10.41 
36	0	 4	 0	Col	39	 4	2 	 1026 	 10.26 

37	0	 4	 0	Row	194	 13	23 	 3351 	 33.51 
37	0	 4	 0	Col	194	 13	8 	 3336 	 33.36 

38	0	 4	 0	Row	233	 12	202 	 3274 	 32.74 
38	0	 4	 0	Col	233	 12	187 	 3259 	 32.59 

39	0	 4	 0	Row	94	 4	151 	 1175 	 11.75 
39	0	 4	 0	Col	94	 4	137 	 1161 	 11.61 

40	0	 4	 0	Row	121	 11	14 	 2830 	 28.3 
40	0	 4	 0	Col	121	 11	0 	 2816 	 28.16 

41	0	 4	 0	Row	39	 12	25 	 3097 	 30.97 
41	0	 4	 0	Col	39	 12	10 	 3082 	 30.82 

42	0	 4	 0	Row	71	 9	1 	 2305 	 23.05 
42	0	 4	 0	Col	71	 8	244 	 2292 	 22.92 

43	0	 4	 0	Row	142	 12	148 	 3220 	 32.2 
43	0	 4	 0	Col	142	 12	135 	 3207 	 32.07 

44	0	 4	 0	Row	43	 3	108 	 876 	 8.76 
44	0	 4	 0	Col	43	 3	93 	 861 	 8.61 

45	0	 4	 0	Row	145	 0	75 	 75 	 0.75 
45	0	 4	 0	Col	145	 0	50 	 50 	 0.5 

46	0	 4	 0	Row	16	 12	194 	 3266 	 32.66 
46	0	 4	 0	Col	16	 12	180 	 3252 	 32.52 

47	0	 4	 0	Row	237	 12	117 	 3189 	 31.89 
47	0	 4	 0	Col	237	 12	102 	 3174 	 31.74 

48	0	 4	 0	Row	146	 13	34 	 3362 	 33.62 
48	0	 4	 0	Col	146	 13	19 	 3347 	 33.47 

49	0	 4	 0	Row	230	 12	41 	 3113 	 31.13 
49	0	 4	 0	Col	230	 12	26 	 3098 	 30.98 

50	0	 4	 0	Row	236	 3	208 	 976 	 9.76 
50	0	 4	 0	Col	236	 3	193 	 961 	 9.61 

51	0	 4	 0	Row	219	 10	109 	 2669 	 26.69 
51	0	 4	 0	Col	219	 10	93 	 2653 	 26.53 

52	0	 4	 0	Row	83	 6	17 	 1553 	 15.53 
52	0	 4	 0	Col	83	 6	2 	 1538 	 15.38 

53	0	 4	 0	Row	164	 3	45 	 813 	 8.13 
53	0	 4	 0	Col	164	 3	30 	 798 	 7.98 

54	0	 4	 0	Row	117	 12	22 	 3094 	 30.94 
54	0	 4	 0	Col	117	 12	7 	 3079 	 30.79 

55	0	 4	 0	Row	198	 12	120 	 3192 	 31.92 
55	0	 4	 0	Col	198	 12	98 	 3170 	 31.7 

56	0	 4	 0	Row	10	 2	140 	 652 	 6.52 
56	0	 4	 0	Col	10	 2	123 	 635 	 6.35 

57	0	 4	 0	Row	7	 11	181 	 2997 	 29.97 
57	0	 4	 0	Col	7	 11	167 	 2983 	 29.83 

58	0	 4	 0	Row	9	 3	242 	 1010 	 10.1 
58	0	 4	 0	Col	9	 3	228 	 996 	 9.96 

