Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	75	 10	64 	 2624 	 26.24 
0	0	 4	 0	Col	75	 6	126 	 1662 	 16.62 
0	0	 4	 0	Row	240	 3	145 	 913 	 9.13 
0	0	 4	 0	Col	240	 3	129 	 897 	 8.97 

1	0	 4	 0	Row	148	 10	24 	 2584 	 25.84 
1	0	 4	 0	Col	148	 10	8 	 2568 	 25.68 

2	0	 4	 0	Row	7	 12	255 	 3327 	 33.27 
2	0	 4	 0	Col	7	 12	239 	 3311 	 33.11 

3	0	 4	 0	Row	131	 12	95 	 3167 	 31.67 
3	0	 4	 0	Col	131	 12	80 	 3152 	 31.52 

4	0	 4	 0	Row	167	 4	107 	 1131 	 11.31 
4	0	 4	 0	Col	167	 4	91 	 1115 	 11.15 

5	0	 4	 0	Row	60	 0	50 	 50 	 0.5 
5	0	 4	 0	Col	60	 0	33 	 33 	 0.33 

6	0	 4	 0	Row	104	 12	160 	 3232 	 32.32 
6	0	 4	 0	Col	104	 12	144 	 3216 	 32.16 

7	0	 4	 0	Row	34	 12	74 	 3146 	 31.46 
7	0	 4	 0	Col	34	 12	58 	 3130 	 31.3 

8	0	 4	 0	Row	121	 12	131 	 3203 	 32.03 
8	0	 4	 0	Col	121	 12	115 	 3187 	 31.87 

9	0	 4	 0	Row	81	 11	212 	 3028 	 30.28 
9	0	 4	 0	Col	81	 11	192 	 3008 	 30.08 

10	0	 4	 0	Row	155	 11	197 	 3013 	 30.13 
10	0	 4	 0	Col	155	 11	177 	 2993 	 29.93 

11	0	 4	 0	Row	177	 11	127 	 2943 	 29.43 
11	0	 4	 0	Col	177	 11	111 	 2927 	 29.27 

12	0	 4	 0	Row	133	 12	222 	 3294 	 32.94 
12	0	 4	 0	Col	133	 12	206 	 3278 	 32.78 

13	0	 4	 0	Row	92	 12	186 	 3258 	 32.58 
13	0	 4	 0	Col	92	 12	171 	 3243 	 32.43 

14	0	 4	 0	Row	177	 4	237 	 1261 	 12.61 
14	0	 4	 0	Col	177	 4	222 	 1246 	 12.46 

15	0	 4	 0	Row	27	 6	69 	 1605 	 16.05 
15	0	 4	 0	Col	27	 6	53 	 1589 	 15.89 

16	0	 4	 0	Row	69	 12	109 	 3181 	 31.81 
16	0	 4	 0	Col	69	 12	93 	 3165 	 31.65 

17	0	 4	 0	Row	242	 12	223 	 3295 	 32.95 
17	0	 4	 0	Col	242	 12	208 	 3280 	 32.8 

18	0	 4	 0	Row	238	 12	64 	 3136 	 31.36 
