Voltageboard settings: [1.035, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906940, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	37	 15	154 	 3994 	 39.94 
0	0	 4	 0	Col	37	 15	88 	 3928 	 39.28 
0	0	 4	 0	Row	109	 12	102 	 3174 	 31.74 
0	0	 4	 0	Col	109	 12	87 	 3159 	 31.59 

1	0	 4	 0	Row	226	 11	67 	 2883 	 28.83 
1	0	 4	 0	Col	226	 11	51 	 2867 	 28.67 

2	0	 4	 0	Row	128	 12	21 	 3093 	 30.93 
2	0	 4	 0	Col	128	 12	6 	 3078 	 30.78 

3	0	 4	 0	Row	7	 7	125 	 1917 	 19.17 
3	0	 4	 0	Col	7	 7	109 	 1901 	 19.01 

4	0	 4	 0	Row	210	 12	61 	 3133 	 31.33 
4	0	 4	 0	Col	210	 12	46 	 3118 	 31.18 

5	0	 4	 0	Row	7	 0	77 	 77 	 0.77 
5	0	 4	 0	Col	210	 0	25 	 25 	 0.25 

6	0	 4	 0	Row	70	 2	92 	 604 	 6.04 
6	0	 4	 0	Col	70	 2	74 	 586 	 5.86 

7	0	 4	 0	Row	157	 10	129 	 2689 	 26.89 
7	0	 4	 0	Col	157	 10	113 	 2673 	 26.73 

8	0	 4	 0	Row	252	 11	226 	 3042 	 30.42 
8	0	 4	 0	Col	252	 11	211 	 3027 	 30.27 

9	0	 4	 0	Row	211	 4	93 	 1117 	 11.17 
9	0	 4	 0	Col	211	 4	75 	 1099 	 10.99 

10	0	 4	 0	Row	129	 12	30 	 3102 	 31.02 
10	0	 4	 0	Col	129	 12	14 	 3086 	 30.86 

11	0	 4	 0	Row	62	 10	249 	 2809 	 28.09 
11	0	 4	 0	Col	62	 10	232 	 2792 	 27.92 

12	0	 4	 0	Row	124	 12	42 	 3114 	 31.14 
12	0	 4	 0	Col	124	 12	26 	 3098 	 30.98 

13	0	 4	 0	Row	165	 13	70 	 3398 	 33.98 
13	0	 4	 0	Col	165	 13	54 	 3382 	 33.82 

14	0	 4	 0	Row	254	 13	194 	 3522 	 35.22 
14	0	 4	 0	Col	254	 13	179 	 3507 	 35.07 

15	0	 4	 0	Row	25	 13	92 	 3420 	 34.2 
15	0	 4	 0	Col	25	 13	76 	 3404 	 34.04 

16	0	 4	 0	Row	203	 13	48 	 3376 	 33.76 
16	0	 4	 0	Col	203	 13	31 	 3359 	 33.59 

17	0	 4	 0	Row	176	 12	231 	 3303 	 33.03 
17	0	 4	 0	Col	176	 12	213 	 3285 	 32.85 

18	0	 4	 0	Row	142	 12	71 	 3143 	 31.43 
18	0	 4	 0	Col	142	 12	55 	 3127 	 31.27 

19	0	 4	 0	Row	4	 13	80 	 3408 	 34.08 
19	0	 4	 0	Col	4	 13	63 	 3391 	 33.91 

20	0	 4	 0	Row	223	 11	207 	 3023 	 30.23 
20	0	 4	 0	Col	223	 11	191 	 3007 	 30.07 

21	0	 4	 0	Row	207	 8	113 	 2161 	 21.61 
21	0	 4	 0	Col	207	 8	82 	 2130 	 21.3 

22	0	 4	 0	Row	188	 12	212 	 3284 	 32.84 
22	0	 4	 0	Col	188	 12	194 	 3266 	 32.66 

23	0	 4	 0	Row	237	 3	223 	 991 	 9.91 
23	0	 4	 0	Col	237	 3	207 	 975 	 9.75 

24	0	 4	 0	Row	182	 12	145 	 3217 	 32.17 
24	0	 4	 0	Col	182	 12	129 	 3201 	 32.01 

25	0	 4	 0	Row	17	 13	33 	 3361 	 33.61 
25	0	 4	 0	Col	17	 13	17 	 3345 	 33.45 

26	0	 4	 0	Row	46	 12	140 	 3212 	 32.12 
26	0	 4	 0	Col	46	 12	125 	 3197 	 31.97 

27	0	 4	 0	Row	140	 12	250 	 3322 	 33.22 
27	0	 4	 0	Col	140	 12	234 	 3306 	 33.06 

28	0	 4	 0	Row	112	 2	3 	 515 	 5.15 
28	0	 4	 0	Col	112	 1	244 	 500 	 5.0 

29	0	 4	 0	Row	113	 13	84 	 3412 	 34.12 
29	0	 4	 0	Col	113	 13	67 	 3395 	 33.95 

30	0	 4	 0	Row	58	 9	133 	 2437 	 24.37 
30	0	 4	 0	Col	58	 9	117 	 2421 	 24.21 

31	0	 4	 0	Row	52	 11	168 	 2984 	 29.84 
31	0	 4	 0	Col	52	 11	153 	 2969 	 29.69 

32	0	 4	 0	Row	15	 13	68 	 3396 	 33.96 
32	0	 4	 0	Col	15	 13	53 	 3381 	 33.81 

33	0	 4	 0	Row	83	 12	139 	 3211 	 32.11 
33	0	 4	 0	Col	83	 12	123 	 3195 	 31.95 

34	0	 4	 0	Row	139	 11	160 	 2976 	 29.76 
34	0	 4	 0	Col	139	 11	145 	 2961 	 29.61 

35	0	 4	 0	Row	208	 11	250 	 3066 	 30.66 
35	0	 4	 0	Col	208	 11	235 	 3051 	 30.51 

36	0	 4	 0	Row	180	 12	217 	 3289 	 32.89 
36	0	 4	 0	Col	180	 12	201 	 3273 	 32.73 

37	0	 4	 0	Row	121	 11	47 	 2863 	 28.63 
37	0	 4	 0	Col	121	 11	31 	 2847 	 28.47 

38	0	 4	 0	Row	112	 13	27 	 3355 	 33.55 
38	0	 4	 0	Col	112	 13	12 	 3340 	 33.4 

39	0	 4	 0	Row	223	 13	76 	 3404 	 34.04 
39	0	 4	 0	Col	223	 13	60 	 3388 	 33.88 

40	0	 4	 0	Row	112	 3	201 	 969 	 9.69 
40	0	 4	 0	Col	112	 3	182 	 950 	 9.5 

41	0	 4	 0	Row	237	 3	195 	 963 	 9.63 
41	0	 4	 0	Col	237	 3	180 	 948 	 9.48 

42	0	 4	 0	Row	145	 11	119 	 2935 	 29.35 
42	0	 4	 0	Col	145	 11	103 	 2919 	 29.19 

43	0	 4	 0	Row	105	 11	160 	 2976 	 29.76 
43	0	 4	 0	Col	105	 11	144 	 2960 	 29.6 

44	0	 4	 0	Row	140	 13	71 	 3399 	 33.99 
44	0	 4	 0	Col	140	 13	56 	 3384 	 33.84 

45	0	 4	 0	Row	187	 13	105 	 3433 	 34.33 
45	0	 4	 0	Col	187	 13	89 	 3417 	 34.17 

46	0	 4	 0	Row	198	 3	96 	 864 	 8.64 
46	0	 4	 0	Col	198	 3	80 	 848 	 8.48 

47	0	 4	 0	Row	148	 12	223 	 3295 	 32.95 
47	0	 4	 0	Col	148	 12	207 	 3279 	 32.79 

48	0	 4	 0	Row	176	 12	138 	 3210 	 32.1 
48	0	 4	 0	Col	176	 12	123 	 3195 	 31.95 

49	0	 4	 0	Row	107	 4	72 	 1096 	 10.96 
49	0	 4	 0	Col	107	 4	56 	 1080 	 10.8 

50	0	 4	 0	Row	102	 11	202 	 3018 	 30.18 
50	0	 4	 0	Col	102	 11	186 	 3002 	 30.02 

51	0	 4	 0	Row	185	 12	164 	 3236 	 32.36 
51	0	 4	 0	Col	185	 12	148 	 3220 	 32.2 

