dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,18,False,10,2,128,640,6.4,1658852699.131213
1,0,0,4,18,True,10,2,133,645,6.45,1658852699.131213
0,1,0,4,18,False,33,1,128,384,3.84,1658852699.9289582
1,1,0,4,18,True,32,1,136,392,3.92,1658852699.9299614
0,2,0,4,18,False,95,1,62,318,3.18,1658852701.2144086
1,2,0,4,18,True,95,1,62,318,3.18,1658852701.2144086
0,3,0,4,18,False,74,3,102,870,8.7,1658852701.72833
1,3,0,4,18,True,74,3,106,874,8.74,1658852701.7293274
0,4,0,4,18,False,191,4,155,1179,11.79,1658852702.579819
1,4,0,4,18,True,191,4,161,1185,11.85,1658852702.579819
0,5,0,4,18,False,42,3,226,994,9.94,1658852702.7305117
1,5,0,4,18,True,41,3,230,998,9.98,1658852702.7305117
0,6,0,4,18,False,128,2,237,749,7.49,1658852702.9868598
1,6,0,4,18,True,128,2,243,755,7.55,1658852702.987869
0,7,0,4,18,False,93,7,206,1998,19.98,1658852703.7853076
1,7,0,4,18,True,93,7,220,2012,20.12,1658852703.7853076
0,8,0,4,18,False,67,2,229,741,7.41,1658852705.0423973
1,8,0,4,18,True,66,2,238,750,7.5,1658852705.0425546
0,9,0,4,18,False,219,2,120,632,6.32,1658852705.5239284
1,9,0,4,18,True,218,2,124,636,6.36,1658852705.5239284
0,10,0,4,18,False,6,3,152,920,9.2,1658852706.1703851
1,10,0,4,18,True,6,3,155,923,9.23,1658852706.1703851
0,11,0,4,18,False,120,2,141,653,6.53,1658852706.4655912
1,11,0,4,18,True,120,2,147,659,6.59,1658852706.4655912
0,12,0,4,18,False,190,4,236,1260,12.6,1658852706.637786
1,12,0,4,18,True,190,4,240,1264,12.64,1658852706.637786
0,13,0,4,18,False,155,5,133,1413,14.13,1658852706.9633846
1,13,0,4,18,True,155,5,137,1417,14.17,1658852706.9633846
0,14,0,4,18,False,49,2,249,761,7.61,1658852707.1433203
1,14,0,4,18,True,48,3,3,771,7.71,1658852707.1433203
0,15,0,4,18,False,126,1,242,498,4.98,1658852707.759608
1,15,0,4,18,True,125,1,248,504,5.04,1658852707.7598298
0,16,0,4,18,False,162,3,195,963,9.63,1658852709.106554
1,16,0,4,18,True,162,3,199,967,9.67,1658852709.106554
0,17,0,4,18,False,244,4,206,1230,12.3,1658852711.136153
1,17,0,4,18,True,244,4,208,1232,12.32,1658852711.136153
0,18,0,4,18,False,158,4,214,1238,12.38,1658852712.6951373
1,18,0,4,18,True,158,4,219,1243,12.43,1658852712.6953619
0,19,0,4,18,False,166,7,3,1795,17.95,1658852713.5970588
1,19,0,4,18,True,166,7,7,1799,17.99,1658852713.5970588
0,20,0,4,18,False,116,6,175,1711,17.11,1658852716.1624923
1,20,0,4,18,True,116,6,180,1716,17.16,1658852716.1624923
0,21,0,4,18,False,63,12,15,3087,30.87,1658852716.3190188
1,21,0,4,18,True,63,12,23,3095,30.95,1658852716.3198566
0,22,0,4,18,False,144,7,74,1866,18.66,1658852716.6319213
1,22,0,4,18,True,144,7,72,1864,18.64,1658852716.6319213
0,23,0,4,18,False,116,7,62,1854,18.54,1658852717.649477
1,23,0,4,18,True,116,7,67,1859,18.59,1658852717.6498017
0,24,0,4,18,False,189,5,154,1434,14.34,1658852718.835787
1,24,0,4,18,True,189,5,155,1435,14.35,1658852718.8362849
0,25,0,4,18,False,65,3,86,854,8.54,1658852719.4979887
1,25,0,4,18,True,65,3,92,860,8.6,1658852719.4979887
0,26,0,4,18,False,234,2,70,582,5.82,1658852720.2166808
1,26,0,4,18,True,234,2,78,590,5.9,1658852720.2168999
0,27,0,4,18,False,200,4,120,1144,11.44,1658852720.580775
1,27,0,4,18,True,200,4,125,1149,11.49,1658852720.5817673
0,28,0,4,18,False,75,4,143,1167,11.67,1658852721.2495494
1,28,0,4,18,True,75,4,149,1173,11.73,1658852721.2497523
0,29,0,4,18,False,55,3,99,867,8.67,1658852721.8542976
1,29,0,4,18,True,55,3,105,873,8.73,1658852721.8544056
0,30,0,4,18,False,178,4,28,1052,10.52,1658852722.0098362
1,30,0,4,18,True,178,4,29,1053,10.53,1658852722.0098362
0,31,0,4,18,False,84,3,108,876,8.76,1658852722.5737472
1,31,0,4,18,True,84,3,113,881,8.81,1658852722.5737472
