NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 16,Row,125, 4,75 , 1099 , 10.99,1657132978.9677155 
0,0, 4, 1,Col,125, 4,75 , 1099 , 10.99,1657132978.9677155 

1,0, 4, 4,Row,32, 3,151 , 919 , 9.19,1657132981.2969592 
1,0, 4, 6,Col,32, 3,135 , 903 , 9.03,1657132981.2969592 

2,0, 4, 25,Row,146, 12,125 , 3197 , 31.97,1657132982.056605 
2,0, 4, 5,Col,146, 12,120 , 3192 , 31.92,1657132982.056605 

3,0, 4, 1,Row,15, 1,242 , 498 , 4.98,1657132982.8345878 
3,0, 4, 30,Col,15, 2,15 , 527 , 5.27,1657132982.8345878 

4,0, 4, 16,Row,39, 4,134 , 1158 , 11.58,1657132983.6127605 
4,0, 4, 1,Col,39, 4,130 , 1154 , 11.54,1657132983.6127605 

5,0, 4, 15,Row,136, 7,54 , 1846 , 18.46,1657132984.8105838 
5,0, 4, 15,Col,136, 7,44 , 1836 , 18.36,1657132984.8105838 

6,0, 4, 16,Row,180, 5,1 , 1281 , 12.81,1657132985.5850253 
6,0, 4, 1,Col,180, 5,2 , 1282 , 12.82,1657132985.5850253 

7,0, 4, 0,Row,27, 1,93 , 349 , 3.49,1657132988.5212646 
7,0, 4, 31,Col,27, 1,74 , 330 , 3.3,1657132988.5212646 

