NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 6,Row,136, 6,66 , 1602 , 16.02,1657133167.40809 
0,0, 4, 1,Col,136, 6,56 , 1592 , 15.92,1657133167.40809 

1,0, 4, 6,Row,206, 5,114 , 1394 , 13.94,1657133168.2792914 
1,0, 4, 1,Col,206, 5,109 , 1389 , 13.89,1657133168.2792914 

2,0, 4, 25,Row,119, 11,27 , 2843 , 28.43,1657133169.0457659 
2,0, 4, 5,Col,119, 11,23 , 2839 , 28.39,1657133169.0457659 

3,0, 4, 17,Row,209, 0,241 , 241 , 2.41,1657133174.6768484 
3,0, 4, 8,Col,209, 0,240 , 240 , 2.4,1657133174.6768484 

4,0, 4, 3,Row,78, 0,110 , 110 , 1.1,1657133175.4560347 
4,0, 4, 34,Col,78, 0,110 , 110 , 1.1,1657133175.4560347 

5,0, 4, 8,Row,234, 8,19 , 2067 , 20.67,1657133178.6986458 
5,0, 4, 17,Col,233, 8,26 , 2074 , 20.74,1657133178.6986458 

