NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,112, 3,129 , 897 , 8.97,1657139346.5442533 
0,0, 4, 0,Col,111, 3,199 , 967 , 9.67,1657139346.5442533 

1,0, 4, 0,Row,125, 1,61 , 317 , 3.17,1657139347.2762542 
1,0, [0;31;40m0[0m, 4,Row,0, 5,0 , 1280 , 12.8,1657139347.2762542 
1,[0;31;40m30[0m, [0;31;40m6[0m, 4,Row,128, 5,1 , 1281 , 12.81,1657139347.2762542 
1,[0;31;40m27[0m, [0;31;40m6[0m, 61,Row,61, 13,61 , 3389 , 33.89,1657139347.2762542 

2,0, 4, 0,Row,203, 11,248 , 3064 , 30.64,1657139348.0071352 
2,0, 4, 0,Col,203, 12,217 , 3289 , 32.89,1657139348.0071352 

3,0, 4, 0,Row,184, 15,172 , 4012 , 40.12,1657139348.7352073 
3,0, 4, 0,Col,184, 0,187 , 187 , 1.87,1657139348.7352073 

4,0, 4, 0,Row,35, 1,75 , 331 , 3.31,1657139349.4674532 
4,0, 4, 0,Col,34, 2,153 , 665 , 6.65,1657139349.4674532 

5,0, 4, 0,Row,27, 6,26 , 1562 , 15.62,1657139350.1975546 
5,0, 4, 0,Col,27, 6,193 , 1729 , 17.29,1657139350.1975546 

6,0, 4, 0,Row,136, 14,36 , 3620 , 36.2,1657139350.9447222 
6,0, 4, 0,Col,135, 15,14 , 3854 , 38.54,1657139350.9447222 

7,0, 4, 0,Row,108, 9,215 , 2519 , 25.19,1657139351.6770885 
7,0, 4, 0,Col,107, 11,63 , 2879 , 28.79,1657139351.6770885 

8,0, 4, 0,Row,22, 2,175 , 687 , 6.87,1657139352.4089553 
8,0, 4, 0,Col,21, 3,90 , 858 , 8.58,1657139352.4089553 

9,0, 4, 0,Row,131, 7,185 , 1977 , 19.77,1657139353.1371224 
9,0, 4, 0,Col,131, 8,64 , 2112 , 21.12,1657139353.1371224 

10,0, 4, 0,Row,222, 1,120 , 376 , 3.76,1657139353.8719745 
10,0, 4, 0,Col,222, 3,22 , 790 , 7.9,1657139353.8719745 
10,0, 4, 0,Row,128, 4,135 , 1159 , 11.59,1657139353.8719745 
10,0, 4, 0,Col,128, 4,144 , 1168 , 11.68,1657139353.8719745 

11,0, 4, 0,Row,150, 8,247 , 2295 , 22.95,1657139354.6041014 
11,0, 4, 0,Col,150, 10,135 , 2695 , 26.95,1657139354.6041014 

12,0, 4, 0,Row,90, 13,41 , 3369 , 33.69,1657139355.3326938 
12,0, 4, 0,Col,89, 14,165 , 3749 , 37.49,1657139355.3326938 

13,0, 4, 0,Row,193, 14,160 , 3744 , 37.44,1657139356.0620935 
13,0, 4, 0,Col,193, 15,204 , 4044 , 40.44,1657139356.0620935 
13,0, 4, 0,Row,24, 3,53 , 821 , 8.21,1657139356.0620935 
13,0, 4, 0,Col,23, 3,66 , 834 , 8.34,1657139356.0620935 

14,0, 4, 0,Row,4, 0,221 , 221 , 2.21,1657139356.8104792 
