NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,213, 5,194 , 1474 , 14.74,1656617008.3714888 
0,0, 4, 0,Col,213, 6,27 , 1563 , 15.63,1656617008.3714888 

1,0, 4, 0,Row,11, 2,204 , 716 , 7.16,1656617009.2132444 
1,0, 4, 0,Col,11, 2,237 , 749 , 7.49,1656617009.2132444 

2,0, 4, 0,Row,73, 3,132 , 900 , 9.0,1656617009.9626563 
2,0, 4, 0,Col,73, 3,151 , 919 , 9.19,1656617009.9626563 

3,0, 4, 0,Row,166, 1,179 , 435 , 4.35,1656617010.6928957 
3,0, 4, 0,Col,166, 1,212 , 468 , 4.68,1656617010.6928957 

4,0, 4, 0,Row,82, 0,128 , 128 , 1.28,1656617011.4738352 
4,0, 4, 0,Col,82, 0,142 , 142 , 1.42,1656617011.4738352 

5,0, 4, 0,Row,157, 1,204 , 460 , 4.6,1656617012.238892 
5,0, 4, 0,Col,157, 1,232 , 488 , 4.88,1656617012.238892 

6,0, 4, 0,Row,104, 2,87 , 599 , 5.99,1656617013.0174835 
6,0, 4, 0,Col,104, 2,121 , 633 , 6.33,1656617013.0174835 

7,0, 4, 0,Row,37, 2,157 , 669 , 6.69,1656617013.7655902 
7,0, 4, 0,Col,37, 2,204 , 716 , 7.16,1656617013.7655902 

8,0, 4, 0,Row,46, 2,18 , 530 , 5.3,1656617015.2514784 
8,0, 4, 0,Col,46, 2,29 , 541 , 5.41,1656617015.2514784 

9,0, 4, 0,Row,56, 5,226 , 1506 , 15.06,1656617015.9832087 
9,0, 4, 0,Col,56, 6,18 , 1554 , 15.54,1656617015.9832087 

10,0, 4, 0,Row,222, 4,250 , 1274 , 12.74,1656617016.7157514 
10,0, 4, 0,Col,222, 5,39 , 1319 , 13.19,1656617016.7157514 

11,0, 4, 0,Row,243, 1,34 , 290 , 2.9,1656617017.4674857 
11,0, 4, 0,Col,242, 1,44 , 300 , 3.0,1656617017.4674857 

12,0, 4, 0,Row,243, 0,25 , 25 , 0.25,1656617018.2134755 
12,0, 4, 0,Col,185, 0,57 , 57 , 0.57,1656617018.2134755 

13,0, 4, 0,Row,168, 0,75 , 75 , 0.75,1656617018.9448223 
13,0, 4, 0,Col,168, 0,91 , 91 , 0.91,1656617018.9448223 

14,0, 4, 0,Row,230, 1,34 , 290 , 2.9,1656617019.6751075 
14,0, 4, 0,Col,230, 1,63 , 319 , 3.19,1656617019.6751075 

15,0, 4, 0,Row,198, 7,88 , 1880 , 18.8,1656617020.4063232 
15,0, 4, 0,Col,197, 7,146 , 1938 , 19.38,1656617020.4063232 

16,0, 4, 0,Row,210, 2,117 , 629 , 6.29,1656617021.1527154 
