NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,236, 7,226 , 2018 , 20.18,1657740163.9290977 
0,0, 4, 0,Col,236, 13,214 , 3542 , 35.42,1657740163.9290977 
0,0, 4, 0,Row,215, 0,232 , 232 , 2.32,1657740163.9290977 
0,0, 4, 0,Col,215, 0,243 , 243 , 2.43,1657740163.9290977 

1,0, 4, 0,Row,54, 1,103 , 359 , 3.59,1657741620.4342253 
1,0, 4, 0,Col,54, 1,114 , 370 , 3.7,1657741620.4342253 

2,0, 4, 0,Row,237, 0,255 , 255 , 2.55,1657741856.2914646 
2,0, 4, 0,Col,236, 1,8 , 264 , 2.64,1657741856.2914646 

3,0, 4, 0,Row,59, 4,217 , 1241 , 12.41,1657741975.19161 
3,0, 4, 0,Col,59, 4,228 , 1252 , 12.52,1657741975.19161 

