dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,,,,,,,,,,1670255421.5351067
0,1,,,,,,,,,,1670255421.5824459
0,2,,,,,,,,,,1670255421.6286418
0,3,,,,,,,,,,1670255421.6749594
0,4,,,,,,,,,,1670255421.8910468
0,5,0,4,3,True,34,0,16,16,0.08,1670255422.296138
0,6,0,4,30,False,133,2,168,680,3.4,1670255422.3459938
1,6,0,4,9,True,133,2,137,649,3.245,1670255422.3459938
0,7,0,4,31,True,161,0,24,24,0.12,1670255422.8284492
0,8,0,4,34,False,59,1,117,373,1.865,1670255423.527525
1,8,0,4,21,True,59,1,88,344,1.72,1670255423.527525
0,9,0,4,4,False,224,1,30,286,1.43,1670255423.5672135
1,9,0,4,30,True,224,0,250,250,1.25,1670255423.5672135
0,10,0,4,3,False,46,2,24,536,2.68,1670255424.0083122
1,10,0,4,33,True,46,1,254,510,2.55,1670255424.0083122
0,11,0,4,4,False,212,0,175,175,0.875,1670255424.4233363
1,11,0,4,24,True,212,0,135,135,0.675,1670255424.4233363
0,12,0,4,16,False,64,0,116,116,0.58,1670255424.5148578
1,12,0,4,10,True,64,0,94,94,0.47,1670255424.5148578
0,13,0,4,25,False,91,4,106,1130,5.65,1670255424.9392908
1,13,0,4,5,True,91,4,77,1101,5.505,1670255424.9398148
0,14,0,4,24,False,143,0,210,210,1.05,1670255425.4231496
1,14,0,4,31,True,143,0,181,181,0.905,1670255425.4233234
0,15,0,4,34,False,135,0,211,211,1.055,1670255425.7384214
1,15,0,4,8,True,135,0,183,183,0.915,1670255425.738948
0,16,0,4,7,False,20,0,226,226,1.13,1670255426.9775722
1,16,0,4,0,True,20,0,200,200,1.0,1670255426.9780507
0,17,0,4,34,False,13,1,61,317,1.585,1670255427.5542545
1,17,0,4,8,True,13,1,33,289,1.445,1670255427.5553896
0,18,0,4,24,False,143,0,53,53,0.265,1670255427.5999103
1,18,0,4,31,True,143,0,67,67,0.335,1670255427.6000896
0,19,0,4,34,False,13,0,247,247,1.235,1670255427.6448479
1,19,0,4,8,True,13,0,219,219,1.095,1670255427.6448479
0,20,0,4,32,False,111,1,37,293,1.465,1670255427.9875486
1,20,0,4,30,True,111,1,13,269,1.345,1670255427.9875486
0,21,0,4,4,False,130,0,151,151,0.755,1670255428.8728838
1,21,0,4,30,True,130,0,114,114,0.57,1670255428.8731024
0,22,0,4,34,False,13,0,53,53,0.265,1670255429.0869188
1,22,0,4,21,True,59,0,58,58,0.29,1670255429.0869188
0,23,0,4,24,False,188,0,212,212,1.06,1670255429.136289
1,23,0,4,31,True,188,0,182,182,0.91,1670255429.136289
0,24,0,4,34,False,235,1,99,355,1.775,1670255429.5095043
1,24,0,4,8,True,235,1,70,326,1.63,1670255429.5097024
0,25,0,4,9,False,191,1,61,317,1.585,1670255429.8344069
1,25,0,4,32,True,191,1,28,284,1.42,1670255429.8344069
0,26,0,4,30,False,18,3,203,971,4.855,1670255429.9454467
1,26,0,4,9,True,18,3,171,939,4.695,1670255429.9454467
0,27,0,4,6,False,253,1,195,451,2.255,1670255429.9913497
1,27,0,4,11,True,253,1,169,425,2.125,1670255429.991562
0,28,0,4,34,False,188,1,74,330,1.65,1670255430.7380996
1,28,0,4,8,True,188,1,46,302,1.51,1670255430.7383304
0,29,0,4,7,False,24,2,149,661,3.305,1670255431.0941353
1,29,0,4,21,True,23,2,115,627,3.135,1670255431.0941353
0,30,0,4,9,False,96,2,5,517,2.585,1670255431.6232302
1,30,0,4,17,True,96,1,231,487,2.435,1670255431.6234283
0,31,0,4,4,False,90,0,182,182,0.91,1670255431.7790377
1,31,0,4,30,True,90,0,146,146,0.73,1670255431.7790377
0,32,0,4,20,False,136,1,39,295,1.475,1670255431.846263
1,32,0,4,26,True,136,1,8,264,1.32,1670255431.8472013
0,33,0,4,9,False,211,2,28,540,2.7,1670255432.0586715
1,33,0,4,17,True,211,1,254,510,2.55,1670255432.0586715
0,34,0,4,9,False,130,2,8,520,2.6,1670255432.1043544
1,34,0,4,17,True,130,1,235,491,2.455,1670255432.1054
0,35,0,4,28,True,194,0,22,22,0.11,1670255432.678618
0,36,0,4,16,False,186,0,132,132,0.66,1670255432.9490736
1,36,0,4,27,False,239,1,52,308,1.54,1670255432.9500704
2,36,0,4,10,True,186,0,111,111,0.555,1670255432.9500704
3,36,0,4,33,True,239,1,23,279,1.395,1670255432.951067
0,37,0,4,21,False,38,1,240,496,2.48,1670255433.3807895
1,37,0,4,4,True,38,1,212,468,2.34,1670255433.3807895
0,38,0,4,4,False,83,0,200,200,1.0,1670255433.796393
1,38,0,4,30,True,83,0,165,165,0.825,1670255433.7974265
0,39,0,4,18,False,175,0,207,207,1.035,1670255433.9390504
1,39,0,4,22,True,175,0,176,176,0.88,1670255433.9396815
0,40,0,4,5,False,130,1,17,273,1.365,1670255434.348947
1,40,0,4,31,True,130,0,245,245,1.225,1670255434.348947
0,41,0,4,4,False,16,1,150,406,2.03,1670255434.8859916
1,41,0,4,30,True,16,1,115,371,1.855,1670255434.8859916
0,42,0,4,15,False,137,1,234,490,2.45,1670255435.5197506
1,42,0,4,34,True,137,1,208,464,2.32,1670255435.520716
0,43,0,4,4,False,203,0,106,106,0.53,1670255435.725891
1,43,0,4,30,True,203,0,80,80,0.4,1670255435.7268574
0,44,0,4,10,False,75,1,69,325,1.625,1670255435.8018346
1,44,0,4,7,True,75,1,35,291,1.455,1670255435.8021364
0,45,0,4,24,False,23,0,183,183,0.915,1670255436.8528628
1,45,0,4,31,True,23,0,153,153,0.765,1670255436.8530712
0,46,0,4,14,False,92,1,126,382,1.91,1670255437.0373862
1,46,0,4,18,True,92,1,92,348,1.74,1670255437.0374985
0,47,0,4,34,False,49,0,123,123,0.615,1670255438.4261303
1,47,0,4,8,True,49,0,95,95,0.475,1670255438.4261303
0,48,0,4,28,False,233,0,196,196,0.98,1670255438.6769845
1,48,0,4,7,True,233,0,163,163,0.815,1670255438.6771333
0,49,0,4,18,False,139,5,17,1297,6.485,1670255439.1605892
1,49,0,4,10,True,139,4,245,1269,6.345,1670255439.1605892
0,50,0,4,29,False,108,0,228,228,1.14,1670255440.234406
1,50,0,4,21,True,108,0,205,205,1.025,1670255440.234406
0,51,0,4,5,False,42,0,204,204,1.02,1670255440.6369488
1,51,0,4,24,False,17,1,7,263,1.315,1670255440.6369488
2,51,0,4,31,True,42,1,156,412,2.06,1670255440.6369488
0,52,0,4,24,False,82,1,163,419,2.095,1670255441.2927873
1,52,0,4,31,True,82,1,133,389,1.945,1670255441.2930312
0,53,0,4,9,False,127,2,36,548,2.74,1670255441.5279307
1,53,0,4,17,True,127,2,6,518,2.59,1670255441.5281336
0,54,0,4,33,False,36,0,207,207,1.035,1670255441.644847
1,54,0,4,16,True,36,0,178,178,0.89,1670255441.6453545
0,55,0,4,20,False,102,1,100,356,1.78,1670255441.7609413
1,55,0,4,26,True,102,1,69,325,1.625,1670255441.7611678
0,56,0,4,34,False,51,1,103,359,1.795,1670255442.010494
1,56,0,4,30,True,51,1,95,351,1.755,1670255442.010494
0,57,0,4,31,False,194,0,185,185,0.925,1670255442.324444
1,57,0,4,5,True,194,0,165,165,0.825,1670255442.325476
0,58,0,4,32,False,149,1,88,344,1.72,1670255442.6514602
1,58,0,4,27,True,149,1,54,310,1.55,1670255442.651841
0,59,0,4,4,False,140,1,130,386,1.93,1670255443.243163
1,59,0,4,30,True,140,1,94,350,1.75,1670255443.243584
0,60,0,4,16,False,133,1,157,413,2.065,1670255443.3000522
1,60,0,4,10,True,133,1,135,391,1.955,1670255443.3002925
0,61,0,4,17,False,95,1,43,299,1.495,1670255444.0403707
1,61,0,4,14,True,94,1,15,271,1.355,1670255444.0403707
0,62,0,4,2,False,78,1,72,328,1.64,1670255444.4899013
1,62,0,4,21,True,78,1,36,292,1.46,1670255444.4899013
0,63,0,4,3,False,118,0,220,220,1.1,1670255444.5541317
1,63,0,4,2,True,118,0,200,200,1.0,1670255444.5541317
0,64,0,4,9,False,206,0,208,208,1.04,1670255445.3053668
1,64,0,4,32,True,206,0,175,175,0.875,1670255445.30638
0,65,0,4,21,True,108,0,39,39,0.195,1670255445.754148
0,66,0,4,30,False,25,0,179,179,0.895,1670255446.0434377
1,66,0,4,7,True,25,0,149,149,0.745,1670255446.0434377
0,67,0,4,28,False,201,1,199,455,2.275,1670255446.7433817
1,67,0,4,13,True,201,1,167,423,2.115,1670255446.7433817
0,68,0,4,2,False,25,1,122,378,1.89,1670255447.100587
1,68,0,4,32,False,73,0,195,195,0.975,1670255447.1008039
2,68,0,4,21,True,24,1,85,341,1.705,1670255447.100868
3,68,0,4,30,True,73,0,172,172,0.86,1670255447.100868
0,69,0,4,16,False,229,2,26,538,2.69,1670255447.6082423
1,69,0,4,14,True,229,2,2,514,2.57,1670255447.6092415
0,70,0,4,30,False,250,3,148,916,4.58,1670255447.8890843
1,70,0,4,7,True,250,3,88,856,4.28,1670255447.8890843
0,71,0,4,14,False,123,0,120,120,0.6,1670255448.7637038
1,71,0,4,18,True,123,0,86,86,0.43,1670255448.7647047
0,72,0,4,28,False,120,2,126,638,3.19,1670255449.5078387
1,72,0,4,13,True,120,2,94,606,3.03,1670255449.5082898
0,73,0,4,29,False,84,0,68,68,0.34,1670255449.5678394
1,73,0,4,32,False,252,1,69,325,1.625,1670255449.5682683
2,73,0,4,21,True,84,0,82,82,0.41,1670255449.5689664
3,73,0,4,27,True,252,1,35,291,1.455,1670255449.5695283
0,74,0,4,28,False,25,1,178,434,2.17,1670255450.6042824
1,74,0,4,32,True,25,1,144,400,2.0,1670255450.6042824
0,75,0,4,10,False,58,1,94,350,1.75,1670255451.3575099
1,75,0,4,20,True,58,1,56,312,1.56,1670255451.358708
0,76,0,4,28,False,137,2,10,522,2.61,1670255451.6998866
1,76,0,4,19,True,137,1,235,491,2.455,1670255451.7001064
0,77,0,4,11,False,232,0,46,46,0.23,1670255451.8102212
1,77,0,4,22,True,175,0,38,38,0.19,1670255451.8109515
