dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,34,False,211,2,173,685,3.425,1670255999.998647
1,0,0,4,8,True,211,2,117,629,3.145,1670255999.9996524
0,1,0,4,9,False,128,0,99,99,0.495,1670256000.7082086
1,1,0,4,32,True,128,0,77,77,0.385,1670256000.7094724
0,2,0,4,19,False,105,3,113,881,4.405,1670256002.1709747
1,2,0,4,32,True,105,3,85,853,4.265,1670256002.171257
0,3,0,4,24,False,5,0,188,188,0.94,1670256006.9138663
1,3,0,4,31,True,5,0,160,160,0.8,1670256006.9148593
0,4,0,4,34,False,0,1,90,346,1.73,1670256007.4195645
1,4,0,4,8,True,0,1,62,318,1.59,1670256007.4202068
0,5,0,4,31,True,5,0,40,40,0.2,1670256011.556351
0,6,0,4,12,False,6,1,84,340,1.7,1670256011.6443062
1,6,0,4,34,True,6,1,51,307,1.535,1670256011.6446033
0,7,0,4,34,False,235,1,99,355,1.775,1670256013.1653454
1,7,0,4,14,True,235,1,68,324,1.62,1670256013.166343
0,8,0,4,0,False,147,2,98,610,3.05,1670256014.106621
1,8,0,4,34,True,147,2,71,583,2.915,1670256014.1076293
0,9,0,4,32,False,224,0,157,157,0.785,1670256014.371707
1,9,0,4,27,True,224,0,123,123,0.615,1670256014.3727067
0,10,0,4,18,False,31,3,164,932,4.66,1670256014.6735096
1,10,0,4,10,True,31,3,135,903,4.515,1670256014.6735096
0,11,0,4,33,False,194,0,171,171,0.855,1670256015.9405193
1,11,0,4,16,True,194,0,144,144,0.72,1670256015.9415276
0,12,0,4,10,False,149,1,105,361,1.805,1670256017.7476826
1,12,0,4,7,True,149,1,71,327,1.635,1670256017.748998
0,13,0,4,10,False,41,1,19,275,1.375,1670256020.1473522
1,13,0,4,7,True,41,0,241,241,1.205,1670256020.14836
0,14,0,4,25,False,245,1,199,455,2.275,1670256021.9607542
1,14,0,4,24,True,245,1,171,427,2.135,1670256021.9607542
0,15,0,4,30,False,211,2,1,513,2.565,1670256024.104949
1,15,0,4,7,True,211,1,226,482,2.41,1670256024.1059532
0,16,0,4,6,False,18,2,36,548,2.74,1670256025.6966875
1,16,0,4,32,True,17,2,11,523,2.615,1670256025.6966875
0,17,0,4,26,False,140,3,65,833,4.165,1670256026.3223255
1,17,0,4,31,True,140,3,34,802,4.01,1670256026.3233194
0,18,0,4,2,False,65,0,211,211,1.055,1670256027.406227
1,18,0,4,20,True,65,0,172,172,0.86,1670256027.406227
0,19,0,4,33,False,115,1,149,405,2.025,1670256029.3956058
1,19,0,4,31,True,115,1,113,369,1.845,1670256029.3956058
0,20,0,4,34,False,48,2,67,579,2.895,1670256030.3608882
1,20,0,4,8,True,48,2,39,551,2.755,1670256030.3608882
0,21,0,4,34,False,174,1,81,337,1.685,1670256030.5681674
1,21,0,4,8,True,174,1,54,310,1.55,1670256030.5691698
0,22,0,4,34,False,32,1,48,304,1.52,1670256032.2878473
1,22,0,4,8,True,32,1,20,276,1.38,1670256032.2888458
0,23,0,4,27,False,5,1,54,310,1.55,1670256033.5948696
1,23,0,4,33,True,5,1,25,281,1.405,1670256033.5958774
0,24,0,4,3,False,114,2,216,728,3.64,1670256035.657363
1,24,0,4,33,True,114,2,192,704,3.52,1670256035.657603
0,25,0,4,7,False,100,1,250,506,2.53,1670256039.7852788
1,25,0,4,21,True,100,1,217,473,2.365,1670256039.7862728
0,26,0,4,12,False,240,1,181,437,2.185,1670256039.890023
1,26,0,4,5,True,240,1,149,405,2.025,1670256039.8909836
0,27,0,4,33,False,160,0,182,182,0.91,1670256040.3160145
1,27,0,4,31,True,159,0,145,145,0.725,1670256040.3172119
0,28,0,4,26,False,77,1,243,499,2.495,1670256040.914929
1,28,0,4,32,True,77,1,213,469,2.345,1670256040.9160233
0,29,0,4,30,False,107,2,142,654,3.27,1670256040.9772325
1,29,0,4,7,True,107,2,111,623,3.115,1670256040.9785664
0,30,0,4,34,False,121,1,41,297,1.485,1670256041.8667643
1,30,0,4,8,True,121,1,14,270,1.35,1670256041.8680391
0,31,0,4,31,False,127,1,5,261,1.305,1670256042.0846498
1,31,0,4,28,True,127,0,242,242,1.21,1670256042.0865393
0,32,0,4,34,False,144,1,56,312,1.56,1670256042.9450822
1,32,0,4,8,True,144,1,28,284,1.42,1670256042.9452465
0,33,0,4,30,False,169,1,7,263,1.315,1670256044.7809658
