dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,,,,,,,,,,1670254303.8157487
0,1,,,,,,,,,,1670254303.8606918
0,2,,,,,,,,,,1670254303.907418
0,3,,,,,,,,,,1670254303.9559777
0,4,,,,,,,,,,1670254304.0022695
0,5,,,,,,,,,,1670254304.0526156
0,6,,,,,,,,,,1670254304.094315
0,7,,,,,,,,,,1670254304.1425273
0,8,,,,,,,,,,1670254304.1879973
0,9,,,,,,,,,,1670254304.2344286
0,10,,,,,,,,,,1670254304.2784758
0,11,,,,,,,,,,1670254304.3288503
0,12,,,,,,,,,,1670254304.3745723
0,13,,,,,,,,,,1670254304.4194815
0,14,,,,,,,,,,1670254304.4682271
0,15,,,,,,,,,,1670254304.5174236
0,16,,,,,,,,,,1670254304.5621815
0,17,,,,,,,,,,1670254304.607474
0,18,,,,,,,,,,1670254304.65403
0,19,,,,,,,,,,1670254304.7020779
0,20,,,,,,,,,,1670254304.7480063
0,21,,,,,,,,,,1670254304.789778
0,22,,,,,,,,,,1670254304.8366036
0,23,,,,,,,,,,1670254304.8821645
0,24,,,,,,,,,,1670254304.9343114
0,25,,,,,,,,,,1670254304.978749
0,36,,,,,,,,,,1670254305.4899309
0,37,,,,,,,,,,1670254305.5334811
0,38,,,,,,,,,,1670254305.5849712
0,39,,,,,,,,,,1670254305.6405094
0,40,,,,,,,,,,1670254305.6873944
0,41,,,,,,,,,,1670254305.735741
0,42,,,,,,,,,,1670254305.783705
0,43,,,,,,,,,,1670254305.8264568
0,44,,,,,,,,,,1670254305.8725212
0,45,,,,,,,,,,1670254305.9207156
0,46,,,,,,,,,,1670254305.9655337
0,47,,,,,,,,,,1670254306.0179114
0,48,,,,,,,,,,1670254306.0765417
0,49,,,,,,,,,,1670254306.1212373
0,50,,,,,,,,,,1670254306.1673994
0,51,,,,,,,,,,1670254306.216399
0,52,,,,,,,,,,1670254306.2582884
0,53,,,,,,,,,,1670254306.3044543
0,54,,,,,,,,,,1670254306.3503604
0,55,,,,,,,,,,1670254306.3992853
0,56,,,,,,,,,,1670254306.4507246
0,57,,,,,,,,,,1670254306.509702
0,58,,,,,,,,,,1670254306.5558262
0,59,,,,,,,,,,1670254306.6023848
0,60,,,,,,,,,,1670254306.6497061
0,61,,,,,,,,,,1670254306.6954186
0,62,,,,,,,,,,1670254306.7379282
0,63,,,,,,,,,,1670254306.7877955
0,64,,,,,,,,,,1670254306.8334093
0,65,,,,,,,,,,1670254306.883448
0,82,,,,,,,,,,1670254307.6856954
0,83,,,,,,,,,,1670254307.732487
0,84,,,,,,,,,,1670254307.7775228
0,85,,,,,,,,,,1670254307.827348
0,86,,,,,,,,,,1670254307.872155
0,87,,,,,,,,,,1670254307.9175751
0,88,,,,,,,,,,1670254307.9654212
0,89,,,,,,,,,,1670254308.0101936
0,90,,,,,,,,,,1670254308.0519466
0,91,,,,,,,,,,1670254308.0981455
0,93,,,,,,,,,,1670254308.1978767
0,94,,,,,,,,,,1670254308.2381604
0,95,,,,,,,,,,1670254308.2885182
0,96,,,,,,,,,,1670254308.3355749
0,97,,,,,,,,,,1670254308.3955784
0,98,,,,,,,,,,1670254308.4418547
0,99,,,,,,,,,,1670254308.489763
0,100,,,,,,,,,,1670254308.53552
0,101,,,,,,,,,,1670254308.5815897
0,102,,,,,,,,,,1670254308.6316156
0,103,,,,,,,,,,1670254308.6918945
0,104,,,,,,,,,,1670254308.7375383
0,105,,,,,,,,,,1670254308.7852714
0,106,,,,,,,,,,1670254308.8320873
0,107,,,,,,,,,,1670254308.8772902
0,108,,,,,,,,,,1670254308.9243114
0,109,,,,,,,,,,1670254308.9700727
0,110,,,,,,,,,,1670254309.0136395
0,111,,,,,,,,,,1670254309.0638824
0,112,,,,,,,,,,1670254309.107652
0,113,,,,,,,,,,1670254309.1541772
0,114,,,,,,,,,,1670254309.1995907
0,115,,,,,,,,,,1670254309.247102
0,116,,,,,,,,,,1670254309.3094697
0,117,,,,,,,,,,1670254309.3694062
0,118,,,,,,,,,,1670254309.4154737
0,119,,,,,,,,,,1670254309.4633875
0,120,,,,,,,,,,1670254309.520312
0,121,,,,,,,,,,1670254309.5664833
0,122,,,,,,,,,,1670254309.614976
0,123,,,,,,,,,,1670254309.6634514
0,124,,,,,,,,,,1670254309.7058427
0,125,,,,,,,,,,1670254309.752846
0,126,,,,,,,,,,1670254309.7978947
0,127,,,,,,,,,,1670254309.8495069
