dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,22,False,68,0,100,100,0.5,1670254899.7264895
1,0,0,4,12,True,68,0,74,74,0.37,1670254899.7274854
0,1,0,4,22,False,171,2,113,625,3.125,1670254900.6827455
1,1,0,4,12,True,171,2,85,597,2.985,1670254900.6832762
0,2,0,4,22,False,160,1,99,355,1.775,1670254902.169519
1,2,0,4,12,True,160,1,71,327,1.635,1670254902.169519
0,3,0,4,22,False,78,0,235,235,1.175,1670254912.0500607
1,3,0,4,12,True,78,0,208,208,1.04,1670254912.0505788
0,4,0,4,4,False,90,1,179,435,2.175,1670254912.1892838
1,4,0,4,18,True,90,1,139,395,1.975,1670254912.1902485
0,5,0,4,33,False,124,1,183,439,2.195,1670254913.3134162
1,5,0,4,15,True,124,1,149,405,2.025,1670254913.3134162
0,6,0,4,4,False,157,1,185,441,2.205,1670254915.5883515
1,6,0,4,18,True,157,1,147,403,2.015,1670254915.5885613
0,7,0,4,33,False,202,1,110,366,1.83,1670254917.33151
1,7,0,4,15,True,202,1,76,332,1.66,1670254917.33151
0,8,0,4,4,False,165,1,175,431,2.155,1670254918.9017053
1,8,0,4,18,True,165,1,136,392,1.96,1670254918.9017053
