Col	Row	Count	Time
17	0	0	beam_20220607-160338
17	1	0	beam_20220607-160342
17	2	500	beam_20220607-160346
17	3	500	beam_20220607-160445
17	4	0	beam_20220607-160544
17	5	500	beam_20220607-160548
17	6	0	beam_20220607-160647
17	7	0	beam_20220607-160651
17	8	0	beam_20220607-160655
17	9	500	beam_20220607-160659
17	10	500	beam_20220607-160758
17	11	0	beam_20220607-160856
17	12	0	beam_20220607-160901
17	13	0	beam_20220607-160905
17	14	500	beam_20220607-160909
17	15	0	beam_20220607-161008
17	16	0	beam_20220607-161012
17	17	500	beam_20220607-161016
17	18	500	beam_20220607-161115
17	19	0	beam_20220607-161213
17	20	500	beam_20220607-161218
17	21	500	beam_20220607-161316
17	22	0	beam_20220607-161415
17	23	0	beam_20220607-161419
17	24	0	beam_20220607-161423
17	25	500	beam_20220607-161428
17	27	0	beam_20220607-161526
17	28	500	beam_20220607-161531
17	29	0	beam_20220607-161629
17	30	0	beam_20220607-161633
17	31	500	beam_20220607-161638
17	32	0	beam_20220607-161736
17	33	500	beam_20220607-161741
17	34	500	beam_20220607-161839
