Col	Row	Count	Time
8	0	0	beam_20220609-181054
8	1	0	beam_20220609-181058
8	2	0	beam_20220609-181102
8	3	500	beam_20220609-181107
8	4	500	beam_20220609-181205
8	5	0	beam_20220609-181304
8	6	0	beam_20220609-181308
8	7	0	beam_20220609-181312
8	8	0	beam_20220609-181317
8	9	0	beam_20220609-181321
8	10	0	beam_20220609-181325
8	11	0	beam_20220609-181329
8	12	500	beam_20220609-181333
8	13	0	beam_20220609-181432
8	14	500	beam_20220609-181436
8	15	0	beam_20220609-181535
8	16	500	beam_20220609-181539
8	17	500	beam_20220609-181638
8	18	0	beam_20220609-181736
8	19	0	beam_20220609-181741
8	20	0	beam_20220609-181745
8	21	0	beam_20220609-181749
8	22	0	beam_20220609-181753
8	23	0	beam_20220609-181757
8	24	0	beam_20220609-181801
8	25	500	beam_20220609-181805
8	26	500	beam_20220609-181904
8	27	500	beam_20220609-182003
8	28	500	beam_20220609-182102
8	29	500	beam_20220609-182200
8	30	500	beam_20220609-182259
8	31	0	beam_20220609-182358
8	32	500	beam_20220609-182402
8	33	0	beam_20220609-182501
8	34	500	beam_20220609-182505
