Col	Row	Count	Time
18	0	0	beam_20220617-111924
18	1	1	beam_20220617-111927
18	2	0	beam_20220617-111930
18	3	0	beam_20220617-111933
18	4	0	beam_20220617-111936
18	5	0	beam_20220617-111939
18	6	0	beam_20220617-111943
18	7	0	beam_20220617-111946
18	8	0	beam_20220617-111949
18	9	0	beam_20220617-111952
18	10	0	beam_20220617-111955
18	11	1	beam_20220617-111958
18	12	0	beam_20220617-112002
18	13	0	beam_20220617-112005
18	14	0	beam_20220617-112008
18	15	0	beam_20220617-112011
18	16	0	beam_20220617-112014
18	17	0	beam_20220617-112017
18	18	0	beam_20220617-112020
18	19	0	beam_20220617-112023
18	20	0	beam_20220617-112027
18	21	0	beam_20220617-112030
18	22	0	beam_20220617-112033
18	23	1	beam_20220617-112036
18	24	0	beam_20220617-112039
18	25	0	beam_20220617-112042
18	26	0	beam_20220617-112045
18	27	0	beam_20220617-112049
18	28	0	beam_20220617-112052
18	29	0	beam_20220617-112055
18	30	0	beam_20220617-112058
18	31	0	beam_20220617-112101
18	32	0	beam_20220617-112104
18	33	0	beam_20220617-112107
18	34	0	beam_20220617-112111
