Col	Row	Count	Time
19	0	0	beam_20220622-163108
19	1	0	beam_20220622-163109
19	2	5	beam_20220622-163110
19	3	0	beam_20220622-163112
19	4	0	beam_20220622-163113
19	5	0	beam_20220622-163114
19	6	0	beam_20220622-163115
19	7	0	beam_20220622-163116
19	8	5	beam_20220622-163117
19	9	0	beam_20220622-163119
19	10	0	beam_20220622-163120
19	11	0	beam_20220622-163121
19	12	0	beam_20220622-163122
19	13	0	beam_20220622-163123
19	14	5	beam_20220622-163124
19	15	0	beam_20220622-163126
19	16	5	beam_20220622-163127
19	17	0	beam_20220622-163129
19	18	5	beam_20220622-163130
19	19	5	beam_20220622-163132
19	20	5	beam_20220622-163133
19	21	0	beam_20220622-163135
19	22	0	beam_20220622-163136
19	23	5	beam_20220622-163137
19	24	0	beam_20220622-163139
19	25	5	beam_20220622-163140
19	26	0	beam_20220622-163142
19	27	0	beam_20220622-163143
19	28	0	beam_20220622-163144
19	29	0	beam_20220622-163145
19	30	0	beam_20220622-163146
19	31	0	beam_20220622-163147
19	32	0	beam_20220622-163148
19	33	5	beam_20220622-163149
19	34	0	beam_20220622-163151
