Col	Row	Count	Time
31	0	0	beam_20220629-180018
31	1	0	beam_20220629-180019
31	2	50	beam_20220629-180021
31	3	0	beam_20220629-180027
31	4	50	beam_20220629-180028
31	5	0	beam_20220629-180035
31	6	0	beam_20220629-180036
31	7	0	beam_20220629-180037
31	8	0	beam_20220629-180039
31	9	0	beam_20220629-180040
31	10	50	beam_20220629-180041
31	11	0	beam_20220629-180048
31	12	50	beam_20220629-180049
31	13	0	beam_20220629-180055
31	14	50	beam_20220629-180057
31	15	0	beam_20220629-180103
31	16	0	beam_20220629-180104
31	17	50	beam_20220629-180106
31	18	50	beam_20220629-180112
31	19	50	beam_20220629-180119
31	20	50	beam_20220629-180125
31	21	0	beam_20220629-180132
31	22	50	beam_20220629-180133
31	23	0	beam_20220629-180140
31	24	50	beam_20220629-180141
31	25	50	beam_20220629-180148
31	26	0	beam_20220629-180154
31	27	50	beam_20220629-180155
31	28	0	beam_20220629-180202
31	29	50	beam_20220629-180203
31	30	32	beam_20220629-180210
31	31	50	beam_20220629-180214
31	32	50	beam_20220629-180221
31	33	0	beam_20220629-180227
31	34	50	beam_20220629-180229
