Col	Row	Count	Time
24	0	0	beam_20220512-032645
24	1	0	beam_20220512-032649
24	2	500	beam_20220512-032654
24	3	0	beam_20220512-033327
24	4	30	beam_20220512-033331
24	5	0	beam_20220512-033358
24	6	0	beam_20220512-033403
24	7	0	beam_20220512-033407
24	8	0	beam_20220512-033411
24	9	1	beam_20220512-033415
24	11	0	beam_20220512-033420
24	12	0	beam_20220512-033424
24	13	0	beam_20220512-033428
24	14	194	beam_20220512-033432
24	15	0	beam_20220512-033708
24	16	500	beam_20220512-033712
24	17	0	beam_20220512-034345
24	18	0	beam_20220512-034349
24	19	3	beam_20220512-034353
24	20	0	beam_20220512-034400
24	21	0	beam_20220512-034404
24	22	0	beam_20220512-034408
24	23	0	beam_20220512-034412
24	24	0	beam_20220512-034416
24	25	0	beam_20220512-034420
24	26	0	beam_20220512-034425
24	27	0	beam_20220512-034429
24	28	0	beam_20220512-034433
24	29	0	beam_20220512-034437
24	30	0	beam_20220512-034441
24	31	0	beam_20220512-034445
24	32	0	beam_20220512-034449
24	33	13	beam_20220512-034454
24	34	0	beam_20220512-034508
