Col	Row	Count	Time
27	0	0	beam_20220603-021259
27	1	500	beam_20220603-021304
27	2	500	beam_20220603-021402
27	3	500	beam_20220603-021501
27	4	500	beam_20220603-021600
27	5	500	beam_20220603-021659
27	6	500	beam_20220603-021758
27	7	500	beam_20220603-021856
27	8	500	beam_20220603-021955
27	9	500	beam_20220603-022054
27	10	500	beam_20220603-022153
27	11	0	beam_20220603-022251
27	12	500	beam_20220603-022255
27	13	500	beam_20220603-022354
27	14	500	beam_20220603-022453
27	15	500	beam_20220603-022552
27	16	0	beam_20220603-022651
27	17	500	beam_20220603-022655
27	18	500	beam_20220603-022754
27	19	500	beam_20220603-022852
27	20	500	beam_20220603-022951
27	21	500	beam_20220603-023050
27	22	500	beam_20220603-023148
27	23	0	beam_20220603-023247
27	24	500	beam_20220603-023251
27	25	500	beam_20220603-023350
27	26	500	beam_20220603-023449
27	27	500	beam_20220603-023548
27	28	500	beam_20220603-023646
27	29	0	beam_20220603-023745
27	30	0	beam_20220603-023749
27	31	0	beam_20220603-023753
27	32	500	beam_20220603-023757
27	33	500	beam_20220603-023856
27	34	0	beam_20220603-023955
