Col	Row	Count	Time
24	0	0	beam_20220609-224210
24	1	0	beam_20220609-224215
24	2	500	beam_20220609-224219
24	3	0	beam_20220609-224317
24	4	500	beam_20220609-224322
24	5	0	beam_20220609-224420
24	6	500	beam_20220609-224424
24	7	500	beam_20220609-224523
24	8	500	beam_20220609-224622
24	9	0	beam_20220609-224721
24	10	500	beam_20220609-224725
24	11	500	beam_20220609-224824
24	12	0	beam_20220609-224923
24	13	500	beam_20220609-224927
24	14	500	beam_20220609-225025
24	15	0	beam_20220609-225124
24	16	500	beam_20220609-225128
24	17	0	beam_20220609-225227
24	18	0	beam_20220609-225231
24	19	0	beam_20220609-225235
24	20	0	beam_20220609-225239
24	21	500	beam_20220609-225244
24	22	0	beam_20220609-225342
24	23	500	beam_20220609-225346
24	24	500	beam_20220609-225445
24	25	0	beam_20220609-225544
24	26	0	beam_20220609-225548
24	28	0	beam_20220609-225552
24	29	0	beam_20220609-225556
24	30	0	beam_20220609-225601
24	31	0	beam_20220609-225605
24	32	500	beam_20220609-225609
24	33	500	beam_20220609-225708
24	34	500	beam_20220609-225806
