Col	Row	Count	Time
3	0	0	beam_20220617-105200
3	1	0	beam_20220617-105203
3	2	0	beam_20220617-105206
3	3	0	beam_20220617-105209
3	4	0	beam_20220617-105213
3	5	0	beam_20220617-105216
3	6	0	beam_20220617-105219
3	7	0	beam_20220617-105222
3	8	0	beam_20220617-105225
3	9	0	beam_20220617-105228
3	10	0	beam_20220617-105231
3	11	0	beam_20220617-105235
3	12	0	beam_20220617-105238
3	13	0	beam_20220617-105241
3	14	0	beam_20220617-105244
3	15	0	beam_20220617-105247
3	16	0	beam_20220617-105250
3	17	1	beam_20220617-105253
3	18	0	beam_20220617-105257
3	19	0	beam_20220617-105300
3	20	0	beam_20220617-105303
3	21	0	beam_20220617-105306
3	22	0	beam_20220617-105309
3	23	0	beam_20220617-105312
3	24	0	beam_20220617-105315
3	25	0	beam_20220617-105319
3	26	0	beam_20220617-105322
3	27	0	beam_20220617-105325
3	28	0	beam_20220617-105328
3	29	0	beam_20220617-105331
3	30	0	beam_20220617-105334
3	31	0	beam_20220617-105337
3	32	0	beam_20220617-105340
3	33	0	beam_20220617-105344
3	34	0	beam_20220617-105347
