Col	Row	Count	Time
2	0	15	beam_20220621-172351
2	1	0	beam_20220621-172355
2	2	15	beam_20220621-172359
2	3	15	beam_20220621-172403
2	4	15	beam_20220621-172408
2	5	15	beam_20220621-172413
2	6	0	beam_20220621-172418
2	7	15	beam_20220621-172421
2	8	0	beam_20220621-172425
2	9	15	beam_20220621-172429
2	10	15	beam_20220621-172433
2	11	15	beam_20220621-172438
2	12	15	beam_20220621-172443
2	13	15	beam_20220621-172448
2	14	15	beam_20220621-172453
2	15	15	beam_20220621-172457
2	16	15	beam_20220621-172502
2	17	15	beam_20220621-172507
2	18	15	beam_20220621-172512
2	19	15	beam_20220621-172517
2	20	15	beam_20220621-172521
2	21	0	beam_20220621-172526
2	22	15	beam_20220621-172529
2	23	15	beam_20220621-172534
2	24	15	beam_20220621-172539
2	25	15	beam_20220621-172544
2	26	15	beam_20220621-172548
2	27	15	beam_20220621-172553
2	28	15	beam_20220621-172558
2	29	15	beam_20220621-172603
2	30	15	beam_20220621-172607
2	31	15	beam_20220621-172612
2	32	15	beam_20220621-172617
2	33	15	beam_20220621-172622
2	34	15	beam_20220621-172627
