Col	Row	Count	Time
9	0	0	beam_20220622-165611
9	1	0	beam_20220622-165612
9	2	0	beam_20220622-165613
9	3	5	beam_20220622-165614
9	4	0	beam_20220622-165616
9	5	5	beam_20220622-165617
9	6	0	beam_20220622-165618
9	7	0	beam_20220622-165619
9	8	0	beam_20220622-165621
9	9	0	beam_20220622-165622
9	10	0	beam_20220622-165623
9	11	0	beam_20220622-165624
9	12	0	beam_20220622-165625
9	13	5	beam_20220622-165626
9	14	5	beam_20220622-165628
9	15	0	beam_20220622-165629
9	16	0	beam_20220622-165631
9	17	0	beam_20220622-165632
9	18	0	beam_20220622-165633
9	19	0	beam_20220622-165634
9	20	5	beam_20220622-165635
9	21	0	beam_20220622-165637
9	24	0	beam_20220622-165638
9	25	5	beam_20220622-165639
9	26	5	beam_20220622-165641
9	27	5	beam_20220622-165642
9	28	5	beam_20220622-165644
9	29	5	beam_20220622-165645
9	30	0	beam_20220622-165647
9	31	0	beam_20220622-165648
9	32	0	beam_20220622-165649
9	33	0	beam_20220622-165650
9	34	5	beam_20220622-165652
