Col	Row	Count	Time
10	0	0	beam_20220511-204758
10	1	0	beam_20220511-204802
10	2	0	beam_20220511-204806
10	3	69	beam_20220511-204810
10	4	0	beam_20220511-204908
10	5	97	beam_20220511-204912
10	6	0	beam_20220511-205032
10	7	0	beam_20220511-205036
10	8	0	beam_20220511-205040
10	9	0	beam_20220511-205044
10	10	0	beam_20220511-205049
10	11	0	beam_20220511-205053
10	12	213	beam_20220511-205057
10	13	0	beam_20220511-205347
10	14	500	beam_20220511-205351
10	15	1	beam_20220511-210024
10	16	0	beam_20220511-210029
10	17	0	beam_20220511-210033
10	18	7	beam_20220511-210037
10	19	500	beam_20220511-210047
10	20	0	beam_20220511-210721
10	21	82	beam_20220511-210725
10	22	500	beam_20220511-210833
10	23	0	beam_20220511-211506
10	24	500	beam_20220511-211510
10	25	0	beam_20220511-212143
10	26	0	beam_20220511-212147
10	27	0	beam_20220511-212152
10	28	0	beam_20220511-212156
10	29	0	beam_20220511-212200
10	30	0	beam_20220511-212204
10	31	0	beam_20220511-212208
10	32	0	beam_20220511-212212
10	33	0	beam_20220511-212216
10	34	500	beam_20220511-212220
