Col	Row	Count	Time
19	0	0	beam_20220507-231512
19	1	0	beam_20220507-231519
19	2	0	beam_20220507-231527
19	3	0	beam_20220507-231534
19	4	0	beam_20220507-231542
19	5	0	beam_20220507-231549
19	6	0	beam_20220507-231557
19	7	0	beam_20220507-231604
19	8	1000	beam_20220507-231612
19	9	0	beam_20220507-231946
19	10	0	beam_20220507-231953
19	11	0	beam_20220507-232001
19	12	0	beam_20220507-232008
19	13	1000	beam_20220507-232016
19	14	1000	beam_20220507-232349
19	15	0	beam_20220507-232724
19	16	0	beam_20220507-232731
19	17	0	beam_20220507-232738
19	18	1000	beam_20220507-232746
19	19	1000	beam_20220507-233120
19	20	0	beam_20220507-233455
19	21	1000	beam_20220507-233503
19	22	1000	beam_20220507-233837
19	23	1000	beam_20220507-234212
19	24	1000	beam_20220507-234546
19	25	0	beam_20220507-234920
19	26	1000	beam_20220507-234928
19	27	1000	beam_20220507-235302
19	28	0	beam_20220507-235637
19	29	1000	beam_20220507-235644
19	30	0	beam_20220508-000019
19	31	1000	beam_20220508-000027
19	32	0	beam_20220508-000401
19	33	1000	beam_20220508-000408
19	34	0	beam_20220508-000742
