Col	Row	Count	Time
0	0	0	beam_20220504-193122
0	1	0	beam_20220504-193129
0	2	0	beam_20220504-193136
0	3	0	beam_20220504-193143
0	4	0	beam_20220504-193150
0	5	0	beam_20220504-193157
0	6	0	beam_20220504-193204
0	7	0	beam_20220504-193211
0	8	1	beam_20220504-193219
0	9	0	beam_20220504-193227
0	10	0	beam_20220504-193234
0	11	0	beam_20220504-193241
0	12	0	beam_20220504-193248
0	13	0	beam_20220504-193255
0	14	0	beam_20220504-193302
0	15	0	beam_20220504-193309
0	16	0	beam_20220504-193316
0	17	24	beam_20220504-193323
0	18	70	beam_20220504-193348
0	19	4	beam_20220504-193447
0	20	0	beam_20220504-193457
0	21	1000	beam_20220504-193504
0	22	2	beam_20220504-194723
0	23	0	beam_20220504-194731
0	24	1000	beam_20220504-194739
0	25	1	beam_20220504-200001
0	26	9	beam_20220504-200009
0	27	2	beam_20220504-200022
0	28	2	beam_20220504-200031
0	29	0	beam_20220504-200040
0	30	0	beam_20220504-200047
0	31	0	beam_20220504-200054
0	32	0	beam_20220504-200101
0	33	0	beam_20220504-200108
0	34	1	beam_20220504-200115
