Col	Row	Count	Time
18	0	0	beam_20220506-185241
18	1	1000	beam_20220506-185248
18	2	1000	beam_20220506-190516
18	3	1000	beam_20220506-191745
18	4	16	beam_20220506-193011
18	5	1000	beam_20220506-193030
18	6	0	beam_20220506-194259
18	7	0	beam_20220506-194306
18	8	0	beam_20220506-194313
18	9	1000	beam_20220506-194320
18	10	0	beam_20220506-195550
18	11	0	beam_20220506-195557
18	12	205	beam_20220506-195604
18	13	3	beam_20220506-195843
18	14	0	beam_20220506-195853
18	15	1	beam_20220506-195900
18	16	0	beam_20220506-195908
18	17	2	beam_20220506-195915
18	18	0	beam_20220506-195924
18	19	1000	beam_20220506-195931
18	20	0	beam_20220506-201200
18	21	0	beam_20220506-201207
18	22	0	beam_20220506-201214
18	23	1000	beam_20220506-201221
18	24	0	beam_20220506-202451
18	25	0	beam_20220506-202458
18	26	33	beam_20220506-202505
18	27	0	beam_20220506-202537
18	28	1000	beam_20220506-202544
18	29	0	beam_20220506-203813
18	30	1	beam_20220506-203821
18	31	0	beam_20220506-203828
18	32	1000	beam_20220506-203836
18	33	0	beam_20220506-205105
18	34	0	beam_20220506-205112
