#Col	Row	Count	Time
22	0	0	20220507021905
22	1	0	20220507021912
22	2	0	20220507021920
22	3	0	20220507021927
22	4	0	20220507021934
22	5	7	20220507021941
22	6	0	20220507021953
22	7	1000	20220507022000
22	8	0	20220507023216
22	9	0	20220507023223
22	10	0	20220507023230
22	11	1000	20220507023237
22	12	0	20220507024453
22	13	0	20220507024500
22	14	0	20220507024507
22	15	1000	20220507024514
22	16	0	20220507025729
22	17	758	20220507025736
22	18	1000	20220507030656
22	19	9	20220507031911
22	20	1000	20220507031924
22	21	1000	20220507033145
22	22	0	20220507034406
22	23	0	20220507034413
22	24	3	20220507034421
22	25	0	20220507034430
22	26	0	20220507034437
22	27	0	20220507034444
22	28	0	20220507034451
22	29	0	20220507034459
22	30	0	20220507054003
22	31	0	20220507054010
22	32	1000	20220507054017
22	33	0	20220507055237
22	34	0	20220507055244
