#Col	Row	Count	Time
31	0	0	20220509115215
31	1	0	20220509115220
31	2	20	20220509115225
31	3	0	20220509115232
31	4	0	20220509115237
31	5	0	20220509115242
31	6	0	20220509115247
31	7	20	20220509115252
31	8	0	20220509115259
31	9	0	20220509115304
31	10	0	20220509115309
31	11	0	20220509115314
31	12	0	20220509115319
31	13	0	20220509115325
31	14	0	20220509115330
31	15	20	20220509115335
31	16	20	20220509115341
31	17	20	20220509115348
31	18	0	20220509115354
31	19	0	20220509115359
31	20	0	20220509115404
31	21	0	20220509115409
31	22	0	20220509115415
31	23	0	20220509115420
31	24	20	20220509115425
31	25	0	20220509115431
31	26	20	20220509115436
31	27	20	20220509115443
31	28	20	20220509115449
31	29	0	20220509115456
31	30	20	20220509115501
31	31	0	20220509115507
31	32	0	20220509115512
31	33	0	20220509115517
31	34	0	20220509115522
