Col	Row	Count	Time
19	0	0	beam_20220512-003110
19	1	0	beam_20220512-003114
19	2	0	beam_20220512-003118
19	3	0	beam_20220512-003122
19	4	500	beam_20220512-003127
19	5	0	beam_20220512-003800
19	6	0	beam_20220512-003804
19	7	14	beam_20220512-003808
19	8	6	beam_20220512-003823
19	9	0	beam_20220512-003832
19	10	3	beam_20220512-003836
19	11	0	beam_20220512-003843
19	12	500	beam_20220512-003847
19	13	466	beam_20220512-004520
19	14	0	beam_20220512-005127
19	15	0	beam_20220512-005131
19	16	500	beam_20220512-005135
19	17	4	beam_20220512-005809
19	18	1	beam_20220512-005816
19	19	0	beam_20220512-005821
19	20	0	beam_20220512-005825
19	21	0	beam_20220512-005829
19	22	0	beam_20220512-005833
19	23	0	beam_20220512-005838
19	24	0	beam_20220512-005842
19	25	110	beam_20220512-005846
19	26	0	beam_20220512-010016
19	27	0	beam_20220512-010020
19	28	0	beam_20220512-010024
19	29	3	beam_20220512-010028
19	30	0	beam_20220512-010035
19	33	500	beam_20220512-010039
19	34	0	beam_20220512-010712
