Col	Row	Count	Time
9	0	0	beam_20220507_150926
9	1	0	beam_20220507-131820
9	2	0	beam_20220507-131827
9	3	0	beam_20220507-131835
9	4	426	beam_20220507-131842
9	5	0	beam_20220507-132505
9	6	1	beam_20220507-132513
9	7	0	beam_20220507-132521
9	8	24	beam_20220507-132529
9	9	0	beam_20220507-132557
9	10	0	beam_20220507-132605
9	11	3	beam_20220507-132612
9	12	909	beam_20220507-132622
9	13	1000	beam_20220507-133951
9	14	0	beam_20220507-135441
9	15	0	beam_20220507-135448
9	16	0	beam_20220507-135456
9	17	0	beam_20220507-135503
9	18	0	beam_20220507-135511
9	19	0	beam_20220507-135518
9	20	1000	beam_20220507-135526
9	21	0	beam_20220507-141016
9	22	16	beam_20220507-141024
9	23	0	beam_20220507-141045
9	24	307	beam_20220507-141052
9	25	0	beam_20220507-141531
9	26	0	beam_20220507-101444
9	27	0	beam_20220507-101452
9	28	0	beam_20220507-101459
9	29	0	beam_20220507-101506
9	30	0	beam_20220507-101514
9	31	0	beam_20220507-101521
9	32	150	beam_20220507-101529
9	33	0	beam_20220507-101748
9	34	0	beam_20220507-101756
