#Col	Row	Count	Time
25	0	0	20220507093921
25	1	23	20220507093928
25	2	0	20220507093952
25	3	1	20220507093959
25	4	0	20220507094007
25	5	0	20220507094014
25	6	3	20220507094021
25	7	0	20220507094031
25	8	0	20220507094038
25	9	16	20220507094045
25	10	0	20220507094104
25	11	25	20220507094111
25	12	0	20220507094137
25	13	0	20220507094144
25	14	0	20220507094151
25	15	1000	20220507094158
25	16	1	20220507095421
25	17	0	20220507095429
25	18	0	20220507095436
25	19	987	20220507095443
25	20	0	20220507100656
25	21	8	20220507100703
25	22	1000	20220507100717
25	23	0	20220507101940
25	24	27	20220507101947
25	25	17	20220507102014
25	26	0	20220507102034
25	27	0	20220507102041
25	28	1000	20220507102048
25	29	55	20220507103311
25	30	0	20220507103359
25	31	0	20220507103407
25	32	0	20220507103414
25	33	0	20220507103421
25	34	1000	20220507103428
