#Col	Row	Count	Time
26	0	0	20220509113556
26	1	0	20220509113601
26	2	0	20220509113607
26	3	0	20220509113612
26	4	0	20220509113617
26	5	20	20220509113622
26	6	20	20220509113628
26	7	0	20220509113635
26	8	0	20220509113640
26	9	0	20220509113645
26	10	0	20220509113650
26	11	20	20220509113655
26	12	0	20220509113702
26	13	0	20220509113707
26	14	0	20220509113712
26	15	0	20220509113717
26	16	0	20220509113722
26	17	0	20220509113728
26	18	20	20220509113733
26	19	0	20220509113739
26	20	0	20220509113744
26	21	0	20220509113749
26	22	0	20220509113755
26	23	0	20220509113800
26	24	0	20220509113805
26	25	0	20220509113810
26	26	0	20220509113815
26	27	20	20220509113820
26	28	0	20220509113827
26	29	20	20220509113832
26	30	20	20220509113838
26	31	20	20220509113845
26	32	0	20220509113851
26	33	0	20220509113856
26	34	0	20220509113901
