Col	Row	Count	Time
16	0	1000	beam_20220507-184837
16	1	0	beam_20220507-185208
16	2	0	beam_20220507-185215
16	3	1000	beam_20220507-185223
16	4	627	beam_20220507-185555
16	5	0	beam_20220507-185810
16	6	0	beam_20220507-185817
16	7	0	beam_20220507-185825
16	8	0	beam_20220507-185832
16	9	1000	beam_20220507-185840
16	10	0	beam_20220507-190211
16	11	1000	beam_20220507-190218
16	12	1000	beam_20220507-190549
16	13	0	beam_20220507-190921
16	14	1000	beam_20220507-190928
16	15	0	beam_20220507-191300
16	16	0	beam_20220507-191308
16	17	0	beam_20220507-191315
16	18	1000	beam_20220507-191322
16	19	1000	beam_20220507-191654
16	20	0	beam_20220507-192026
16	21	0	beam_20220507-192033
16	22	1000	beam_20220507-192041
16	23	0	beam_20220507-192412
16	24	0	beam_20220507-192420
16	25	0	beam_20220507-192427
16	26	1000	beam_20220507-192434
16	27	1000	beam_20220507-192805
16	28	0	beam_20220507-193137
16	29	0	beam_20220507-193145
16	30	0	beam_20220507-193152
16	31	0	beam_20220507-193159
16	32	0	beam_20220507-193207
16	33	1000	beam_20220507-193214
16	34	1000	beam_20220507-193546
