#Col	Row	Count	Time
32	0	1	20220507200603
32	1	0	20220507200611
32	2	0	20220507200618
32	3	1	20220507200625
32	4	10	20220507200633
32	5	0	20220507200647
32	6	4	20220507200654
32	7	1000	20220507200705
32	8	0	20220507201920
32	9	0	20220507201927
32	10	1	20220507201934
32	11	0	20220507201942
32	12	0	20220507201949
32	13	0	20220507201957
32	14	1	20220507202004
32	15	0	20220507202012
32	16	0	20220507202019
32	17	0	20220507202026
32	18	0	20220507202033
32	19	0	20220507202040
32	20	1000	20220507202047
32	21	0	20220507203303
32	22	0	20220507203310
32	23	0	20220507203317
32	24	0	20220507203324
32	25	0	20220507203332
32	26	1000	20220507203339
32	27	0	20220507204555
32	28	0	20220507204602
32	29	0	20220507204609
32	30	1	20220507204616
32	31	1000	20220507204624
32	32	0	20220507205840
32	33	2	20220507205847
32	34	0	20220507205856
