Voltageboard settings: [1.2, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 274877906941, 'ColConfig1': 68719476734, 'ColConfig2': 68719476734, 'ColConfig3': 68719476734, 'ColConfig4': 68719476734, 'ColConfig5': 68719476734, 'ColConfig6': 68719476734, 'ColConfig7': 68719476734, 'ColConfig8': 68719476734, 'ColConfig9': 68719476734, 'ColConfig10': 68719476734, 'ColConfig11': 68719476734, 'ColConfig12': 68719476734, 'ColConfig13': 68719476734, 'ColConfig14': 68719476734, 'ColConfig15': 68719476734, 'ColConfig16': 68719476734, 'ColConfig17': 68719476734, 'ColConfig18': 68719476734, 'ColConfig19': 68719476734, 'ColConfig20': 68719476734, 'ColConfig21': 68719476734, 'ColConfig22': 68719476734, 'ColConfig23': 68719476734, 'ColConfig24': 68719476734, 'ColConfig25': 68719476734, 'ColConfig26': 68719476734, 'ColConfig27': 68719476734, 'ColConfig28': 68719476734, 'ColConfig29': 68719476734, 'ColConfig30': 68719476734, 'ColConfig31': 68719476734, 'ColConfig32': 68719476734, 'ColConfig33': 68719476734, 'ColConfig34': 68719476734}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)
0	0	 4	 0	Row	157	 15	87 	 3927 	 39.27 
0	0	 4	 0	Col	157	 12	10 	 3082 	 30.82 
0	0	 4	 0	Row	248	 11	155 	 2971 	 29.71 
0	0	 4	 0	Col	248	 11	130 	 2946 	 29.46 

1	0	 4	 0	Row	192	 7	205 	 1997 	 19.97 
1	0	 4	 0	Col	192	 7	180 	 1972 	 19.72 

2	0	 4	 0	Row	139	 9	69 	 2373 	 23.73 
2	0	 4	 0	Col	139	 9	45 	 2349 	 23.49 

3	0	 4	 0	Row	104	 5	140 	 1420 	 14.2 
3	0	 4	 0	Col	104	 5	116 	 1396 	 13.96 

4	0	 4	 0	Row	196	 2	38 	 550 	 5.5 
4	0	 4	 0	Col	196	 2	20 	 532 	 5.32 

5	0	 4	 0	Row	108	 7	226 	 2018 	 20.18 
5	0	 4	 0	Col	108	 7	203 	 1995 	 19.95 

6	0	 4	 0	Row	3	 7	133 	 1925 	 19.25 
6	0	 4	 0	Col	3	 7	113 	 1905 	 19.05 

7	0	 4	 0	Row	181	 11	212 	 3028 	 30.28 
7	0	 4	 0	Col	181	 11	187 	 3003 	 30.03 

8	0	 4	 0	Row	194	 15	166 	 4006 	 40.06 
8	0	 4	 0	Col	194	 15	149 	 3989 	 39.89 

9	0	 4	 0	Row	193	 12	8 	 3080 	 30.8 
9	0	 4	 0	Col	193	 11	245 	 3061 	 30.61 

10	0	 4	 0	Row	46	 11	143 	 2959 	 29.59 
10	0	 4	 0	Col	46	 11	122 	 2938 	 29.38 

11	0	 4	 0	Row	119	 10	217 	 2777 	 27.77 
11	0	 4	 0	Col	119	 10	199 	 2759 	 27.59 

12	0	 4	 0	Row	98	 9	109 	 2413 	 24.13 
12	0	 4	 0	Col	98	 9	81 	 2385 	 23.85 

13	0	 4	 0	Row	105	 15	198 	 4038 	 40.38 
13	0	 4	 0	Col	105	 15	179 	 4019 	 40.19 

14	0	 4	 0	Row	215	 9	204 	 2508 	 25.08 
14	0	 4	 0	Col	215	 9	186 	 2490 	 24.9 

15	0	 4	 0	Row	52	 11	91 	 2907 	 29.07 
15	0	 4	 0	Col	52	 11	70 	 2886 	 28.86 

16	0	 4	 0	Row	28	 8	90 	 2138 	 21.38 
16	0	 4	 0	Col	28	 8	69 	 2117 	 21.17 

17	0	 4	 0	Row	27	 15	102 	 3942 	 39.42 
17	0	 4	 0	Col	27	 15	84 	 3924 	 39.24 

18	0	 4	 0	Row	58	 5	78 	 1358 	 13.58 
