Voltageboard settings: [1.175, 1, 0, 0, 1, 1.1, 0, 0]
Digital: {'interrupt_pushpull': 1, 'En_Inj1': 0, 'En_Inj2': 0, 'En_Inj3': 0, 'En_Inj4': 0, 'En_Inj5': 0, 'En_Inj6': 0, 'En_Inj7': 0, 'En_Inj8': 0, 'En_Inj9': 0, 'En_Inj10': 0, 'En_Inj11': 0, 'En_Inj12': 0, 'En_Inj13': 0, 'En_Inj14': 0, 'En_Inj15': 0, 'En_Inj16': 0, 'En_Inj17': 0, 'En_Inj18': 0, 'ResetB': 0, 'Extrabit0': 1, 'Extrabit1': 1, 'Extrabit2': 1, 'Extrabit3': 1, 'Extrabit4': 1, 'Extrabit5': 1, 'Extrabit6': 1, 'Extrabit7': 1, 'Extrabit8': 0, 'Extrabit9': 0, 'Extrabit10': 0, 'Extrabit11': 0, 'Extrabit12': 0, 'Extrabit13': 0, 'Extrabit14': 0}
Biasblock: {'DisHiDR': 0, 'q01': 0, 'qon0': 0, 'qon1': 1, 'qon2': 0, 'qon3': 1}
DAC: {'blres': 0, 'nu1': 0, 'vn1': 20, 'vnfb': 1, 'vnfoll': 10, 'nu5': 0, 'nu6': 0, 'nu7': 0, 'nu8': 0, 'vn2': 0, 'vnfoll2': 1, 'vnbias': 0, 'vpload': 5, 'nu13': 0, 'vncomp': 2, 'vpfoll': 60, 'nu16': 0, 'vprec': 30, 'vnrec': 30}
Receiver: {'ColConfig0': 30081564928, 'ColConfig1': 34443630736, 'ColConfig2': 209871192, 'ColConfig3': 29192431682, 'ColConfig4': 6535354432, 'ColConfig5': 104640560, 'ColConfig6': 4836145152, 'ColConfig7': 21478314528, 'ColConfig8': 43223640544, 'ColConfig9': 18457573440, 'ColConfig10': 55859615824, 'ColConfig11': 17742430816, 'ColConfig12': 34594848800, 'ColConfig13': 39914115092, 'ColConfig14': 11162798276, 'ColConfig15': 11712136112, 'ColConfig16': 20032469032, 'ColConfig17': 20669683716, 'ColConfig18': 41357181250, 'ColConfig19': 2168371320, 'ColConfig20': 43933273108, 'ColConfig21': 1861955700, 'ColConfig22': 22559615192, 'ColConfig23': 768630808, 'ColConfig24': 52916705716, 'ColConfig25': 1686076580, 'ColConfig26': 56098181544, 'ColConfig27': 60974708024, 'ColConfig28': 16068831080, 'ColConfig29': 52987712408, 'ColConfig30': 39030686344, 'ColConfig31': 31302901964, 'ColConfig32': 35458021250, 'ColConfig33': 34781451710, 'ColConfig34': 44093858836}

NEvent	ChipId	Payload	Locatn	Row/Col	tStamp	MSB	LSB	ToT	ToT(us)	RealTime
0	0	 [0;31;40m3[0m	 3	Row	3	 4	0 	 1024 	 10.24	1656120911.9786532 
0	0	 [0;31;40m7[0m	 12	Row	130	 4	1 	 1025 	 10.25	1656120911.9786532 
0	[0;31;40m31[0m	 [0;31;40m0[0m	 1	Row	156	 4	2 	 1026 	 10.26	1656120911.9786532 
0	[0;31;40m1[0m	 [0;31;40m5[0m	 8	Row	47	 4	3 	 1027 	 10.27	1656120911.9786532 
0	[0;31;40m6[0m	 [0;31;40m2[0m	 9	Row	57	 13	8 	 3336 	 33.36	1656120911.9786532 
0	[0;31;40m5[0m	 [0;31;40m7[0m	 4	Row	3	 2	9 	 521 	 5.21	1656120911.9786532 
0	[0;31;40m7[0m	 [0;31;40m1[0m	 61	Row	61	 4	5 	 1029 	 10.29	1656120911.9786532 

1	0	 [0;31;40m2[0m	 7	Row	8	 5	4 	 1284 	 12.84	1656120912.7992935 
1	[0;31;40m4[0m	 [0;31;40m2[0m	 20	Col	15	 0	4 	 4 	 0.04	1656120912.7992935 
1	[0;31;40m16[0m	 [0;31;40m0[0m	 20	Col	15	 0	4 	 4 	 0.04	1656120912.7992935 
1	[0;31;40m19[0m	 [0;31;40m3[0m	 63	Col	4	 6	4 	 1540 	 15.4	1656120912.7992935 
1	[0;31;40m19[0m	 4	 31	Col	6	 0	4 	 4 	 0.04	1656120912.7992935 
1	[0;31;40m19[0m	 [0;31;40m5[0m	 57	Row	10	 8	4 	 2052 	 20.52	1656120912.7992935 
1	[0;31;40m4[0m	 [0;31;40m2[0m	 20	Col	7	 12	4 	 3076 	 30.76	1656120912.7992935 
1	[0;31;40m16[0m	 [0;31;40m0[0m	 20	Col	9	 10	4 	 2564 	 25.64	1656120912.7992935 
1	[0;31;40m19[0m	 [0;31;40m6[0m	 29	Row	0	 5	4 	 1284 	 12.84	1656120912.7992935 
1	[0;31;40m19[0m	 [0;31;40m7[0m	 24	Col	9	 2	4 	 516 	 5.16	1656120912.7992935 
1	[0;31;40m20[0m	 [0;31;40m0[0m	 10	Col	7	 15	4 	 3844 	 38.44	1656120912.7992935 
1	[0;31;40m20[0m	 [0;31;40m1[0m	 29	Row	12	 5	4 	 1284 	 12.84	1656120912.7992935 
1	[0;31;40m20[0m	 [0;31;40m2[0m	 59	Row	5	 4	4 	 1028 	 10.28	1656120912.7992935 
1	[0;31;40m4[0m	 [0;31;40m2[0m	 52	Row	0	 0	4 	 4 	 0.04	1656120912.7992935 
1	[0;31;40m16[0m	 [0;31;40m0[0m	 52	Row	0	 3	61 	 829 	 8.29	1656120912.7992935 
1	0	 4	 34	Row	203	 11	84 	 2900 	 29.0	1656120912.7992935 
1	0	 4	 0	Col	203	 11	69 	 2885 	 28.85	1656120912.7992935 
1	0	 4	 34	Row	78	 15	87 	 3927 	 39.27	1656120912.7992935 
1	0	 4	 0	Col	78	 15	71 	 3911 	 39.11	1656120912.7992935 
1	0	 4	 3	Row	3	 2	186 	 698 	 6.98	1656120912.7992935 
1	0	 4	 26	Row	255	 5	17 	 1297 	 12.97	1656120912.7992935 
1	0	 4	 30	Col	3	 2	185 	 697 	 6.97	1656120912.7992935 
1	0	 4	 34	Col	255	 4	254 	 1278 	 12.78	1656120912.7992935 
1	0	 4	 34	Row	245	 7	97 	 1889 	 18.89	1656120912.7992935 
1	0	 4	 0	Col	245	 7	84 	 1876 	 18.76	1656120912.7992935 
1	0	 4	 34	Row	115	 8	110 	 2158 	 21.58	1656120912.7992935 
1	0	 4	 0	Col	115	 8	97 	 2145 	 21.45	1656120912.7992935 
1	0	 4	 34	Row	255	 7	186 	 1978 	 19.78	1656120912.7992935 
1	0	 4	 0	Col	255	 7	173 	 1965 	 19.65	1656120912.7992935 
1	0	 4	 24	Row	149	 3	246 	 1014 	 10.14	1656120912.7992935 
1	0	 4	 34	Col	149	 3	233 	 1001 	 10.01	1656120912.7992935 
1	0	 4	 34	Row	154	 8	172 	 2220 	 22.2	1656120912.7992935 
1	0	 4	 0	Col	154	 8	159 	 2207 	 22.07	1656120912.7992935 
1	0	 4	 34	Row	44	 8	189 	 2237 	 22.37	1656120912.7992935 
1	0	 4	 0	Col	44	 8	176 	 2224 	 22.24	1656120912.7992935 

2	0	 4	 34	Row	165	 13	253 	 3581 	 35.81	1656120913.5488944 
2	0	 4	 0	Col	165	 8	129 	 2177 	 21.77	1656120913.5488944 
2	0	 4	 34	Row	165	 13	211 	 3539 	 35.39	1656120913.5488944 
2	0	 4	 0	Col	165	 8	73 	 2121 	 21.21	1656120913.5488944 
2	0	 4	 34	Row	55	 0	113 	 113 	 1.13	1656120913.5488944 
2	0	 4	 0	Col	55	 0	99 	 99 	 0.99	1656120913.5488944 
2	0	 4	 34	Row	222	 11	216 	 3032 	 30.32	1656120913.5488944 
2	0	 4	 0	Col	222	 11	203 	 3019 	 30.19	1656120913.5488944 
2	0	 4	 34	Row	115	 11	207 	 3023 	 30.23	1656120913.5488944 
2	0	 4	 0	Col	115	 11	194 	 3010 	 30.1	1656120913.5488944 
2	0	 4	 34	Row	11	 13	93 	 3421 	 34.21	1656120913.5488944 
2	0	 4	 0	Col	11	 13	79 	 3407 	 34.07	1656120913.5488944 
2	0	 4	 34	Row	174	 7	187 	 1979 	 19.79	1656120913.5488944 
2	0	 4	 0	Col	174	 7	173 	 1965 	 19.65	1656120913.5488944 
2	0	 4	 34	Row	65	 9	203 	 2507 	 25.07	1656120913.5488944 
2	0	 4	 0	Col	65	 9	192 	 2496 	 24.96	1656120913.5488944 
2	0	 4	 34	Row	208	 9	100 	 2404 	 24.04	1656120913.5488944 
2	0	 4	 0	Col	208	 9	88 	 2392 	 23.92	1656120913.5488944 
2	0	 4	 34	Row	92	 0	39 	 39 	 0.39	1656120913.5488944 
2	0	 4	 0	Col	92	 0	27 	 27 	 0.27	1656120913.5488944 

3	0	 4	 34	Row	30	 2	197 	 709 	 7.09	1656120914.3117507 
3	0	 4	 0	Col	30	 11	49 	 2865 	 28.65	1656120914.3117507 
3	0	 4	 34	Row	30	 0	8 	 8 	 0.08	1656120914.3117507 
3	0	 4	 0	Col	30	 8	104 	 2152 	 21.52	1656120914.3117507 
3	0	 4	 34	Row	187	 0	95 	 95 	 0.95	1656120914.3117507 
3	0	 4	 0	Col	187	 0	82 	 82 	 0.82	1656120914.3117507 
3	0	 4	 34	Row	98	 13	87 	 3415 	 34.15	1656120914.3117507 
3	0	 4	 0	Col	98	 13	76 	 3404 	 34.04	1656120914.3117507 
3	0	 4	 26	Row	135	 3	115 	 883 	 8.83	1656120914.3117507 
3	0	 4	 34	Col	135	 3	99 	 867 	 8.67	1656120914.3117507 
3	0	 4	 34	Row	240	 3	211 	 979 	 9.79	1656120914.3117507 
3	0	 4	 0	Col	240	 3	199 	 967 	 9.67	1656120914.3117507 
3	0	 4	 34	Row	151	 6	102 	 1638 	 16.38	1656120914.3117507 
3	0	 4	 0	Col	151	 6	88 	 1624 	 16.24	1656120914.3117507 
3	0	 4	 34	Row	14	 8	125 	 2173 	 21.73	1656120914.3117507 
3	0	 4	 0	Col	14	 8	111 	 2159 	 21.59	1656120914.3117507 
3	0	 4	 34	Row	164	 13	79 	 3407 	 34.07	1656120914.3117507 
3	0	 4	 0	Col	164	 13	67 	 3395 	 33.95	1656120914.3117507 
3	0	 4	 4	Row	79	 12	55 	 3127 	 31.27	1656120914.3117507 
3	0	 4	 5	Row	84	 5	39 	 1319 	 13.19	1656120914.3117507 
3	0	 4	 7	Row	79	 6	66 	 1602 	 16.02	1656120914.3117507 
3	0	 4	 10	Row	81	 5	18 	 1298 	 12.98	1656120914.3117507 
3	0	 4	 12	Row	80	 6	49 	 1585 	 15.85	1656120914.3117507 
3	0	 4	 15	Row	79	 7	194 	 1986 	 19.86	1656120914.3117507 
3	0	 4	 34	Row	63	 14	67 	 3651 	 36.51	1656120914.3117507 
3	0	 4	 0	Col	63	 14	54 	 3638 	 36.38	1656120914.3117507 
3	0	 4	 29	Col	80	 3	7 	 775 	 7.75	1656120914.3117507 
3	0	 4	 30	Col	80	 6	55 	 1591 	 15.91	1656120914.3117507 
3	0	 4	 31	Col	80	 6	149 	 1685 	 16.85	1656120914.3117507 
3	0	 4	 32	Col	78	 12	53 	 3125 	 31.25	1656120914.3117507 
3	0	 4	 33	Col	83	 5	45 	 1325 	 13.25	1656120914.3117507 
3	0	 4	 34	Row	216	 10	105 	 2665 	 26.65	1656120914.3117507 
3	0	 4	 0	Col	216	 10	92 	 2652 	 26.52	1656120914.3117507 
3	0	 4	 34	Col	79	 6	55 	 1591 	 15.91	1656120914.3117507 

4	0	 4	 34	Row	190	 12	134 	 3206 	 32.06	1656120915.117845 
4	0	 4	 0	Col	190	 15	144 	 3984 	 39.84	1656120915.117845 
4	0	 4	 34	Row	190	 14	32 	 3616 	 36.16	1656120915.117845 
4	0	 4	 0	Col	190	 1	33 	 289 	 2.89	1656120915.117845 
4	0	 4	 34	Row	94	 12	68 	 3140 	 31.4	1656120915.117845 
4	0	 4	 0	Col	94	 12	56 	 3128 	 31.28	1656120915.117845 
4	0	 4	 34	Row	231	 13	193 	 3521 	 35.21	1656120915.117845 
4	0	 4	 0	Col	231	 13	181 	 3509 	 35.09	1656120915.117845 
4	0	 4	 34	Row	140	 9	208 	 2512 	 25.12	1656120915.117845 
4	0	 4	 0	Col	140	 9	196 	 2500 	 25.0	1656120915.117845 
4	0	 4	 34	Row	14	 7	19 	 1811 	 18.11	1656120915.117845 
4	0	 4	 0	Col	14	 7	6 	 1798 	 17.98	1656120915.117845 
4	0	 4	 34	Row	137	 13	48 	 3376 	 33.76	1656120915.117845 
4	0	 4	 0	Col	137	 13	35 	 3363 	 33.63	1656120915.117845 
4	0	 4	 34	Row	17	 9	105 	 2409 	 24.09	1656120915.117845 
4	0	 4	 0	Col	17	 9	95 	 2399 	 23.99	1656120915.117845 
4	0	 4	 34	Row	154	 15	67 	 3907 	 39.07	1656120915.117845 
4	0	 4	 0	Col	154	 15	54 	 3894 	 38.94	1656120915.117845 
4	0	 4	 34	Row	57	 11	189 	 3005 	 30.05	1656120915.117845 
4	0	 4	 0	Col	57	 11	177 	 2993 	 29.93	1656120915.117845 

5	0	 4	 34	Row	15	 13	158 	 3486 	 34.86	1656120915.869294 
5	0	 4	 0	Col	151	 6	244 	 1780 	 17.8	1656120915.869294 
5	0	 4	 34	Row	151	 13	226 	 3554 	 35.54	1656120915.869294 
5	0	 4	 0	Col	151	 5	202 	 1482 	 14.82	1656120915.869294 
5	0	 4	 34	Row	34	 8	232 	 2280 	 22.8	1656120915.869294 
5	0	 4	 0	Col	34	 8	220 	 2268 	 22.68	1656120915.869294 
5	0	 4	 34	Row	181	 13	53 	 3381 	 33.81	1656120915.869294 
5	0	 4	 0	Col	181	 13	40 	 3368 	 33.68	1656120915.869294 
5	0	 4	 0	Row	48	 10	95 	 2655 	 26.55	1656120915.869294 
5	0	 4	 34	Col	48	 10	68 	 2628 	 26.28	1656120915.869294 
5	0	 4	 34	Row	73	 0	77 	 77 	 0.77	1656120915.869294 
5	0	 4	 0	Col	73	 0	64 	 64 	 0.64	1656120915.869294 
5	0	 4	 34	Row	221	 15	17 	 3857 	 38.57	1656120915.869294 
5	0	 4	 0	Col	221	 15	4 	 3844 	 38.44	1656120915.869294 
5	0	 4	 34	Row	111	 11	213 	 3029 	 30.29	1656120915.869294 
5	0	 4	 0	Col	111	 11	200 	 3016 	 30.16	1656120915.869294 
5	0	 4	 34	Row	252	 14	154 	 3738 	 37.38	1656120915.869294 
5	0	 4	 0	Col	252	 14	142 	 3726 	 37.26	1656120915.869294 
5	0	 4	 34	Row	131	 15	192 	 4032 	 40.32	1656120915.869294 
5	0	 4	 0	Col	131	 15	180 	 4020 	 40.2	1656120915.869294 
5	0	 4	 34	Row	30	 2	183 	 695 	 6.95	1656120915.869294 
5	0	 4	 0	Col	30	 2	170 	 682 	 6.82	1656120915.869294 

6	0	 4	 34	Row	192	 1	97 	 353 	 3.53	1656120916.6367562 
6	0	 4	 0	Col	192	 9	23 	 2327 	 23.27	1656120916.6367562 
