dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,28,False,58,15,105,3945,39.45,1658866920.2018907
1,0,0,4,34,True,58,15,99,3939,39.39,1658866920.202375
0,1,0,4,28,False,32,11,88,2904,29.04,1658866921.183517
1,1,0,4,34,True,32,11,78,2894,28.94,1658866921.183517
0,2,0,4,28,False,145,0,141,141,1.41,1658866922.464006
1,2,0,4,34,True,145,0,135,135,1.35,1658866922.4642322
0,3,0,4,28,False,215,0,119,119,1.19,1658866922.7078676
1,3,0,4,34,True,215,0,110,110,1.1,1658866922.708866
0,4,0,4,28,False,235,4,195,1219,12.19,1658866924.4781055
1,4,0,4,34,True,235,4,185,1209,12.09,1658866924.4783351
0,5,0,4,28,False,16,14,50,3634,36.34,1658866925.1641486
1,5,0,4,34,True,16,14,37,3621,36.21,1658866925.1655612
0,6,0,4,28,False,243,4,218,1242,12.42,1658866925.3354745
1,6,0,4,34,True,243,4,210,1234,12.34,1658866925.335795
0,7,0,4,28,False,90,3,224,992,9.92,1658866926.6432474
1,7,0,4,34,True,90,3,209,977,9.77,1658866926.6437747
0,8,0,4,28,False,122,13,233,3561,35.61,1658866927.111147
1,8,0,4,34,True,122,13,219,3547,35.47,1658866927.1113827
0,9,0,4,28,False,71,6,50,1586,15.86,1658866927.7339332
1,9,0,4,34,True,71,6,29,1565,15.65,1658866927.7339332
0,10,0,4,28,False,44,12,195,3267,32.67,1658866927.9468365
1,10,0,4,34,True,44,12,186,3258,32.58,1658866927.9468365
0,11,0,4,28,False,44,14,55,3639,36.39,1658866928.9405599
1,11,0,4,34,True,44,14,46,3630,36.3,1658866928.9405599
0,12,0,4,28,False,222,7,74,1866,18.66,1658866929.1005998
1,12,0,4,34,True,222,7,64,1856,18.56,1658866929.1010327
0,13,0,4,28,False,242,4,144,1168,11.68,1658866929.6453938
1,13,0,4,34,True,242,4,135,1159,11.59,1658866929.6453938
0,14,0,4,28,False,139,14,22,3606,36.06,1658866930.5572164
1,14,0,4,34,True,139,14,14,3598,35.98,1658866930.5572164
0,15,0,4,28,False,96,15,36,3876,38.76,1658866931.412123
1,15,0,4,34,True,96,15,30,3870,38.7,1658866931.4123378
0,16,0,4,28,False,127,1,108,364,3.64,1658866932.0190518
1,16,0,4,34,True,127,1,101,357,3.57,1658866932.0190518
0,17,0,4,28,False,213,5,86,1366,13.66,1658866932.9201844
1,17,0,4,34,True,213,5,76,1356,13.56,1658866932.9201844
0,18,0,4,28,False,81,12,101,3173,31.73,1658866933.1357572
1,18,0,4,34,True,81,12,90,3162,31.62,1658866933.1357572
0,19,0,4,28,False,71,12,80,3152,31.52,1658866933.3361695
1,19,0,4,34,True,71,12,71,3143,31.43,1658866933.3361695
0,20,0,4,28,False,196,11,64,2880,28.8,1658866933.7406142
1,20,0,4,34,True,196,11,51,2867,28.67,1658866933.7406142
0,21,0,4,28,False,23,2,130,642,6.42,1658866933.9304085
1,21,0,4,34,True,23,2,118,630,6.3,1658866933.9304085
0,22,0,4,28,False,253,5,11,1291,12.91,1658866935.9249008
1,22,0,4,34,True,253,5,0,1280,12.8,1658866935.9250195
0,23,0,4,28,False,15,7,121,1913,19.13,1658866940.8628542
1,23,0,4,34,True,15,7,87,1879,18.79,1658866940.8633533
0,24,0,4,28,False,97,2,57,569,5.69,1658866941.4312775
1,24,0,4,34,True,97,2,51,563,5.63,1658866941.4314094
0,25,0,4,28,False,126,15,27,3867,38.67,1658866943.2806847
1,25,0,4,34,True,125,15,20,3860,38.6,1658866943.2809064
0,26,0,4,28,False,220,13,83,3411,34.11,1658866943.661073
1,26,0,4,34,True,220,13,70,3398,33.98,1658866943.661073
0,27,0,4,0,False,124,14,34,3618,36.18,1658866944.1138396
1,27,0,4,0,True,124,14,26,3610,36.1,1658866944.1138396
0,28,0,4,0,False,129,4,206,1230,12.3,1658866944.737274
1,28,0,4,0,True,129,4,197,1221,12.21,1658866944.737274
0,29,0,4,28,False,45,13,90,3418,34.18,1658866948.7951803
1,29,0,4,34,True,45,13,82,3410,34.1,1658866948.7951803
0,30,0,4,28,False,41,0,125,125,1.25,1658866949.5712817
1,30,0,4,34,True,41,0,116,116,1.16,1658866949.5712817
0,31,0,4,28,False,127,0,178,178,1.78,1658866951.8344927
1,31,0,4,34,True,127,0,170,170,1.7,1658866951.8344927
0,32,0,4,0,False,176,8,202,2250,22.5,1658866952.3568141
1,32,0,4,0,True,176,8,194,2242,22.42,1658866952.3577793
0,33,0,4,28,False,144,1,192,448,4.48,1658866954.2128215
1,33,0,4,34,True,144,1,184,440,4.4,1658866954.2128215
0,34,0,4,28,False,228,14,90,3674,36.74,1658866955.3746598
1,34,0,4,34,True,228,14,77,3661,36.61,1658866955.3746598
0,35,0,4,0,False,40,8,81,2129,21.29,1658866955.6166692
1,35,0,4,0,True,40,8,72,2120,21.2,1658866955.6166692
0,36,0,4,0,False,199,4,101,1125,11.25,1658866956.3170295
1,36,0,4,0,True,199,4,92,1116,11.16,1658866956.3170295
0,37,0,4,28,False,6,6,111,1647,16.47,1658866958.2071507
1,37,0,4,34,True,6,6,95,1631,16.31,1658866958.2071507
0,38,0,4,28,False,240,10,162,2722,27.22,1658866960.546755
1,38,0,4,34,True,240,10,156,2716,27.16,1658866960.546755
0,39,0,4,28,False,71,0,202,202,2.02,1658866960.6959312
1,39,0,4,34,True,71,0,184,184,1.84,1658866960.6959312
0,40,0,4,28,False,253,0,185,185,1.85,1658866961.9345896
1,40,0,4,34,True,253,0,177,177,1.77,1658866961.935017
0,41,0,4,28,False,203,2,152,664,6.64,1658866963.644713
1,41,0,4,34,True,203,2,143,655,6.55,1658866963.6449416
0,42,0,4,28,False,224,15,221,4061,40.61,1658866964.2139058
1,42,0,4,34,True,224,15,215,4055,40.55,1658866964.2139058
0,43,0,4,28,False,21,6,18,1554,15.54,1658866965.3639083
1,43,0,4,34,True,21,6,7,1543,15.43,1658866965.3646672
