dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,35,1,209,465,4.65,1658862216.2829835
1,0,0,4,0,True,35,1,200,456,4.56,1658862216.2829835
0,1,0,4,0,False,156,12,25,3097,30.97,1658862218.5581484
1,1,0,4,0,True,156,12,18,3090,30.9,1658862218.5586507
0,2,0,4,0,False,121,1,234,490,4.9,1658862221.602296
1,2,0,4,0,True,121,1,226,482,4.82,1658862221.602296
0,3,0,4,0,False,238,10,157,2717,27.17,1658862227.995516
1,3,0,4,0,True,237,10,147,2707,27.07,1658862227.9957423
0,4,0,4,0,False,93,8,177,2225,22.25,1658862236.8297195
1,4,0,4,0,True,93,8,169,2217,22.17,1658862236.8302248
0,5,0,4,0,False,248,0,145,145,1.45,1658862241.8742573
1,5,0,4,0,True,248,0,137,137,1.37,1658862241.8742573
0,6,0,4,0,False,75,11,106,2922,29.22,1658862255.825688
1,6,0,4,0,True,75,11,97,2913,29.13,1658862255.8259006
0,7,0,4,0,False,191,13,5,3333,33.33,1658862261.3696048
1,7,0,4,0,True,191,12,254,3326,33.26,1658862261.3697932
0,8,0,4,0,False,249,15,214,4054,40.54,1658862262.542174
1,8,0,4,0,True,249,15,205,4045,40.45,1658862262.542174
0,9,0,4,0,False,7,7,26,1818,18.18,1658862265.3382952
1,9,0,4,0,True,7,7,18,1810,18.1,1658862265.3386083
0,10,0,4,0,False,129,12,24,3096,30.96,1658862266.0820794
1,10,0,4,0,True,129,12,16,3088,30.88,1658862266.0820794
0,11,0,4,0,False,133,0,157,157,1.57,1658862271.555024
1,11,0,4,0,True,133,0,148,148,1.48,1658862271.555024
0,12,0,4,0,False,106,3,140,908,9.08,1658862283.8238428
1,12,0,4,0,True,106,3,130,898,8.98,1658862283.8238428
0,13,0,4,0,False,132,12,236,3308,33.08,1658862290.1036563
1,13,0,4,0,True,132,12,225,3297,32.97,1658862290.1046188
0,14,0,4,0,False,32,6,121,1657,16.57,1658862297.9391537
1,14,0,4,0,True,32,6,113,1649,16.49,1658862297.9391537
0,15,0,4,0,False,121,2,122,634,6.34,1658862298.2181976
1,15,0,4,0,True,121,2,114,626,6.26,1658862298.2181976
0,16,0,4,0,False,193,8,193,2241,22.41,1658862300.9470432
1,16,0,4,0,True,193,8,184,2232,22.32,1658862300.9472675
0,17,0,4,0,False,39,12,226,3298,32.98,1658862302.2227616
1,17,0,4,0,True,39,12,218,3290,32.9,1658862302.2227616
0,18,0,4,0,False,153,8,78,2126,21.26,1658862303.9219062
1,18,0,4,0,True,153,8,70,2118,21.18,1658862303.9219062
0,19,0,4,0,False,255,8,159,2207,22.07,1658862322.5468662
1,19,0,4,0,True,255,8,150,2198,21.98,1658862322.5468662
0,20,0,4,0,False,213,3,39,807,8.07,1658862327.6844816
1,20,0,4,0,True,213,3,28,796,7.96,1658862327.6846986
0,21,0,4,0,False,231,9,158,2462,24.62,1658862328.1555574
1,21,0,4,0,True,231,9,150,2454,24.54,1658862328.156553
0,22,0,4,0,False,37,4,103,1127,11.27,1658862329.060202
1,22,0,4,0,True,37,4,95,1119,11.19,1658862329.060202
0,23,0,4,0,False,37,2,19,531,5.31,1658862335.9889247
1,23,0,4,0,True,59,2,9,521,5.21,1658862335.9894345
0,24,0,4,0,False,42,8,35,2083,20.83,1658862340.0336728
1,24,0,4,0,True,42,8,26,2074,20.74,1658862340.0336728
0,25,0,4,0,False,47,6,239,1775,17.75,1658862352.1053755
1,25,0,4,0,True,47,6,230,1766,17.66,1658862352.1053755
0,26,0,4,0,False,52,15,144,3984,39.84,1658862352.4037457
1,26,0,4,0,True,52,15,136,3976,39.76,1658862352.4037457
0,27,0,4,0,False,84,7,138,1930,19.3,1658862354.286426
1,27,0,4,0,True,84,7,127,1919,19.19,1658862354.2865465
0,28,0,4,0,False,29,3,94,862,8.62,1658862361.0216377
1,28,0,4,0,True,29,3,85,853,8.53,1658862361.0216377
0,29,0,4,0,False,251,10,233,2793,27.93,1658862361.188426
1,29,0,4,0,True,251,10,226,2786,27.86,1658862361.1884887
0,30,0,4,0,False,32,14,28,3612,36.12,1658862382.642813
1,30,0,4,0,True,32,14,21,3605,36.05,1658862382.6438248
0,31,0,4,0,False,26,13,209,3537,35.37,1658862391.0956511
1,31,0,4,0,True,26,13,201,3529,35.29,1658862391.0959535
0,32,0,4,0,False,188,4,225,1249,12.49,1658862404.0857868
1,32,0,4,0,True,188,4,217,1241,12.41,1658862404.0857868
0,33,0,4,0,False,34,4,250,1274,12.74,1658862405.2499406
1,33,0,4,0,True,34,4,243,1267,12.67,1658862405.2499406
0,34,0,4,0,False,211,10,194,2754,27.54,1658862411.2158523
1,34,0,4,0,True,211,10,184,2744,27.44,1658862411.2161746
0,35,0,4,0,False,225,14,164,3748,37.48,1658862415.017824
1,35,0,4,0,True,225,14,156,3740,37.4,1658862415.017824
0,36,0,4,0,False,73,4,71,1095,10.95,1658862430.632156
1,36,0,4,0,True,73,4,62,1086,10.86,1658862430.632156
0,37,0,4,0,False,213,4,66,1090,10.9,1658862434.4398491
1,37,0,4,0,True,213,4,58,1082,10.82,1658862434.4398491
0,38,0,4,0,False,158,15,224,4064,40.64,1658862436.383091
1,38,0,4,0,True,158,15,216,4056,40.56,1658862436.38334
0,39,0,4,0,False,181,7,143,1935,19.35,1658862437.4546826
1,39,0,4,0,True,158,7,135,1927,19.27,1658862437.454791
0,40,0,4,0,False,216,3,200,968,9.68,1658862442.8555963
1,40,0,4,0,True,216,3,190,958,9.58,1658862442.8555963
0,41,0,4,0,False,150,7,17,1809,18.09,1658862452.9712121
1,41,0,4,0,True,150,7,10,1802,18.02,1658862452.9712121
0,42,0,4,0,False,38,4,35,1059,10.59,1658862459.6678948
1,42,0,4,0,True,38,4,22,1046,10.46,1658862459.668401
0,43,0,4,0,False,237,11,167,2983,29.83,1658862460.28208
1,43,0,4,0,True,237,11,160,2976,29.76,1658862460.2831511
0,44,0,4,0,False,61,0,134,134,1.34,1658862462.1737936
1,44,0,4,0,True,61,0,126,126,1.26,1658862462.173913
0,45,0,4,0,False,205,9,126,2430,24.3,1658862464.0823224
1,45,0,4,0,True,205,9,116,2420,24.2,1658862464.083362
0,46,0,4,0,False,134,5,119,1399,13.99,1658862464.4267623
1,46,0,4,0,True,133,5,111,1391,13.91,1658862464.427251
0,47,0,4,0,False,122,4,41,1065,10.65,1658862465.362118
1,47,0,4,0,True,122,4,32,1056,10.56,1658862465.363536
0,48,0,4,0,False,142,7,96,1888,18.88,1658862469.3181417
1,48,0,4,0,True,142,7,86,1878,18.78,1658862469.3181417
0,49,0,4,0,False,138,9,82,2386,23.86,1658862469.9449892
1,49,0,4,0,True,138,9,75,2379,23.79,1658862469.9449892
0,50,0,4,0,False,248,14,182,3766,37.66,1658862485.5149028
1,50,0,4,0,True,248,14,174,3758,37.58,1658862485.5158982
0,51,0,4,0,False,154,7,108,1900,19.0,1658862492.8167386
1,51,0,4,0,True,154,7,98,1890,18.9,1658862492.8167386
0,52,0,4,0,False,34,8,18,2066,20.66,1658862503.6893685
1,52,0,4,0,True,34,8,10,2058,20.58,1658862503.6893685
0,53,0,4,0,False,226,12,109,3181,31.81,1658862523.134617
1,53,0,4,0,True,226,12,101,3173,31.73,1658862523.134617
0,54,0,4,0,False,225,1,221,477,4.77,1658862523.340729
1,54,0,4,0,True,225,1,213,469,4.69,1658862523.340729
0,55,0,4,0,False,67,14,169,3753,37.53,1658862524.0495348
1,55,0,4,0,True,67,14,159,3743,37.43,1658862524.050025
0,56,0,4,0,False,160,0,164,164,1.64,1658862529.2953224
1,56,0,4,0,True,160,0,155,155,1.55,1658862529.2953224
0,57,0,4,0,False,58,9,74,2378,23.78,1658862534.0435224
1,57,0,4,0,True,57,9,65,2369,23.69,1658862534.0435224
