dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,188,5,98,1378,13.78,1658430667.4752617
1,0,0,4,0,True,188,5,89,1369,13.69,1658430667.4754758
0,1,0,4,0,False,102,8,191,2239,22.39,1658430668.1559129
1,1,0,4,0,True,102,8,182,2230,22.3,1658430668.1559129
0,2,0,4,0,False,90,2,193,705,7.05,1658430668.8834798
1,2,0,4,0,True,90,2,172,684,6.84,1658430668.8834798
0,3,0,4,0,False,23,4,101,1125,11.25,1658430670.2041166
1,3,0,4,0,True,23,4,91,1115,11.15,1658430670.2041166
0,4,0,4,0,False,108,2,54,566,5.66,1658430671.6105237
1,4,0,4,0,True,108,2,46,558,5.58,1658430671.610738
0,5,0,4,0,False,84,1,228,484,4.84,1658430680.958116
1,5,0,4,0,True,84,1,219,475,4.75,1658430680.958116
0,6,0,4,0,False,168,1,98,354,3.54,1658430683.6093757
1,6,0,4,0,True,168,1,90,346,3.46,1658430683.6093757
0,7,0,4,0,False,94,15,75,3915,39.15,1658430693.0925117
1,7,0,4,0,True,94,15,66,3906,39.06,1658430693.0925117
0,8,0,4,0,False,203,8,196,2244,22.44,1658430693.9481325
1,8,0,4,0,True,203,8,188,2236,22.36,1658430693.9481325
0,9,0,4,0,False,97,9,79,2383,23.83,1658430695.7627158
1,9,0,4,0,True,97,9,70,2374,23.74,1658430695.7627158
0,10,0,4,0,False,131,6,165,1701,17.01,1658430698.0646167
1,10,0,4,0,True,131,6,156,1692,16.92,1658430698.0646167
0,11,0,4,0,False,89,3,90,858,8.58,1658430699.6216257
1,11,0,4,0,True,89,3,79,847,8.47,1658430699.6216257
0,12,0,4,0,False,231,0,200,200,2.0,1658430701.598709
1,12,0,4,0,True,230,0,193,193,1.93,1658430701.598709
0,13,0,4,0,False,195,3,39,807,8.07,1658430704.013522
1,13,0,4,0,True,195,3,30,798,7.98,1658430704.014519
0,14,0,4,0,False,59,0,7,7,0.07,1658430707.0203524
1,14,0,4,0,True,59,15,255,4095,40.95,1658430707.0203524
0,15,0,4,0,False,111,11,111,2927,29.27,1658430710.3641412
1,15,0,4,0,True,111,11,103,2919,29.19,1658430710.3641412
0,16,0,4,0,False,151,11,16,2832,28.32,1658430717.4130538
1,16,0,4,0,True,151,11,8,2824,28.24,1658430717.4130538
0,17,0,4,0,False,65,2,192,704,7.04,1658430719.232132
1,17,0,4,0,True,65,2,183,695,6.95,1658430719.232132
0,18,0,4,0,False,184,7,26,1818,18.18,1658430724.0251472
1,18,0,4,0,True,184,7,18,1810,18.1,1658430724.0251472
0,19,0,4,0,False,89,13,252,3580,35.8,1658430728.3804622
1,19,0,4,0,True,89,13,244,3572,35.72,1658430728.3806343
0,20,0,4,0,False,1,6,121,1657,16.57,1658430735.7427816
1,20,0,4,0,True,1,6,113,1649,16.49,1658430735.7437794
0,21,0,4,0,False,168,3,78,846,8.46,1658430740.4029822
1,21,0,4,0,True,168,3,70,838,8.38,1658430740.4029822
0,22,0,4,0,False,220,3,134,902,9.02,1658430752.896818
1,22,0,4,0,True,220,3,127,895,8.95,1658430752.896818
0,23,0,4,0,False,100,2,138,650,6.5,1658430770.0070994
1,23,0,4,0,True,100,2,130,642,6.42,1658430770.0073097
0,24,0,4,0,False,133,3,207,975,9.75,1658430770.52454
1,24,0,4,0,True,133,3,199,967,9.67,1658430770.5247564
0,25,0,4,0,False,94,14,168,3752,37.52,1658430772.80407
1,25,0,4,0,True,94,14,159,3743,37.43,1658430772.80407
0,26,0,4,0,False,45,14,229,3813,38.13,1658430775.3773894
1,26,0,4,0,True,45,14,221,3805,38.05,1658430775.3773894
0,27,0,4,0,False,169,5,105,1385,13.85,1658430780.2412145
1,27,0,4,0,True,169,5,97,1377,13.77,1658430780.2412145
0,28,0,4,0,False,54,9,101,2405,24.05,1658430783.088783
1,28,0,4,0,True,54,9,91,2395,23.95,1658430783.088783
0,29,0,4,0,False,242,12,103,3175,31.75,1658430783.7201412
1,29,0,4,0,True,242,12,95,3167,31.67,1658430783.7201412
0,30,0,4,0,False,195,1,246,502,5.02,1658430788.7109058
1,30,0,4,0,True,195,1,238,494,4.94,1658430788.711186
0,31,0,4,0,False,21,2,3,515,5.15,1658430788.9926546
1,31,0,4,0,True,21,1,250,506,5.06,1658430788.9936707
0,32,0,4,0,False,4,11,105,2921,29.21,1658430789.8921444
1,32,0,4,0,True,4,11,98,2914,29.14,1658430789.8921444
0,33,0,4,0,False,134,2,207,719,7.19,1658430790.1897411
1,33,0,4,0,True,134,2,199,711,7.11,1658430790.1897411
0,34,0,4,0,False,54,5,68,1348,13.48,1658430790.6261642
1,34,0,4,0,True,54,5,58,1338,13.38,1658430790.6261642
0,35,0,4,0,False,141,11,30,2846,28.46,1658430794.8202267
1,35,0,4,0,True,141,11,21,2837,28.37,1658430794.821223
0,36,0,4,0,False,250,7,98,1890,18.9,1658430800.60307
1,36,0,4,0,True,250,7,91,1883,18.83,1658430800.60307
0,37,0,4,0,False,170,1,192,448,4.48,1658430805.1378608
1,37,0,4,0,True,170,1,184,440,4.4,1658430805.1390238
0,38,0,4,0,False,118,7,210,2002,20.02,1658430808.2446039
1,38,0,4,0,True,118,7,202,1994,19.94,1658430808.2446039
0,39,0,4,0,False,218,4,49,1073,10.73,1658430811.4159586
1,39,0,4,0,True,218,4,41,1065,10.65,1658430811.416022
0,40,0,4,0,False,151,11,69,2885,28.85,1658430811.9383721
1,40,0,4,0,True,151,11,60,2876,28.76,1658430811.9383721
0,41,0,4,0,False,26,0,112,112,1.12,1658430812.9458902
1,41,0,4,0,True,26,0,102,102,1.02,1658430812.9460073
0,42,0,4,0,False,29,13,14,3342,33.42,1658430828.9503326
1,42,0,4,0,True,29,13,6,3334,33.34,1658430828.9503326
0,43,0,4,0,False,197,8,120,2168,21.68,1658430831.0542169
1,43,0,4,0,True,197,8,113,2161,21.61,1658430831.0542169
0,44,0,4,0,False,14,1,106,362,3.62,1658430831.216066
1,44,0,4,0,True,14,1,97,353,3.53,1658430831.216066
0,45,0,4,0,False,195,3,21,789,7.89,1658430832.0427876
1,45,0,4,0,True,195,3,7,775,7.75,1658430832.0427876
0,46,0,4,0,False,199,13,238,3566,35.66,1658430837.121953
1,46,0,4,0,True,199,13,229,3557,35.57,1658430837.122961
0,47,0,4,0,False,224,2,53,565,5.65,1658430838.666086
1,47,0,4,0,True,224,2,43,555,5.55,1658430838.6670835
0,48,0,4,0,False,174,3,115,883,8.83,1658430840.572891
1,48,0,4,0,True,174,3,106,874,8.74,1658430840.572891
0,49,0,4,0,False,112,15,117,3957,39.57,1658430848.2794833
1,49,0,4,0,True,112,15,110,3950,39.5,1658430848.2794833
0,50,0,4,0,False,197,7,191,1983,19.83,1658430850.5907195
1,50,0,4,0,True,197,7,184,1976,19.76,1658430850.5909398
0,51,0,4,0,False,174,5,160,1440,14.4,1658430858.2851155
1,51,0,4,0,True,174,5,152,1432,14.32,1658430858.2851155
0,52,0,4,0,False,130,14,1,3585,35.85,1658430859.7666183
1,52,0,4,0,True,130,13,249,3577,35.77,1658430859.7666183
0,53,0,4,0,False,77,12,202,3274,32.74,1658430861.17175
1,53,0,4,0,True,77,12,193,3265,32.65,1658430861.1719968
0,54,0,4,0,False,38,0,74,74,0.74,1658430861.813744
1,54,0,4,0,True,77,0,65,65,0.65,1658430861.813744
0,55,0,4,0,False,42,5,124,1404,14.04,1658430862.5756607
