NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,16, 7,205 , 1997 , 19.97,1655819395.6354597 
0,0, 4, 0,Col,16, 13,164 , 3492 , 34.92,1655819395.6354597 
0,0, 4, 0,Row,81, 10,205 , 2765 , 27.65,1655819395.6354597 
0,0, 4, 0,Col,81, 9,92 , 2396 , 23.96,1655819395.6354597 

1,0, 4, 0,Row,34, 5,239 , 1519 , 15.19,1655819396.4527996 
1,0, 4, 0,Col,34, 5,154 , 1434 , 14.34,1655819396.4527996 

2,0, 4, 0,Row,13, 8,172 , 2220 , 22.2,1655819397.1917067 
2,0, 4, 0,Col,13, 8,84 , 2132 , 21.32,1655819397.1917067 

3,0, 4, 0,Row,134, 3,216 , 984 , 9.84,1655819397.9176602 
3,0, 4, 0,Col,133, 3,155 , 923 , 9.23,1655819397.9176602 

4,0, 4, 0,Row,165, 3,129 , 897 , 8.97,1655819398.659073 
4,0, 4, 0,Col,165, 3,78 , 846 , 8.46,1655819398.659073 

5,0, 4, 0,Row,217, 6,222 , 1758 , 17.58,1655819399.3978007 
5,0, 4, 0,Col,217, 6,149 , 1685 , 16.85,1655819399.3978007 

6,0, 4, 0,Row,8, 11,43 , 2859 , 28.59,1655819400.124193 
6,0, 4, 0,Col,8, 10,218 , 2778 , 27.78,1655819400.124193 

7,0, 4, 0,Row,128, 5,145 , 1425 , 14.25,1655819400.8495927 
7,0, 4, 0,Col,128, 5,111 , 1391 , 13.91,1655819400.8495927 

8,0, 4, 0,Row,240, 4,13 , 1037 , 10.37,1655819401.5730948 
8,0, 4, 0,Col,240, 3,189 , 957 , 9.57,1655819401.5730948 
8,0, 4, 0,Row,32, 7,30 , 1822 , 18.22,1655819401.5730948 
8,0, 4, 0,Col,32, 7,20 , 1812 , 18.12,1655819401.5730948 

9,0, 4, 0,Row,87, 4,158 , 1182 , 11.82,1655819402.2947552 
9,0, 4, 0,Col,87, 4,75 , 1099 , 10.99,1655819402.2947552 

10,0, 4, 0,Row,234, 3,67 , 835 , 8.35,1655819403.0216854 
10,0, 4, 0,Col,234, 2,247 , 759 , 7.59,1655819403.0216854 

11,0, 4, 0,Row,111, 15,220 , 4060 , 40.6,1655819403.7512736 
11,0, 4, 0,Col,111, 15,167 , 4007 , 40.07,1655819403.7512736 

12,0, 4, 0,Row,195, 11,104 , 2920 , 29.2,1655819404.4999795 
12,0, 4, 0,Col,195, 11,31 , 2847 , 28.47,1655819404.4999795 

13,0, 4, 0,Row,90, 13,171 , 3499 , 34.99,1655819405.2389963 
13,0, 4, 0,Col,90, 13,134 , 3462 , 34.62,1655819405.2389963 

14,0, 4, 0,Row,47, 5,211 , 1491 , 14.91,1655819405.961565 
14,0, 4, 0,Col,47, 5,156 , 1436 , 14.36,1655819405.961565 

15,0, 4, 0,Row,181, 6,89 , 1625 , 16.25,1655819406.6884854 
15,0, 4, 0,Col,181, 6,32 , 1568 , 15.68,1655819406.6884854 

16,0, 4, 0,Row,14, 4,139 , 1163 , 11.63,1655819407.4085927 
16,0, 4, 0,Col,14, 4,61 , 1085 , 10.85,1655819407.4085927 

17,0, 4, 0,Row,227, 0,248 , 248 , 2.48,1655819408.1342328 
17,0, 4, 0,Col,227, 0,181 , 181 , 1.81,1655819408.1342328 

18,0, 4, 0,Row,139, 3,71 , 839 , 8.39,1655819408.8702543 
18,0, 4, 0,Col,139, 3,38 , 806 , 8.06,1655819408.8702543 

19,0, 4, 0,Row,141, 1,211 , 467 , 4.67,1655819409.593364 
19,0, 4, 0,Col,141, 1,148 , 404 , 4.04,1655819409.593364 

20,0, 4, 0,Row,21, 1,193 , 449 , 4.49,1655819410.3026564 
20,0, 4, 0,Col,21, 1,136 , 392 , 3.92,1655819410.3026564 

21,0, 4, 0,Row,149, 1,113 , 369 , 3.69,1655819411.045338 
21,0, 4, 0,Col,149, 1,55 , 311 , 3.11,1655819411.045338 

22,0, 4, 0,Row,128, 0,52 , 52 , 0.52,1655819411.7826228 
22,0, 4, 0,Col,128, 0,17 , 17 , 0.17,1655819411.7826228 

23,0, 4, 0,Row,66, 6,8 , 1544 , 15.44,1655819412.5237937 
23,0, 4, 0,Col,66, 5,187 , 1467 , 14.67,1655819412.5237937 

24,0, 4, 0,Row,154, 0,149 , 149 , 1.49,1655819413.2440283 
24,0, 4, 0,Col,154, 0,103 , 103 , 1.03,1655819413.2440283 

25,0, 4, 0,Row,127, 7,149 , 1941 , 19.41,1655819413.9821901 
25,0, 4, 0,Col,127, 7,98 , 1890 , 18.9,1655819413.9821901 

26,0, 4, 0,Row,24, 8,184 , 2232 , 22.32,1655819414.7215865 
26,0, 4, 0,Col,24, 8,115 , 2163 , 21.63,1655819414.7215865 

27,0, 4, 0,Row,149, 9,7 , 2311 , 23.11,1655819415.4447577 
27,0, 4, 0,Col,149, 8,218 , 2266 , 22.66,1655819415.4447577 

28,0, 4, 0,Row,187, 4,185 , 1209 , 12.09,1655819416.1688726 
28,0, 4, 0,Col,187, 4,137 , 1161 , 11.61,1655819416.1688726 

29,0, 4, 0,Row,16, 0,113 , 113 , 1.13,1655819416.8889873 
29,0, 4, 0,Col,16, 0,52 , 52 , 0.52,1655819416.8889873 

30,0, 4, 0,Row,126, 7,161 , 1953 , 19.53,1655819417.5979328 
30,0, 4, 0,Col,126, 7,67 , 1859 , 18.59,1655819417.5979328 

31,0, 4, 0,Row,129, 13,28 , 3356 , 33.56,1655819418.3398736 
31,0, 4, 0,Col,129, 12,200 , 3272 , 32.72,1655819418.3398736 

32,0, 4, 0,Row,144, 6,110 , 1646 , 16.46,1655819419.0763857 
32,0, 4, 0,Col,144, 6,12 , 1548 , 15.48,1655819419.0763857 
32,0, 4, 0,Row,90, 7,118 , 1910 , 19.1,1655819419.0763857 
32,0, 4, 0,Col,90, 7,110 , 1902 , 19.02,1655819419.0763857 

33,0, 4, 0,Row,1, 7,87 , 1879 , 18.79,1655819419.7986426 
33,0, 4, 0,Col,1, 6,250 , 1786 , 17.86,1655819419.7986426 

34,0, 4, 0,Row,128, 2,74 , 586 , 5.86,1655819420.5408285 
34,0, 4, 0,Col,128, 2,8 , 520 , 5.2,1655819420.5408285 

35,0, 4, 0,Row,61, 5,164 , 1444 , 14.44,1655819421.2950068 
35,0, [0;31;40m5[0m, 36,Col,4, 0,61 , 61 , 0.61,1655819421.2950068 
35,0, [0;31;40m5[0m, 36,Row,61, 13,61 , 3389 , 33.89,1655819421.2950068 

36,0, 4, 0,Row,124, 2,98 , 610 , 6.1,1655819422.0321014 
36,0, 4, 0,Col,124, 2,35 , 547 , 5.47,1655819422.0321014 

37,0, 4, 0,Row,7, 4,16 , 1040 , 10.4,1655819422.7748828 
37,0, 4, 0,Col,7, 3,230 , 998 , 9.98,1655819422.7748828 

38,0, 4, 0,Row,232, 9,130 , 2434 , 24.34,1655819423.5266438 
38,0, 4, 0,Col,232, 9,82 , 2386 , 23.86,1655819423.5266438 

39,0, 4, 0,Row,138, 11,199 , 3015 , 30.15,1655819424.264825 
39,0, 4, 0,Col,138, 11,145 , 2961 , 29.61,1655819424.264825 

40,0, 4, 0,Row,241, 8,95 , 2143 , 21.43,1655819425.0157726 
40,0, 4, 0,Col,241, 8,28 , 2076 , 20.76,1655819425.0157726 

41,0, 4, 0,Row,72, 11,139 , 2955 , 29.55,1655819425.7534084 
41,0, 4, 0,Col,72, 11,61 , 2877 , 28.77,1655819425.7534084 

42,0, 4, 0,Row,54, 9,254 , 2558 , 25.58,1655819426.4913075 
42,0, 4, 0,Col,54, 9,168 , 2472 , 24.72,1655819426.4913075 

43,0, 4, 0,Row,29, 12,198 , 3270 , 32.7,1655819427.216742 
43,0, 4, 0,Col,29, 12,135 , 3207 , 32.07,1655819427.216742 

44,0, 4, 0,Row,94, 3,94 , 862 , 8.62,1655819427.9568422 
