NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,193, 2,47 , 559 , 5.59,1655819343.7385383 
0,0, 4, 0,Col,193, 4,232 , 1256 , 12.56,1655819343.7385383 
0,0, 4, 0,Row,223, 15,20 , 3860 , 38.6,1655819343.7385383 
0,0, 4, 0,Col,223, 13,213 , 3541 , 35.41,1655819343.7385383 

1,0, 4, 0,Row,118, 1,9 , 265 , 2.65,1655819344.5615644 
1,0, 4, 0,Col,118, 0,197 , 197 , 1.97,1655819344.5615644 

2,0, 4, 0,Row,209, 14,145 , 3729 , 37.29,1655819345.29567 
2,0, 4, 0,Col,57, 14,87 , 3671 , 36.71,1655819345.29567 

3,0, 4, 0,Row,97, 15,235 , 4075 , 40.75,1655819346.0506217 
3,0, 4, 0,Col,97, 15,201 , 4041 , 40.41,1655819346.0506217 

4,0, 4, 0,Row,232, 10,123 , 2683 , 26.83,1655819346.8021524 
4,0, 4, 0,Col,232, 10,38 , 2598 , 25.98,1655819346.8021524 

5,0, 4, 0,Row,86, 1,172 , 428 , 4.28,1655819347.538461 
5,0, 4, 0,Col,86, 1,127 , 383 , 3.83,1655819347.538461 

6,0, 4, 0,Row,90, 15,68 , 3908 , 39.08,1655819348.3243275 
6,0, 4, 0,Col,90, 14,213 , 3797 , 37.97,1655819348.3243275 

7,0, 4, 0,Row,143, 12,225 , 3297 , 32.97,1655819349.082003 
7,0, 4, 0,Col,143, 12,123 , 3195 , 31.95,1655819349.082003 

8,0, 4, 0,Row,92, 14,28 , 3612 , 36.12,1655819349.856249 
8,0, 4, 0,Col,92, 13,224 , 3552 , 35.52,1655819349.856249 

9,0, 4, 0,Row,38, 9,110 , 2414 , 24.14,1655819350.6034431 
9,0, 4, 0,Col,38, 9,36 , 2340 , 23.4,1655819350.6034431 

10,0, 4, 0,Row,115, 12,25 , 3097 , 30.97,1655819351.346367 
10,0, 4, 0,Col,115, 11,236 , 3052 , 30.52,1655819351.346367 

11,0, 4, 0,Row,39, 0,41 , 41 , 0.41,1655819352.1163642 
11,0, 4, 0,Col,39, 15,244 , 4084 , 40.84,1655819352.1163642 

12,0, 4, 0,Row,147, 8,152 , 2200 , 22.0,1655819352.8604488 
12,0, 4, 0,Col,147, 8,66 , 2114 , 21.14,1655819352.8604488 

13,0, 4, 0,Row,128, 9,212 , 2516 , 25.16,1655819353.6063843 
13,0, 4, 0,Col,128, 9,114 , 2418 , 24.18,1655819353.6063843 

14,0, 4, 0,Row,242, 13,154 , 3482 , 34.82,1655819354.3681972 
14,0, 4, 0,Col,242, 13,67 , 3395 , 33.95,1655819354.3681972 

15,0, 4, 0,Row,201, 6,180 , 1716 , 17.16,1655819355.112095 
15,0, 4, 0,Col,201, 6,95 , 1631 , 16.31,1655819355.112095 

16,0, 4, 0,Row,109, 9,70 , 2374 , 23.74,1655819355.8852892 
16,0, 4, 0,Col,109, 8,251 , 2299 , 22.99,1655819355.8852892 

17,0, 4, 0,Row,43, 2,77 , 589 , 5.89,1655819356.6325834 
17,0, 4, 0,Col,43, 2,0 , 512 , 5.12,1655819356.6325834 

18,0, 4, 0,Row,180, 4,98 , 1122 , 11.22,1655819357.3913481 
18,0, 4, 0,Col,180, 4,64 , 1088 , 10.88,1655819357.3913481 

19,0, 4, 0,Row,68, 1,230 , 486 , 4.86,1655819358.13524 
19,0, 4, 0,Col,68, 1,192 , 448 , 4.48,1655819358.13524 

20,0, 4, 0,Row,92, 6,138 , 1674 , 16.74,1655819358.9121578 
20,0, 4, 0,Col,92, 6,45 , 1581 , 15.81,1655819358.9121578 

21,0, 4, 0,Row,239, 15,217 , 4057 , 40.57,1655819359.672192 
21,0, 4, 0,Col,239, 15,134 , 3974 , 39.74,1655819359.672192 
21,0, 4, 0,Row,178, 8,141 , 2189 , 21.89,1655819359.672192 
21,0, 4, 0,Col,178, 8,134 , 2182 , 21.82,1655819359.672192 

22,0, 4, 0,Row,43, 11,28 , 2844 , 28.44,1655819360.4483242 
22,0, 4, 0,Col,43, 10,154 , 2714 , 27.14,1655819360.4483242 

23,0, 4, 0,Row,129, 0,234 , 234 , 2.34,1655819361.1875062 
23,0, 4, 0,Col,129, 0,119 , 119 , 1.19,1655819361.1875062 

24,0, 4, 0,Row,90, 7,123 , 1915 , 19.15,1655819361.9464061 
24,0, 4, 0,Col,90, 7,51 , 1843 , 18.43,1655819361.9464061 

25,0, 4, 0,Row,40, 9,78 , 2382 , 23.82,1655819362.7166913 
25,0, 4, 0,Col,40, 9,9 , 2313 , 23.13,1655819362.7166913 

26,0, 4, 0,Row,0, 0,94 , 94 , 0.94,1655819363.4722207 
26,0, 4, 0,Col,0, 15,253 , 4093 , 40.93,1655819363.4722207 

