dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,28,False,142,3,214,982,9.82,1658779466.043027
1,0,0,4,27,True,142,3,186,954,9.54,1658779466.043027
0,1,0,4,34,False,144,9,47,2351,23.51,1658780092.5874119
1,1,0,4,34,True,144,9,35,2339,23.39,1658780092.5882742
0,2,0,4,7,False,25,2,103,615,6.15,1658780312.3170214
1,2,0,4,27,True,25,2,90,602,6.02,1658780312.3172538
0,3,0,4,28,False,40,1,15,271,2.71,1658783045.309594
1,3,0,4,27,True,40,0,237,237,2.37,1658783045.3105912
0,4,0,4,0,False,40,4,84,1108,11.08,1658786581.7652085
1,4,0,4,0,True,40,4,93,1117,11.17,1658786581.7652085
0,5,0,4,28,False,40,2,18,530,5.3,1658790530.0618868
1,5,0,4,27,True,40,1,244,500,5.0,1658790530.0618868
0,6,0,4,7,False,55,2,163,675,6.75,1658790811.1669526
1,6,0,4,27,True,55,2,153,665,6.65,1658790811.1669526
0,7,0,4,34,False,42,1,241,497,4.97,1658793385.4644055
1,7,0,4,34,True,42,1,231,487,4.87,1658793385.4654012
0,8,0,4,28,False,79,3,188,956,9.56,1658793599.5539527
1,8,0,4,27,True,79,3,172,940,9.4,1658793599.5539527
0,9,0,4,28,False,40,0,211,211,2.11,1658793850.303396
1,9,0,4,27,True,40,0,155,155,1.55,1658793850.3036232
0,10,0,4,28,False,207,2,74,586,5.86,1658794259.6660566
1,10,0,4,27,True,207,2,53,565,5.65,1658794259.6662915
0,11,0,4,5,False,49,11,95,2911,29.11,1658794450.9032633
1,11,0,4,0,True,48,11,101,2917,29.17,1658794450.9035552
0,12,0,4,28,False,203,3,177,945,9.45,1658794628.8101392
1,12,0,4,27,True,203,3,144,912,9.12,1658794628.8102453
0,13,0,4,34,False,17,2,116,628,6.28,1658796337.8084745
1,13,0,4,34,True,17,2,109,621,6.21,1658796337.8084745
0,14,0,4,28,False,156,2,161,673,6.73,1658799099.9183004
1,14,0,4,27,True,156,2,140,652,6.52,1658799099.9183004
0,15,0,4,28,False,214,14,83,3667,36.67,1658799448.001445
1,15,0,4,27,True,214,14,66,3650,36.5,1658799448.002438
0,16,0,4,28,False,239,15,50,3890,38.9,1658801184.2786143
1,16,0,4,6,True,239,15,48,3888,38.88,1658801184.2796068
0,17,0,4,28,False,168,5,24,1304,13.04,1658801990.9288278
1,17,0,4,27,True,168,5,3,1283,12.83,1658801990.9288278
0,18,0,4,7,False,222,0,174,174,1.74,1658804203.7457316
1,18,0,4,27,True,222,0,163,163,1.63,1658804203.745934
0,19,0,4,7,False,222,3,56,824,8.24,1658804694.3445852
1,19,0,4,27,True,35,3,41,809,8.09,1658804694.3445852
0,20,0,4,28,False,216,0,151,151,1.51,1658806105.79687
1,20,0,4,27,True,216,0,128,128,1.28,1658806105.797181
0,21,0,4,28,False,208,1,64,320,3.2,1658806921.0779197
1,21,0,4,27,True,208,1,21,277,2.77,1658806921.0781496
0,22,0,4,28,False,156,2,168,680,6.8,1658809733.4052336
1,22,0,4,27,True,156,2,146,658,6.58,1658809733.4054592
0,23,0,4,28,False,192,1,123,379,3.79,1658813244.5591424
1,23,0,4,27,True,192,1,105,361,3.61,1658813244.5591424
0,24,0,4,34,False,219,15,16,3856,38.56,1658815111.3294606
1,24,0,4,34,True,219,15,10,3850,38.5,1658815111.3300111
0,25,0,4,28,False,112,4,123,1147,11.47,1658815421.8120453
1,25,0,4,27,True,112,4,104,1128,11.28,1658815421.8120453
0,26,0,4,28,False,227,12,117,3189,31.89,1658815816.4703896
1,26,0,4,27,True,227,12,99,3171,31.71,1658815816.4713874
0,27,0,4,5,False,132,14,56,3640,36.4,1658816710.3380766
1,27,0,4,0,True,132,14,64,3648,36.48,1658816710.3380766
0,28,0,4,28,False,27,3,112,880,8.8,1658816877.4727745
1,28,0,4,27,True,27,3,92,860,8.6,1658816877.4729943
0,29,0,4,28,False,163,4,163,1187,11.87,1658818636.2555315
1,29,0,4,27,True,163,4,128,1152,11.52,1658818636.2555315
0,30,0,4,28,False,45,0,157,157,1.57,1658819240.6889358
1,30,0,4,6,True,45,0,148,148,1.48,1658819240.6899436
0,31,0,4,28,False,135,6,248,1784,17.84,1658823092.5419455
1,31,0,4,27,True,135,6,234,1770,17.7,1658823092.54249
0,32,0,4,28,False,143,1,49,305,3.05,1658823806.3541133
1,32,0,4,27,True,143,1,30,286,2.86,1658823806.3546903
0,33,0,4,28,False,56,2,31,543,5.43,1658826097.273745
1,33,0,4,27,True,56,2,11,523,5.23,1658826097.274057
0,34,0,4,7,False,247,1,250,506,5.06,1658826157.2756536
1,34,0,4,27,True,247,1,241,497,4.97,1658826157.2758832
0,35,0,4,28,False,7,1,125,381,3.81,1658826475.9785795
1,35,0,4,27,True,7,1,90,346,3.46,1658826475.9785795
0,36,0,4,28,False,216,5,113,1393,13.93,1658826639.09595
1,36,0,4,27,True,216,5,95,1375,13.75,1658826639.096949
0,37,0,4,5,False,33,15,89,3929,39.29,1658827001.4270508
1,37,0,4,0,True,33,15,95,3935,39.35,1658827001.4270508
0,38,0,4,28,False,49,1,71,327,3.27,1658827558.2928092
1,38,0,4,27,True,49,1,10,266,2.66,1658827558.2928092
0,39,0,4,28,False,238,4,38,1062,10.62,1658828375.4741468
1,39,0,4,27,True,238,4,19,1043,10.43,1658828375.4741468
0,40,0,4,28,False,194,3,178,946,9.46,1658830327.6255322
1,40,0,4,27,True,194,3,160,928,9.28,1658830327.6255322
0,41,0,4,28,False,128,4,35,1059,10.59,1658833237.265903
1,41,0,4,27,True,128,4,16,1040,10.4,1658833237.2661307
0,42,0,4,28,False,145,5,79,1359,13.59,1658833561.7411065
1,42,0,4,6,True,145,5,76,1356,13.56,1658833561.7411065
0,43,0,4,28,False,18,4,78,1102,11.02,1658834266.020031
1,43,0,4,27,True,18,4,64,1088,10.88,1658834266.020031
0,44,0,4,28,False,240,2,169,681,6.81,1658838787.8410969
1,44,0,4,27,True,240,2,150,662,6.62,1658838787.8420947
0,45,0,4,28,False,109,3,67,835,8.35,1658839841.0543551
1,45,0,4,27,True,109,3,50,818,8.18,1658839841.0553575
