dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,181,15,80,3920,39.2,1658496741.3537776
1,0,0,4,0,True,181,15,94,3934,39.34,1658496741.3547714
0,1,0,4,0,False,58,5,17,1297,12.97,1658496751.5621183
1,1,0,4,0,True,58,5,34,1314,13.14,1658496751.5621183
0,2,0,4,0,False,185,3,37,805,8.05,1658496757.4347715
1,2,0,4,0,True,185,3,51,819,8.19,1658496757.435064
0,3,0,4,0,False,232,2,8,520,5.2,1658496761.4179907
1,3,0,4,0,True,232,2,23,535,5.35,1658496761.4179907
0,4,0,4,0,False,116,12,0,3072,30.72,1658496761.9038448
1,4,0,4,0,True,116,12,13,3085,30.85,1658496761.9040792
0,5,0,4,0,False,218,3,109,877,8.77,1658496768.7266927
1,5,0,4,0,True,218,3,122,890,8.9,1658496768.72769
0,6,0,4,0,False,246,9,198,2502,25.02,1658496773.5103118
1,6,0,4,0,True,246,9,215,2519,25.19,1658496773.5103118
0,7,0,4,0,False,79,6,30,1566,15.66,1658496781.6751626
1,7,0,4,0,True,78,6,47,1583,15.83,1658496781.6753693
0,8,0,4,0,False,235,14,230,3814,38.14,1658496794.4081988
1,8,0,4,0,True,235,14,245,3829,38.29,1658496794.4081988
0,9,0,4,0,False,165,0,97,97,0.97,1658496795.3401613
1,9,0,4,0,True,165,0,111,111,1.11,1658496795.3401613
0,10,0,4,0,False,129,12,135,3207,32.07,1658496795.5130012
1,10,0,4,0,True,129,12,149,3221,32.21,1658496795.5130012
0,11,0,4,0,False,128,13,236,3564,35.64,1658496802.7989588
1,11,0,4,0,True,127,13,250,3578,35.78,1658496802.7991755
0,12,0,4,0,False,171,10,219,2779,27.79,1658496805.4063087
1,12,0,4,0,True,171,10,234,2794,27.94,1658496805.406533
0,13,0,4,0,False,250,14,199,3783,37.83,1658496815.8274696
1,13,0,4,0,True,250,14,211,3795,37.95,1658496815.8284688
0,14,0,4,0,False,195,14,194,3778,37.78,1658496834.4594655
1,14,0,4,0,True,195,14,209,3793,37.93,1658496834.46047
0,15,0,4,0,False,55,2,141,653,6.53,1658496838.62608
1,15,0,4,0,True,55,2,155,667,6.67,1658496838.6270783
0,16,0,4,0,False,171,6,218,1754,17.54,1658496842.974335
1,16,0,4,0,True,170,6,234,1770,17.7,1658496842.974335
0,17,0,4,0,False,17,14,36,3620,36.2,1658496846.8115137
1,17,0,4,0,True,17,14,48,3632,36.32,1658496846.8125105
0,18,0,4,0,False,207,11,15,2831,28.31,1658496851.7014496
1,18,0,4,0,True,207,11,29,2845,28.45,1658496851.7019565
0,19,0,4,0,False,128,3,94,862,8.62,1658496851.8668003
1,19,0,4,0,True,128,3,108,876,8.76,1658496851.8668003
0,20,0,4,0,False,236,14,221,3805,38.05,1658496865.1337757
1,20,0,4,0,True,235,14,235,3819,38.19,1658496865.1337757
0,21,0,4,0,False,11,0,80,80,0.8,1658496865.9071171
1,21,0,4,0,True,11,0,93,93,0.93,1658496865.9071171
