dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,192,10,21,2581,25.81,1658498066.634637
1,0,0,4,0,True,192,10,43,2603,26.03,1658498066.634637
0,1,0,4,0,False,1,1,201,457,4.57,1658498067.0540876
1,1,0,4,0,True,1,1,225,481,4.81,1658498067.0540876
0,2,0,4,0,False,112,6,127,1663,16.63,1658498076.056274
1,2,0,4,0,True,111,6,154,1690,16.9,1658498076.0568223
0,3,0,4,0,False,32,11,26,2842,28.42,1658498077.751603
1,3,0,4,0,True,32,11,50,2866,28.66,1658498077.751603
0,4,0,4,0,False,54,11,118,2934,29.34,1658498093.6625698
1,4,0,4,0,True,54,11,140,2956,29.56,1658498093.6625698
0,5,0,4,0,False,40,3,0,768,7.68,1658498102.9891703
1,5,0,4,0,True,40,3,23,791,7.91,1658498102.9891703
0,6,0,4,0,False,155,10,255,2815,28.15,1658498110.2776906
1,6,0,4,0,True,155,11,22,2838,28.38,1658498110.2776906
0,7,0,4,0,False,223,2,247,759,7.59,1658498111.0646884
1,7,0,4,0,True,223,3,13,781,7.81,1658498111.0651798
0,8,0,4,0,False,37,5,95,1375,13.75,1658498113.4121535
1,8,0,4,0,True,37,5,129,1409,14.09,1658498113.4123814
0,9,0,4,0,False,165,5,223,1503,15.03,1658498118.4222198
1,9,0,4,0,True,165,5,247,1527,15.27,1658498118.4225342
0,10,0,4,0,False,77,0,144,144,1.44,1658498125.8425434
1,10,0,4,0,True,76,0,171,171,1.71,1658498125.842769
0,11,0,4,0,False,188,7,141,1933,19.33,1658498126.3812573
1,11,0,4,0,True,187,7,168,1960,19.6,1658498126.3812573
0,12,0,4,0,False,46,12,181,3253,32.53,1658498129.1516232
1,12,0,4,0,True,46,12,203,3275,32.75,1658498129.1521723
0,13,0,4,0,False,5,4,183,1207,12.07,1658498130.1324503
1,13,0,4,0,True,5,4,206,1230,12.3,1658498130.1326728
0,14,0,4,0,False,107,5,100,1380,13.8,1658498130.6266093
1,14,0,4,0,True,106,5,122,1402,14.02,1658498130.6266093
0,15,0,4,0,False,80,4,7,1031,10.31,1658498134.2099283
1,15,0,4,0,True,80,4,29,1053,10.53,1658498134.210072
0,16,0,4,0,False,4,13,85,3413,34.13,1658498143.520878
1,16,0,4,0,True,4,13,107,3435,34.35,1658498143.520878
0,17,0,4,0,False,90,6,152,1688,16.88,1658498162.1628664
1,17,0,4,0,True,90,6,175,1711,17.11,1658498162.1628664
0,18,0,4,0,False,55,7,58,1850,18.5,1658498172.6544583
1,18,0,4,0,True,55,7,82,1874,18.74,1658498172.6545935
0,19,0,4,0,False,72,2,227,739,7.39,1658498173.687069
1,19,0,4,0,True,72,2,253,765,7.65,1658498173.687069
0,20,0,4,0,False,132,7,119,1911,19.11,1658498177.9433262
1,20,0,4,0,True,132,7,141,1933,19.33,1658498177.9436014
0,21,0,4,0,False,178,8,245,2293,22.93,1658498183.9624367
1,21,0,4,0,True,177,9,11,2315,23.15,1658498183.9629817
0,22,0,4,0,False,157,10,55,2615,26.15,1658498187.5446258
1,22,0,4,0,True,157,10,77,2637,26.37,1658498187.5449042
0,23,0,4,0,False,252,12,211,3283,32.83,1658498204.7284296
1,23,0,4,0,True,252,12,233,3305,33.05,1658498204.7294126
0,24,0,4,0,False,128,1,230,486,4.86,1658498206.0194151
1,24,0,4,0,True,128,1,253,509,5.09,1658498206.0194151
0,25,0,4,0,False,138,9,165,2469,24.69,1658498223.4908981
1,25,0,4,0,True,138,9,188,2492,24.92,1658498223.4908981
0,26,0,4,0,False,179,3,154,922,9.22,1658498225.9001083
1,26,0,4,0,True,179,3,178,946,9.46,1658498225.9011812
0,27,0,4,0,False,213,13,204,3532,35.32,1658498226.6213815
1,27,0,4,0,True,213,13,227,3555,35.55,1658498226.6213815
0,28,0,4,0,False,67,11,115,2931,29.31,1658498242.0828054
1,28,0,4,0,True,67,11,151,2967,29.67,1658498242.083836
0,29,0,4,0,False,165,3,11,779,7.79,1658498243.143425
1,29,0,4,0,True,165,3,34,802,8.02,1658498243.1436348
0,30,0,4,0,False,139,0,56,56,0.56,1658498248.0099676
1,30,0,4,0,True,138,0,78,78,0.78,1658498248.0104773
0,31,0,4,0,False,109,5,211,1491,14.91,1658498253.342032
1,31,0,4,0,True,109,5,234,1514,15.14,1658498253.342032
0,32,0,4,0,False,102,4,91,1115,11.15,1658498257.7749696
1,32,0,4,0,True,102,4,117,1141,11.41,1658498257.7749696
0,33,0,4,0,False,61,8,29,2077,20.77,1658498268.8089757
1,33,0,4,0,True,61,8,54,2102,21.02,1658498268.8092053
0,34,0,4,0,False,196,7,28,1820,18.2,1658498269.5863516
1,34,0,4,0,True,196,7,50,1842,18.42,1658498269.5863516
0,35,0,4,0,False,167,1,112,368,3.68,1658498271.788367
1,35,0,4,0,True,167,1,135,391,3.91,1658498271.7893646
0,36,0,4,0,False,76,4,137,1161,11.61,1658498275.3732545
1,36,0,4,0,True,75,4,160,1184,11.84,1658498275.373784
0,37,0,4,0,False,63,10,38,2598,25.98,1658498280.9395156
1,37,0,4,0,True,63,10,62,2622,26.22,1658498280.9395156
0,38,0,4,0,False,77,0,65,65,0.65,1658498284.3463948
1,38,0,4,0,True,77,0,88,88,0.88,1658498284.3474236
0,39,0,4,0,False,203,2,91,603,6.03,1658498287.2764173
1,39,0,4,0,True,203,2,126,638,6.38,1658498287.2764173
0,40,0,4,0,False,175,6,216,1752,17.52,1658498291.8493462
1,40,0,4,0,True,175,6,241,1777,17.77,1658498291.8503435
0,41,0,4,0,False,8,3,198,966,9.66,1658498294.0533288
1,41,0,4,0,True,8,3,224,992,9.92,1658498294.0533288
0,42,0,4,0,False,198,0,50,50,0.5,1658498299.7509875
1,42,0,4,0,True,198,0,83,83,0.83,1658498299.7509875
0,43,0,4,0,False,231,3,36,804,8.04,1658498301.1728692
1,43,0,4,0,True,231,3,61,829,8.29,1658498301.1731112
0,44,0,4,0,False,49,14,218,3802,38.02,1658498311.7157776
