dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,158,10,126,2686,26.86,1658515767.0865898
1,0,0,4,0,True,157,10,138,2698,26.98,1658515767.0865898
0,1,0,4,0,False,21,15,181,4021,40.21,1658515768.2831018
1,1,0,4,0,True,21,15,189,4029,40.29,1658515768.2831018
0,2,0,4,0,False,195,12,167,3239,32.39,1658515776.6038716
1,2,0,4,0,True,195,12,177,3249,32.49,1658515776.6038716
0,3,0,4,0,False,50,15,106,3946,39.46,1658515778.4377549
1,3,0,4,0,True,50,15,118,3958,39.58,1658515778.4379869
0,4,0,4,0,False,252,8,98,2146,21.46,1658515780.5421658
1,4,0,4,0,True,252,8,110,2158,21.58,1658515780.542759
0,5,0,4,0,False,130,12,69,3141,31.41,1658515785.436953
1,5,0,4,0,True,130,12,83,3155,31.55,1658515785.436953
0,6,0,4,0,False,223,5,103,1383,13.83,1658515794.9943519
1,6,0,4,0,True,223,5,127,1407,14.07,1658515794.9943519
0,7,0,4,0,False,18,2,147,659,6.59,1658515798.3850079
1,7,0,4,0,True,17,2,159,671,6.71,1658515798.3850079
0,8,0,4,0,False,249,9,177,2481,24.81,1658515802.508665
1,8,0,4,0,True,249,9,189,2493,24.93,1658515802.508665
0,9,0,4,0,False,237,2,85,597,5.97,1658515804.7536926
1,9,0,4,0,True,237,2,98,610,6.1,1658515804.7536926
0,10,0,4,0,False,181,3,126,894,8.94,1658515811.165373
1,10,0,4,0,True,181,3,139,907,9.07,1658515811.166534
0,11,0,4,0,False,219,6,24,1560,15.6,1658515815.9791348
1,11,0,4,0,True,218,6,36,1572,15.72,1658515815.9793508
0,12,0,4,0,False,32,4,195,1219,12.19,1658515816.2121816
1,12,0,4,0,True,32,4,207,1231,12.31,1658515816.2126744
0,13,0,4,0,False,39,6,137,1673,16.73,1658515824.5896175
1,13,0,4,0,True,39,6,143,1679,16.79,1658515824.589848
0,14,0,4,0,False,191,12,207,3279,32.79,1658515829.650135
1,14,0,4,0,True,191,12,217,3289,32.89,1658515829.650135
0,15,0,4,0,False,235,2,42,554,5.54,1658515832.694259
1,15,0,4,0,True,235,2,62,574,5.74,1658515832.694259
0,16,0,4,0,False,185,7,248,2040,20.4,1658515834.345006
1,16,0,4,0,True,185,8,9,2057,20.57,1658515834.3461888
0,17,0,4,0,False,78,6,194,1730,17.3,1658515836.9517684
1,17,0,4,0,True,77,6,204,1740,17.4,1658515836.9517684
0,18,0,4,0,False,159,1,1,257,2.57,1658515839.3209453
1,18,0,4,0,True,158,1,25,281,2.81,1658515839.3209453
0,19,0,4,0,False,56,7,47,1839,18.39,1658515852.491621
1,19,0,4,0,True,56,7,60,1852,18.52,1658515852.491621
0,20,0,4,0,False,133,13,42,3370,33.7,1658515858.6769047
1,20,0,4,0,True,132,13,55,3383,33.83,1658515858.6776307
0,21,0,4,0,False,76,12,150,3222,32.22,1658515862.2531385
1,21,0,4,0,True,76,12,163,3235,32.35,1658515862.2541146
0,22,0,4,0,False,156,8,35,2083,20.83,1658515865.4721363
1,22,0,4,0,True,155,8,52,2100,21.0,1658515865.4721363
0,23,0,4,0,False,166,0,178,178,1.78,1658515867.8216896
1,23,0,4,0,True,165,0,189,189,1.89,1658515867.8216896
0,24,0,4,0,False,225,13,221,3549,35.49,1658515870.9318402
1,24,0,4,0,True,225,13,234,3562,35.62,1658515870.9318402
0,25,0,4,0,False,26,13,10,3338,33.38,1658515872.51255
1,25,0,4,0,True,26,13,21,3349,33.49,1658515872.513821
0,26,0,4,0,False,13,0,29,29,0.29,1658515876.4649124
1,26,0,4,0,True,13,0,37,37,0.37,1658515876.4649124
0,27,0,4,0,False,17,11,178,2994,29.94,1658515884.1040103
1,27,0,4,0,True,16,11,189,3005,30.05,1658515884.1040103
0,28,0,4,0,False,138,1,193,449,4.49,1658515885.5920324
1,28,0,4,0,True,138,1,204,460,4.6,1658515885.5930493
0,29,0,4,0,False,84,8,180,2228,22.28,1658515898.3354936
1,29,0,4,0,True,84,8,192,2240,22.4,1658515898.3354936
0,30,0,4,0,False,161,0,107,107,1.07,1658515902.165169
1,30,0,4,0,True,161,0,118,118,1.18,1658515902.165169
0,31,0,4,0,False,171,14,212,3796,37.96,1658515910.9268768
1,31,0,4,0,True,170,14,225,3809,38.09,1658515910.9278738
0,32,0,4,0,False,95,6,185,1721,17.21,1658515930.584876
1,32,0,4,0,True,94,6,194,1730,17.3,1658515930.584876
