dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,81,11,95,2911,29.11,1658510910.962078
1,0,0,4,0,True,80,11,107,2923,29.23,1658510910.962078
0,1,0,4,0,False,96,2,82,594,5.94,1658510915.0918467
1,1,0,4,0,True,96,2,94,606,6.06,1658510915.0918467
0,2,0,4,0,False,140,9,218,2522,25.22,1658510955.738734
1,2,0,4,0,True,139,9,231,2535,25.35,1658510955.7396982
0,3,0,4,0,False,128,13,172,3500,35.0,1658510961.116751
1,3,0,4,0,True,128,13,186,3514,35.14,1658510961.1177468
0,4,0,4,0,False,161,7,208,2000,20.0,1658510964.2631714
1,4,0,4,0,True,161,7,220,2012,20.12,1658510964.2631714
0,5,0,4,0,False,192,1,154,410,4.1,1658510974.653753
1,5,0,4,0,True,191,1,166,422,4.22,1658510974.653753
0,6,0,4,0,False,129,0,227,227,2.27,1658510993.4767673
1,6,0,4,0,True,129,0,240,240,2.4,1658510993.4767673
0,7,0,4,0,False,90,6,176,1712,17.12,1658510996.3781579
1,7,0,4,0,True,90,6,194,1730,17.3,1658510996.3787506
0,8,0,4,0,False,241,10,189,2749,27.49,1658511006.867461
1,8,0,4,0,True,240,10,201,2761,27.61,1658511006.8676913
0,9,0,4,0,False,169,2,57,569,5.69,1658511010.2840798
1,9,0,4,0,True,169,2,70,582,5.82,1658511010.285077
0,10,0,4,0,False,4,7,97,1889,18.89,1658511011.7298737
1,10,0,4,0,True,4,7,110,1902,19.02,1658511011.7298737
0,11,0,4,0,False,70,15,141,3981,39.81,1658511014.4565358
1,11,0,4,0,True,70,15,153,3993,39.93,1658511014.4575367
0,12,0,4,0,False,155,6,82,1618,16.18,1658511018.9488606
1,12,0,4,0,True,155,6,96,1632,16.32,1658511018.9492888
0,13,0,4,0,False,72,14,196,3780,37.8,1658511032.3760107
1,13,0,4,0,True,71,14,209,3793,37.93,1658511032.3770077
0,14,0,4,0,False,180,4,151,1175,11.75,1658511053.6065037
1,14,0,4,0,True,71,4,163,1187,11.87,1658511053.6065037
0,15,0,4,0,False,149,8,106,2154,21.54,1658511054.200431
1,15,0,4,0,True,149,8,118,2166,21.66,1658511054.200431
0,16,0,4,0,False,179,14,177,3761,37.61,1658511057.740745
1,16,0,4,0,True,179,14,189,3773,37.73,1658511057.740745
0,17,0,4,0,False,78,10,177,2737,27.37,1658511059.1877139
1,17,0,4,0,True,78,10,190,2750,27.5,1658511059.1879442
0,18,0,4,0,False,36,8,111,2159,21.59,1658511059.6402266
1,18,0,4,0,True,36,8,125,2173,21.73,1658511059.6402266
0,19,0,4,0,False,169,5,50,1330,13.3,1658511060.334971
1,19,0,4,0,True,169,5,64,1344,13.44,1658511060.334971
