dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,5,False,2,11,209,3025,30.25,1658767550.0920594
1,0,0,4,0,True,2,11,218,3034,30.34,1658767550.0920594
0,1,0,4,5,False,253,7,113,1905,19.05,1658767552.0413587
1,1,0,4,0,True,253,7,116,1908,19.08,1658767552.0414624
0,2,0,4,5,False,88,11,12,2828,28.28,1658767553.211058
1,2,0,4,0,True,87,11,10,2826,28.26,1658767553.2115047
0,3,0,4,5,False,67,7,167,1959,19.59,1658767554.978862
1,3,0,4,0,True,67,7,176,1968,19.68,1658767554.978862
0,4,0,4,5,False,183,5,214,1494,14.94,1658767555.5793812
1,4,0,4,0,True,183,5,221,1501,15.01,1658767555.5793812
0,5,0,4,5,False,207,7,233,2025,20.25,1658767558.6852112
1,5,0,4,0,True,207,7,240,2032,20.32,1658767558.6860769
0,6,0,4,5,False,31,11,25,2841,28.41,1658767560.2862766
1,6,0,4,0,True,30,11,30,2846,28.46,1658767560.2862766
0,7,0,4,5,False,254,2,34,546,5.46,1658767562.0434856
1,7,0,4,0,True,254,2,42,554,5.54,1658767562.0434856
0,8,0,4,5,False,0,10,38,2598,25.98,1658767562.43457
1,8,0,4,0,True,0,10,43,2603,26.03,1658767562.43457
0,9,0,4,5,False,94,13,231,3559,35.59,1658767563.5897994
1,9,0,4,0,True,93,13,239,3567,35.67,1658767563.5897994
0,10,0,4,5,False,103,7,248,2040,20.4,1658767564.1704965
1,10,0,4,0,True,103,8,3,2051,20.51,1658767564.1704965
0,11,0,4,5,False,152,1,19,275,2.75,1658767566.3968453
1,11,0,4,0,True,151,1,29,285,2.85,1658767566.398271
0,12,0,4,5,False,64,9,144,2448,24.48,1658767570.6047404
1,12,0,4,0,True,63,9,152,2456,24.56,1658767570.604964
0,13,0,4,5,False,140,9,182,2486,24.86,1658767572.413847
1,13,0,4,0,True,139,9,188,2492,24.92,1658767572.4148448
0,14,0,4,5,False,174,8,186,2234,22.34,1658767572.5861976
1,14,0,4,0,True,173,8,195,2243,22.43,1658767572.5867128
0,15,0,4,5,False,237,8,75,2123,21.23,1658767576.095873
1,15,0,4,0,True,237,8,80,2128,21.28,1658767576.0968735
0,16,0,4,5,False,188,11,227,3043,30.43,1658767578.4305906
1,16,0,4,0,True,188,11,232,3048,30.48,1658767578.4305906
0,17,0,4,5,False,13,12,251,3323,33.23,1658767578.59014
1,17,0,4,0,True,13,13,3,3331,33.31,1658767578.5904336
0,18,0,4,5,False,60,9,140,2444,24.44,1658767578.9601805
1,18,0,4,0,True,60,9,149,2453,24.53,1658767578.9604115
0,19,0,4,5,False,32,1,112,368,3.68,1658767579.430112
1,19,0,4,0,True,32,1,118,374,3.74,1658767579.4304097
0,20,0,4,5,False,68,9,108,2412,24.12,1658767579.6015723
1,20,0,4,0,True,68,9,116,2420,24.2,1658767579.6025681
0,21,0,4,5,False,174,6,58,1594,15.94,1658767579.7644317
1,21,0,4,0,True,174,6,60,1596,15.96,1658767579.7644317
0,22,0,4,5,False,115,8,174,2222,22.22,1658767582.4855797
1,22,0,4,0,True,114,8,183,2231,22.31,1658767582.486548
0,23,0,4,5,False,70,5,20,1300,13.0,1658767583.2147586
1,23,0,4,0,True,70,5,26,1306,13.06,1658767583.215815
0,24,0,4,5,False,13,9,178,2482,24.82,1658767584.484849
1,24,0,4,0,True,13,9,181,2485,24.85,1658767584.4862566
0,25,0,4,5,False,116,0,54,54,0.54,1658767584.7305129
1,25,0,4,0,True,116,0,61,61,0.61,1658767584.7305129
0,26,0,4,5,False,91,7,107,1899,18.99,1658767585.1220713
1,26,0,4,0,True,91,7,113,1905,19.05,1658767585.1220713
0,27,0,4,5,False,250,9,178,2482,24.82,1658767586.01366
1,27,0,4,0,True,250,9,186,2490,24.9,1658767586.0146573
0,28,0,4,5,False,39,9,201,2505,25.05,1658767590.0843415
1,28,0,4,0,True,38,9,206,2510,25.1,1658767590.085342
0,29,0,4,5,False,131,11,242,3058,30.58,1658767591.3303628
1,29,0,4,0,True,131,11,246,3062,30.62,1658767591.3304374
0,30,0,4,5,False,70,12,67,3139,31.39,1658767591.5378742
1,30,0,4,0,True,70,12,72,3144,31.44,1658767591.5383468
0,31,0,4,5,False,149,11,96,2912,29.12,1658767593.9328842
1,31,0,4,0,True,149,11,105,2921,29.21,1658767593.93317
0,32,0,4,5,False,121,6,34,1570,15.7,1658767595.0734189
1,32,0,4,0,True,121,6,39,1575,15.75,1658767595.0736332
0,33,0,4,5,False,57,8,16,2064,20.64,1658767595.7117276
1,33,0,4,0,True,57,8,25,2073,20.73,1658767595.7119677
0,34,0,4,5,False,150,14,39,3623,36.23,1658767596.4334533
1,34,0,4,0,True,150,14,44,3628,36.28,1658767596.434301
0,35,0,4,5,False,229,11,164,2980,29.8,1658767597.7118697
1,35,0,4,0,True,229,11,168,2984,29.84,1658767597.7118697
0,36,0,4,5,False,200,9,234,2538,25.38,1658767598.254971
1,36,0,4,0,True,199,9,244,2548,25.48,1658767598.254971
0,37,0,4,5,False,172,12,222,3294,32.94,1658767600.8616147
1,37,0,4,0,True,172,12,231,3303,33.03,1658767600.862613
0,38,0,4,5,False,162,10,205,2765,27.65,1658767601.0309591
