dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,151,1,18,274,2.74,1661972512.2109096
1,0,0,4,0,True,151,1,51,307,3.07,1661972512.2109096
0,1,0,4,0,False,10,6,36,1572,15.72,1661972515.7967577
1,1,0,4,0,True,10,6,65,1601,16.01,1661972515.7978308
0,2,0,4,0,False,246,3,164,932,9.32,1661972516.0879848
1,2,0,4,0,True,245,3,191,959,9.59,1661972516.0879848
0,3,0,4,0,False,178,4,52,1076,10.76,1661972516.1800516
1,3,0,4,0,True,178,4,79,1103,11.03,1661972516.1800516
0,4,0,4,0,False,199,5,194,1474,14.74,1661972521.2046287
1,4,0,4,0,True,199,5,222,1502,15.02,1661972521.2048392
0,5,0,4,0,False,244,2,130,642,6.42,1661972524.5579848
1,5,0,4,0,True,244,2,158,670,6.7,1661972524.5582135
0,6,0,4,0,False,200,11,223,3039,30.39,1661972525.989878
1,6,0,4,0,True,200,11,250,3066,30.66,1661972525.989878
0,7,0,4,0,False,239,4,104,1128,11.28,1661972531.6640563
1,7,0,4,0,True,239,4,133,1157,11.57,1661972531.6640563
0,8,0,4,0,False,233,4,89,1113,11.13,1661972531.741768
1,8,0,4,0,True,232,4,116,1140,11.4,1661972531.741768
0,9,0,4,0,False,213,3,158,926,9.26,1661972534.526986
1,9,0,4,0,True,213,3,184,952,9.52,1661972534.526986
0,10,0,4,0,False,213,4,28,1052,10.52,1661972548.2747598
1,10,0,4,0,True,212,4,55,1079,10.79,1661972548.2747598
0,11,0,4,0,False,194,5,41,1321,13.21,1661972548.4982994
1,11,0,4,0,True,194,5,69,1349,13.49,1661972548.4993
0,12,0,4,0,False,123,0,74,74,0.74,1661972549.4599278
1,12,0,4,0,True,123,0,106,106,1.06,1661972549.4599278
0,13,0,4,0,False,201,4,207,1231,12.31,1661972554.1402123
1,13,0,4,0,True,200,4,234,1258,12.58,1661972554.1404178
0,14,0,4,0,False,228,4,235,1259,12.59,1661972563.9840891
1,14,0,4,0,True,228,5,7,1287,12.87,1661972563.9840891
0,15,0,4,0,False,24,4,104,1128,11.28,1661972564.413194
1,15,0,4,0,True,24,4,132,1156,11.56,1661972564.413194
0,16,0,4,0,False,243,4,79,1103,11.03,1661972577.3311367
1,16,0,4,0,True,242,4,107,1131,11.31,1661972577.3311367
0,17,0,4,0,False,200,5,180,1460,14.6,1661972577.6709979
1,17,0,4,0,True,200,5,206,1486,14.86,1661972577.6711838
0,18,0,4,0,False,116,4,225,1249,12.49,1661972580.996159
1,18,0,4,0,True,116,4,251,1275,12.75,1661972580.996159
0,19,0,4,0,False,68,4,6,1030,10.3,1661972583.8398325
1,19,0,4,0,True,67,4,34,1058,10.58,1661972583.8398325
0,20,0,4,0,False,109,3,180,948,9.48,1661972590.456972
1,20,0,4,0,True,108,3,208,976,9.76,1661972590.457971
0,21,0,4,0,False,222,1,54,310,3.1,1661972593.239402
1,21,0,4,0,True,221,1,81,337,3.37,1661972593.2399256
0,22,0,4,0,False,21,3,107,875,8.75,1661972594.465983
1,22,0,4,0,True,21,3,134,902,9.02,1661972594.465983
0,23,0,4,0,False,183,4,183,1207,12.07,1661972594.5442653
1,23,0,4,0,True,183,4,211,1235,12.35,1661972594.5444975
0,24,0,4,0,False,255,0,231,231,2.31,1661972607.1982796
1,24,0,4,0,True,255,1,1,257,2.57,1661972607.1982796
