dec_order,readout,Chip ID,payload,location,isCol,timestamp,tot_msb,tot_lsb,tot_total,tot_us,hittime
0,0,0,4,0,False,14,9,222,2526,12.63,1666205881.9677153
1,0,0,4,5,True,14,9,249,2553,12.765,1666205881.9677153
0,1,0,4,0,False,96,4,247,1271,6.355,1666205882.0464537
1,1,0,4,5,True,96,5,18,1298,6.49,1666205882.0466871
0,2,0,4,0,False,241,4,209,1233,6.165,1666205888.0148077
1,2,0,4,5,True,240,4,235,1259,6.295,1666205888.0153553
0,3,0,4,0,False,142,9,190,2494,12.47,1666205888.874256
1,3,0,4,5,True,141,9,219,2523,12.615,1666205888.875213
0,4,0,4,0,False,224,7,213,2005,10.025,1666205893.0784006
1,4,0,4,5,True,224,7,240,2032,10.16,1666205893.078735
0,5,0,4,0,False,151,4,92,1116,5.58,1666205895.845183
1,5,0,4,5,True,151,4,119,1143,5.715,1666205895.8457506
0,6,0,4,0,False,199,1,219,475,2.375,1666205900.9508038
1,6,0,4,5,True,199,1,249,505,2.525,1666205900.9510245
0,7,0,4,0,False,133,2,253,765,3.825,1666205901.411596
1,7,0,4,5,True,132,3,24,792,3.96,1666205901.411596
0,8,0,4,0,False,192,7,78,1870,9.35,1666205902.3515081
1,8,0,4,5,True,192,7,105,1897,9.485,1666205902.3516672
0,9,0,4,0,False,20,5,231,1511,7.555,1666205927.8487837
1,9,0,4,5,True,20,6,4,1540,7.7,1666205927.848863
0,10,0,4,0,False,40,6,32,1568,7.84,1666205927.9077637
1,10,0,4,5,True,40,6,61,1597,7.985,1666205927.9079716
0,11,0,4,0,False,78,5,197,1477,7.385,1666205929.2240663
1,11,0,4,5,True,78,5,225,1505,7.525,1666205929.2240663
0,12,0,4,0,False,251,5,211,1491,7.455,1666205942.1958487
1,12,0,4,5,True,251,5,237,1517,7.585,1666205942.1968596
0,13,0,4,0,False,233,3,215,983,4.915,1666205943.063475
1,13,0,4,5,True,233,3,243,1011,5.055,1666205943.0635762
0,14,0,4,0,False,120,5,47,1327,6.635,1666205970.77063
1,14,0,4,5,True,120,5,76,1356,6.78,1666205970.77063
0,15,0,4,0,False,192,1,141,397,1.985,1666205984.2699273
1,15,0,4,5,True,191,1,179,435,2.175,1666205984.2699273
0,16,0,4,0,False,23,5,202,1482,7.41,1666205984.708713
1,16,0,4,5,True,22,5,230,1510,7.55,1666205984.708713
0,17,0,4,0,False,222,7,26,1818,9.09,1666205985.520492
1,17,0,4,5,True,222,7,55,1847,9.235,1666205985.520492
0,18,0,4,0,False,131,5,222,1502,7.51,1666206004.106545
1,18,0,4,5,True,130,5,250,1530,7.65,1666206004.107549
0,19,0,4,0,False,177,5,124,1404,7.02,1666206012.18249
1,19,0,4,5,True,177,5,154,1434,7.17,1666206012.18249
0,20,0,4,0,False,169,5,123,1403,7.015,1666206012.353438
1,20,0,4,5,True,168,5,151,1431,7.155,1666206012.353438
0,21,0,4,0,False,180,11,17,2833,14.165,1666206015.9093788
1,21,0,4,5,True,180,11,44,2860,14.3,1666206015.9093788
0,22,0,4,0,False,142,5,67,1347,6.735,1666206016.480819
1,22,0,4,5,True,142,5,95,1375,6.875,1666206016.480819
0,23,0,4,0,False,35,5,153,1433,7.165,1666206020.6953983
1,23,0,4,5,True,35,5,180,1460,7.3,1666206020.6953983
0,24,0,4,0,False,18,4,230,1254,6.27,1666206025.0282857
1,24,0,4,5,True,17,5,3,1283,6.415,1666206025.0293021
0,25,0,4,0,False,51,1,138,394,1.97,1666206025.070278
1,25,0,4,5,True,51,1,167,423,2.115,1666206025.070278
0,26,0,4,0,False,46,6,123,1659,8.295,1666206026.4739542
1,26,0,4,5,True,45,6,152,1688,8.44,1666206026.4739542
0,27,0,4,0,False,68,4,140,1164,5.82,1666206036.398456
1,27,0,4,5,True,67,4,172,1196,5.98,1666206036.398646
0,28,0,4,0,False,149,5,248,1528,7.64,1666206043.425764
1,28,0,4,5,True,149,6,22,1558,7.79,1666206043.4260275
0,29,0,4,0,False,5,7,171,1963,9.815,1666206043.9101388
1,29,0,4,5,True,5,7,197,1989,9.945,1666206043.9101388
0,30,0,4,0,False,255,15,222,4062,20.31,1666206044.1946347
1,30,0,4,5,True,255,15,248,4088,20.44,1666206044.1955323
0,31,0,4,0,False,42,3,182,950,4.75,1666206047.7103865
1,31,0,4,5,True,41,3,210,978,4.89,1666206047.7103865
0,32,0,4,0,False,84,9,137,2441,12.205,1666206051.7316282
1,32,0,4,5,True,84,9,164,2468,12.34,1666206051.7316282
0,33,0,4,0,False,76,5,47,1327,6.635,1666206051.776437
1,33,0,4,5,True,76,5,75,1355,6.775,1666206051.776437
0,34,0,4,0,False,108,5,255,1535,7.675,1666206053.566124
1,34,0,4,5,True,107,6,27,1563,7.815,1666206053.5663333
0,35,0,4,0,False,74,5,79,1359,6.795,1666206054.495434
1,35,0,4,5,True,74,5,105,1385,6.925,1666206054.4956803
0,36,0,4,0,False,193,4,150,1174,5.87,1666206055.5218062
1,36,0,4,5,True,193,4,177,1201,6.005,1666206055.5218062
0,37,0,4,0,False,201,4,239,1263,6.315,1666206059.313419
1,37,0,4,5,True,201,5,13,1293,6.465,1666206059.3144078
0,38,0,4,0,False,108,5,149,1429,7.145,1666206067.0958693
1,38,0,4,5,True,107,5,177,1457,7.285,1666206067.0958693
0,39,0,4,0,False,246,11,99,2915,14.575,1666206073.8481958
1,39,0,4,5,True,246,11,154,2970,14.85,1666206073.848448
0,40,0,4,0,False,61,5,81,1361,6.805,1666206081.3251662
1,40,0,4,5,True,61,5,108,1388,6.94,1666206081.3253717
0,41,0,4,0,False,145,5,203,1483,7.415,1666206087.6529076
1,41,0,4,5,True,145,5,234,1514,7.57,1666206087.653905
0,42,0,4,0,False,200,3,232,1000,5.0,1666206088.33065
1,42,0,4,5,True,199,4,5,1029,5.145,1666206088.3308907
0,43,0,4,0,False,69,5,138,1418,7.09,1666206101.5790358
1,43,0,4,5,True,68,5,167,1447,7.235,1666206101.5793371
0,44,0,4,0,False,129,3,74,842,4.21,1666206105.9661062
1,44,0,4,5,True,129,3,104,872,4.36,1666206105.9661062
0,45,0,4,0,False,214,5,185,1465,7.325,1666206106.6306903
1,45,0,4,5,True,214,5,215,1495,7.475,1666206106.6306903
0,46,0,4,0,False,181,4,249,1273,6.365,1666206106.9812312
1,46,0,4,5,True,181,5,20,1300,6.5,1666206106.982232
0,47,0,4,0,False,112,5,181,1461,7.305,1666206110.331727
1,47,0,4,5,True,112,5,208,1488,7.44,1666206110.331727
0,48,0,4,0,False,219,4,56,1080,5.4,1666206114.2200997
1,48,0,4,5,True,219,4,85,1109,5.545,1666206114.2203083
0,49,0,4,0,False,181,4,235,1259,6.295,1666206115.0889375
1,49,0,4,5,True,180,5,9,1289,6.445,1666206115.0889375
0,50,0,4,0,False,225,5,215,1495,7.475,1666206119.3247435
1,50,0,4,5,True,225,5,242,1522,7.61,1666206119.3247435
0,51,0,4,0,False,77,5,34,1314,6.57,1666206131.6155715
1,51,0,4,5,True,77,5,62,1342,6.71,1666206131.6158402
0,52,0,4,0,False,250,5,214,1494,7.47,1666206132.2653694
1,52,0,4,5,True,250,5,243,1523,7.615,1666206132.265599
0,53,0,4,0,False,154,6,173,1709,8.545,1666206133.8142579
1,53,0,4,5,True,154,6,200,1736,8.68,1666206133.8143978
0,54,0,4,0,False,130,0,33,33,0.165,1666206133.9197705
1,54,0,4,5,True,129,0,64,64,0.32,1666206133.9207678
0,55,0,4,0,False,178,5,215,1495,7.475,1666206136.045397
1,55,0,4,5,True,177,5,244,1524,7.62,1666206136.045645
0,56,0,4,0,False,244,4,197,1221,6.105,1666206137.4880023
1,56,0,4,5,True,244,4,225,1249,6.245,1666206137.4880023
0,57,0,4,0,False,77,6,8,1544,7.72,1666206140.3093197
1,57,0,4,5,True,77,6,36,1572,7.86,1666206140.309557
0,58,0,4,0,False,251,5,193,1473,7.365,1666206142.9910467
1,58,0,4,5,True,251,5,220,1500,7.5,1666206142.9912803
0,59,0,4,0,False,190,10,5,2565,12.825,1666206153.5851512
1,59,0,4,5,True,189,10,34,2594,12.97,1666206153.5854156
0,60,0,4,0,False,234,6,100,1636,8.18,1666206158.088613
1,60,0,4,5,True,234,6,130,1666,8.33,1666206158.0896158
0,61,0,4,0,False,0,4,17,1041,5.205,1666206167.001159
1,61,0,4,5,True,255,4,46,1070,5.35,1666206167.001159
0,62,0,4,0,False,185,3,87,855,4.275,1666206171.9785218
1,62,0,4,5,True,184,3,115,883,4.415,1666206171.9793932
0,63,0,4,0,False,2,1,243,499,2.495,1666206172.3367145
1,63,0,4,5,True,2,2,15,527,2.635,1666206172.3378925
0,64,0,4,0,False,96,1,151,407,2.035,1666206173.304088
1,64,0,4,5,True,96,1,183,439,2.195,1666206173.304317
0,65,0,4,0,False,231,5,234,1514,7.57,1666206182.0138645
1,65,0,4,5,True,230,6,6,1542,7.71,1666206182.0140746
0,66,0,4,0,False,129,5,28,1308,6.54,1666206187.0014343
1,66,0,4,5,True,129,5,55,1335,6.675,1666206187.0016205
0,67,0,4,0,False,122,3,20,788,3.94,1666206191.8179204
1,67,0,4,5,True,122,3,47,815,4.075,1666206191.8181603
0,68,0,4,0,False,163,4,118,1142,5.71,1666206209.307521
1,68,0,4,5,True,163,4,146,1170,5.85,1666206209.307521
0,69,0,4,0,False,251,5,22,1302,6.51,1666206215.3077831
1,69,0,4,5,True,251,5,50,1330,6.65,1666206215.3087862
0,70,0,4,0,False,28,5,224,1504,7.52,1666206217.5833914
1,70,0,4,5,True,27,5,251,1531,7.655,1666206217.5836942
0,71,0,4,0,False,138,6,77,1613,8.065,1666206220.8854578
1,71,0,4,5,True,138,6,104,1640,8.2,1666206220.8854578
0,72,0,4,0,False,142,5,88,1368,6.84,1666206223.2988539
1,72,0,4,5,True,142,5,118,1398,6.99,1666206223.2990828
0,73,0,4,0,False,67,4,197,1221,6.105,1666206234.4736202
1,73,0,4,5,True,66,4,224,1248,6.24,1666206234.4746542
0,74,0,4,0,False,217,4,100,1124,5.62,1666206236.3249676
1,74,0,4,5,True,217,4,127,1151,5.755,1666206236.325198
0,75,0,4,0,False,238,4,198,1222,6.11,1666206240.8359752
1,75,0,4,5,True,238,4,224,1248,6.24,1666206240.8359752
0,76,0,4,0,False,109,5,168,1448,7.24,1666206244.524647
1,76,0,4,5,True,109,5,194,1474,7.37,1666206244.5248764
0,77,0,4,0,False,65,5,240,1520,7.6,1666206246.6692133
1,77,0,4,5,True,65,6,12,1548,7.74,1666206246.6692133
0,78,0,4,0,False,19,3,166,934,4.67,1666206248.4335368
1,78,0,4,5,True,19,3,195,963,4.815,1666206248.4335368
0,79,0,4,0,False,13,5,128,1408,7.04,1666206248.9774706
1,79,0,4,5,True,12,5,157,1437,7.185,1666206248.977764
0,80,0,4,0,False,144,6,152,1688,8.44,1666206252.7176895
1,80,0,4,5,True,143,6,179,1715,8.575,1666206252.717861
0,81,0,4,0,False,224,8,190,2238,11.19,1666206262.9908702
1,81,0,4,5,True,224,8,220,2268,11.34,1666206262.9908702
0,82,0,4,0,False,147,5,117,1397,6.985,1666206265.270838
1,82,0,4,5,True,146,5,145,1425,7.125,1666206265.2712343
0,83,0,4,0,False,172,5,56,1336,6.68,1666206265.8599403
1,83,0,4,5,True,172,5,84,1364,6.82,1666206265.8601801
0,84,0,4,0,False,254,5,62,1342,6.71,1666206266.7458074
1,84,0,4,5,True,254,5,91,1371,6.855,1666206266.7460403
0,85,0,4,0,False,108,5,129,1409,7.045,1666206269.3660884
1,85,0,4,5,True,107,5,157,1437,7.185,1666206269.366351
0,86,0,4,0,False,148,8,117,2165,10.825,1666206269.8773654
1,86,0,4,5,True,147,8,145,2193,10.965,1666206269.877545
0,87,0,4,0,False,73,4,147,1171,5.855,1666206271.3567727
1,87,0,4,5,True,73,4,174,1198,5.99,1666206271.357263
0,88,0,4,0,False,17,5,247,1527,7.635,1666206277.1725428
1,88,0,4,5,True,17,6,19,1555,7.775,1666206277.1725428
0,89,0,4,0,False,217,5,18,1298,6.49,1666206278.4434385
1,89,0,4,5,True,216,5,46,1326,6.63,1666206278.443679
0,90,0,4,0,False,133,4,142,1166,5.83,1666206283.37594
1,90,0,4,5,True,132,4,170,1194,5.97,1666206283.376496
0,91,0,4,0,False,229,4,251,1275,6.375,1666206283.897052
1,91,0,4,5,True,229,5,22,1302,6.51,1666206283.897282
0,92,0,4,0,False,174,5,154,1434,7.17,1666206291.5320003
1,92,0,4,5,True,174,5,183,1463,7.315,1666206291.5320003
0,93,0,4,0,False,228,5,53,1333,6.665,1666206297.3950086
1,93,0,4,5,True,228,5,80,1360,6.8,1666206297.3952663
0,94,0,4,0,False,30,5,49,1329,6.645,1666206304.35569
1,94,0,4,5,True,30,5,78,1358,6.79,1666206304.35569
0,95,0,4,0,False,66,3,30,798,3.99,1666206305.5952966
1,95,0,4,5,True,66,3,57,825,4.125,1666206305.5955932
0,96,0,4,0,False,88,7,94,1886,9.43,1666206307.5343776
1,96,0,4,5,True,87,7,122,1914,9.57,1666206307.5350516
0,97,0,4,0,False,170,5,126,1406,7.03,1666206311.2390022
1,97,0,4,5,True,169,5,155,1435,7.175,1666206311.2392964
0,98,0,4,0,False,15,0,87,87,0.435,1666206313.579474
1,98,0,4,5,True,14,0,113,113,0.565,1666206313.5800078
0,99,0,4,0,False,82,6,34,1570,7.85,1666206318.2546396
1,99,0,4,5,True,82,6,61,1597,7.985,1666206318.2546396
0,100,0,4,0,False,207,7,229,2021,10.105,1666206321.198169
1,100,0,4,5,True,206,8,2,2050,10.25,1666206321.198169
0,101,0,4,0,False,26,1,109,365,1.825,1666206343.032722
1,101,0,4,5,True,25,1,138,394,1.97,1666206343.0329583
0,102,0,4,0,False,242,4,201,1225,6.125,1666206352.300452
1,102,0,4,5,True,242,4,228,1252,6.26,1666206352.300452
0,103,0,4,0,False,28,5,122,1402,7.01,1666206352.6697395
1,103,0,4,5,True,27,5,151,1431,7.155,1666206352.6698601
0,104,0,4,0,False,184,5,22,1302,6.51,1666206356.846866
1,104,0,4,5,True,184,5,49,1329,6.645,1666206356.846866
0,105,0,4,0,False,238,5,41,1321,6.605,1666206364.148687
1,105,0,4,5,True,237,5,69,1349,6.745,1666206364.148687
0,106,0,4,0,False,178,5,106,1386,6.93,1666206365.0560253
1,106,0,4,5,True,177,5,133,1413,7.065,1666206365.0573168
0,107,0,4,0,False,121,4,11,1035,5.175,1666206369.1901703
1,107,0,4,5,True,120,4,40,1064,5.32,1666206369.1901703
0,108,0,4,0,False,86,5,133,1413,7.065,1666206373.207636
1,108,0,4,5,True,86,5,162,1442,7.21,1666206373.2086298
0,109,0,4,0,False,38,5,158,1438,7.19,1666206375.5556364
1,109,0,4,5,True,38,5,186,1466,7.33,1666206375.5566237
0,110,0,4,0,False,54,3,26,794,3.97,1666206376.1866884
1,110,0,4,5,True,54,3,55,823,4.115,1666206376.1868608
0,111,0,4,0,False,112,5,156,1436,7.18,1666206379.5304658
1,111,0,4,5,True,112,5,185,1465,7.325,1666206379.5309978
0,112,0,4,0,False,39,5,103,1383,6.915,1666206387.4439058
1,112,0,4,5,True,39,5,130,1410,7.05,1666206387.4443104
0,113,0,4,0,False,105,3,121,889,4.445,1666206392.0837452
1,113,0,4,5,True,105,3,147,915,4.575,1666206392.0837452
0,114,0,4,0,False,47,5,2,1282,6.41,1666206393.1890159
1,114,0,4,5,True,47,5,30,1310,6.55,1666206393.1900208
0,115,0,4,0,False,240,6,178,1714,8.57,1666206396.3294256
1,115,0,4,5,True,240,6,206,1742,8.71,1666206396.330451
0,116,0,4,0,False,179,3,17,785,3.925,1666206397.7262757
1,116,0,4,5,True,178,3,43,811,4.055,1666206397.7262757
0,117,0,4,0,False,79,0,11,11,0.055,1666206408.2653286
1,117,0,4,5,True,78,0,40,40,0.2,1666206408.2653286
0,118,0,4,0,False,87,11,80,2896,14.48,1666206410.4689705
1,118,0,4,5,True,87,11,107,2923,14.615,1666206410.4689705
0,119,0,4,0,False,47,6,27,1563,7.815,1666206418.1140406
1,119,0,4,5,True,47,6,55,1591,7.955,1666206418.1140406
0,120,0,4,0,False,141,2,124,636,3.18,1666206421.6612782
1,120,0,4,5,True,141,2,149,661,3.305,1666206421.6613958
0,121,0,4,0,False,106,6,140,1676,8.38,1666206424.265114
1,121,0,4,5,True,105,6,169,1705,8.525,1666206424.265114
0,122,0,4,0,False,179,3,45,813,4.065,1666206430.6496642
1,122,0,4,5,True,179,3,73,841,4.205,1666206430.6496642
0,123,0,4,0,False,237,1,183,439,2.195,1666206430.847317
1,123,0,4,5,True,237,1,209,465,2.325,1666206430.847317
0,124,0,4,0,False,114,0,245,245,1.225,1666206431.8231542
1,124,0,4,5,True,113,1,12,268,1.34,1666206431.8231542
0,125,0,4,0,False,165,4,175,1199,5.995,1666206434.1223218
1,125,0,4,5,True,165,4,199,1223,6.115,1666206434.1223218
