NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,75, 5,96 , 1376 , 13.76,1657721638.775143 
0,0, 4, 0,Col,74, 5,105 , 1385 , 13.85,1657721638.775143 

1,0, 4, 0,Row,73, 10,208 , 2768 , 27.68,1657721642.7544963 
1,0, 4, 0,Col,72, 10,216 , 2776 , 27.76,1657721642.7544963 

2,0, 4, 0,Row,13, 11,23 , 2839 , 28.39,1657721643.483451 
2,0, 4, 0,Col,13, 11,31 , 2847 , 28.47,1657721643.483451 

3,0, 4, 0,Row,163, 1,193 , 449 , 4.49,1657721644.21386 
3,0, 4, 0,Col,162, 1,200 , 456 , 4.56,1657721644.21386 

4,0, 4, 0,Row,153, 7,56 , 1848 , 18.48,1657721644.9464264 
4,0, 4, 0,Col,153, 7,65 , 1857 , 18.57,1657721644.9464264 

5,0, 4, 0,Row,243, 3,88 , 856 , 8.56,1657721649.119781 
5,0, 4, 0,Col,243, 3,95 , 863 , 8.63,1657721649.119781 

6,0, 4, 0,Row,223, 2,103 , 615 , 6.15,1657721652.856516 
6,0, 4, 0,Col,223, 2,112 , 624 , 6.24,1657721652.856516 

7,0, 4, 0,Row,237, 9,230 , 2534 , 25.34,1657721655.6104736 
7,0, 4, 0,Col,237, 9,239 , 2543 , 25.43,1657721655.6104736 

8,0, 4, 0,Row,227, 12,68 , 3140 , 31.4,1657721664.694174 
8,0, 4, 0,Col,227, 12,74 , 3146 , 31.46,1657721664.694174 

9,0, 4, 0,Row,175, 4,154 , 1178 , 11.78,1657721666.7349124 
9,0, 4, 0,Col,175, 4,162 , 1186 , 11.86,1657721666.7349124 

10,0, 4, 0,Row,56, 6,240 , 1776 , 17.76,1657721667.8888516 
10,0, 4, 0,Col,56, 6,248 , 1784 , 17.84,1657721667.8888516 

11,0, 4, 0,Row,253, 15,211 , 4051 , 40.51,1657721672.59685 
11,0, 4, 0,Col,253, 15,219 , 4059 , 40.59,1657721672.59685 

12,0, 4, 0,Row,36, 7,26 , 1818 , 18.18,1657721673.6846702 
12,0, 4, 0,Col,36, 7,33 , 1825 , 18.25,1657721673.6846702 

13,0, 4, 0,Row,97, 2,218 , 730 , 7.3,1657721675.2300415 
13,0, 4, 0,Col,97, 2,227 , 739 , 7.39,1657721675.2300415 

14,0, 4, 0,Row,251, 2,120 , 632 , 6.32,1657721676.3085184 
14,0, 4, 0,Col,251, 2,126 , 638 , 6.38,1657721676.3085184 

15,0, 4, 0,Row,58, 15,200 , 4040 , 40.4,1657721682.7448301 
15,0, 4, 0,Col,58, 15,207 , 4047 , 40.47,1657721682.7448301 

