NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,103, 9,36 , 2340 , 23.4,1657744191.0900223 
0,0, 4, 0,Col,103, 11,38 , 2854 , 28.54,1657744191.0900223 
0,0, 4, 0,Row,163, 13,170 , 3498 , 34.98,1657744191.0900223 
0,0, 4, 0,Col,162, 13,178 , 3506 , 35.06,1657744191.0900223 

1,0, 4, 0,Row,219, 6,221 , 1757 , 17.57,1657744191.903472 
1,0, 4, 0,Col,219, 6,230 , 1766 , 17.66,1657744191.903472 

2,0, 4, 0,Row,220, 7,229 , 2021 , 20.21,1657744194.0405576 
2,0, 4, 0,Col,219, 7,238 , 2030 , 20.3,1657744194.0405576 

3,0, 4, 0,Row,59, 9,135 , 2439 , 24.39,1657744202.7902734 
3,0, 4, 0,Col,59, 9,144 , 2448 , 24.48,1657744202.7902734 

4,0, 4, 0,Row,155, 3,158 , 926 , 9.26,1657744210.117322 
4,0, 4, 0,Col,155, 3,168 , 936 , 9.36,1657744210.117322 

5,0, 4, 0,Row,18, 4,156 , 1180 , 11.8,1657744210.8913665 
5,0, 4, 0,Col,17, 4,171 , 1195 , 11.95,1657744210.8913665 

6,0, 4, 0,Row,241, 6,147 , 1683 , 16.83,1657744218.6468124 
6,0, 4, 0,Col,241, 6,161 , 1697 , 16.97,1657744218.6468124 

7,0, 4, 0,Row,160, 6,107 , 1643 , 16.43,1657744221.040398 
7,0, 4, 0,Col,160, 6,115 , 1651 , 16.51,1657744221.040398 

8,0, 4, 0,Row,109, 5,144 , 1424 , 14.24,1657744222.4585726 
8,0, 4, 0,Col,109, 5,153 , 1433 , 14.33,1657744222.4585726 

9,0, 4, 0,Row,138, 12,44 , 3116 , 31.16,1657744223.3469768 
9,0, 4, 0,Col,138, 12,54 , 3126 , 31.26,1657744223.3469768 

10,0, 4, 0,Row,48, 12,188 , 3260 , 32.6,1657744224.7215607 
10,0, 4, 0,Col,48, 12,197 , 3269 , 32.69,1657744224.7215607 

11,0, 4, 0,Row,148, 4,110 , 1134 , 11.34,1657744228.8682482 
11,0, 4, 0,Col,148, 4,119 , 1143 , 11.43,1657744228.8682482 

12,0, 4, 0,Row,193, 2,183 , 695 , 6.95,1657744239.386114 
12,0, 4, 0,Col,193, 2,192 , 704 , 7.04,1657744239.386114 

13,0, 4, 0,Row,107, 3,246 , 1014 , 10.14,1657744242.658491 
13,0, 4, 0,Col,107, 3,255 , 1023 , 10.23,1657744242.658491 

14,0, 4, 0,Row,208, 3,129 , 897 , 8.97,1657744244.0098176 
14,0, 4, 0,Col,208, 3,138 , 906 , 9.06,1657744244.0098176 

15,0, 4, 0,Row,15, 15,131 , 3971 , 39.71,1657744245.9100258 
15,0, 4, 0,Col,15, 15,141 , 3981 , 39.81,1657744245.9100258 

16,0, 4, 0,Row,245, 14,149 , 3733 , 37.33,1657744252.314875 
16,0, 4, 0,Col,245, 14,158 , 3742 , 37.42,1657744252.314875 

17,0, 4, 0,Row,60, 4,189 , 1213 , 12.13,1657744257.5768557 
17,0, 4, 0,Col,60, 4,199 , 1223 , 12.23,1657744257.5768557 

18,0, 4, 0,Row,112, 4,113 , 1137 , 11.37,1657744259.4285657 
18,0, 4, 0,Col,112, 4,123 , 1147 , 11.47,1657744259.4285657 

19,0, 4, 0,Row,133, 8,250 , 2298 , 22.98,1657744270.4007971 
19,0, 4, 0,Col,132, 9,4 , 2308 , 23.08,1657744270.4007971 

20,0, 4, 0,Row,135, 3,158 , 926 , 9.26,1657744276.489418 
