NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,127, 15,147 , 3987 , 39.87,1657828014.527086 
0,0, 4, 19,Row,127, 15,45 , 3885 , 38.85,1657828014.527086 
0,0, 4, 34,Row,127, 2,155 , 667 , 6.67,1657828014.527086 
0,0, 4, 0,Col,127, 2,0 , 512 , 5.12,1657828014.527086 
0,0, 4, 17,Col,155, 4,128 , 1152 , 11.52,1657828014.527086 
0,15, 7, 2,Row,0, 4,145 , 1169 , 11.69,1657828014.527086 
0,0, 6, 1,Row,212, 4,19 , 1043 , 10.43,1657828014.527086 
0,20, 6, 12,Row,3, 4,162 , 1186 , 11.86,1657828014.527086 
0,20, 6, 4,Row,156, 13,61 , 3389 , 33.89,1657828014.527086 

1,0, 4, 34,Row,47, 13,208 , 3536 , 35.36,1657828019.5887077 
1,0, 4, 34,Col,47, 13,200 , 3528 , 35.28,1657828019.5887077 

2,0, 4, 19,Row,214, 5,241 , 1521 , 15.21,1657828020.3461897 
2,0, 4, 17,Col,214, 5,239 , 1519 , 15.19,1657828020.3461897 

3,0, 4, 0,Row,219, 8,199 , 2247 , 22.47,1657828022.8327394 
3,0, 4, 0,Col,219, 8,206 , 2254 , 22.54,1657828022.8327394 

4,0, 4, 19,Row,144, 5,57 , 1337 , 13.37,1657828023.5589173 
4,0, 4, 17,Col,144, 5,54 , 1334 , 13.34,1657828023.5589173 

5,0, 4, 19,Row,75, 5,162 , 1442 , 14.42,1657828031.5072668 
5,0, 4, 17,Col,75, 5,156 , 1436 , 14.36,1657828031.5072668 

6,0, 4, 0,Row,216, 4,65 , 1089 , 10.89,1657828032.2371051 
6,0, 4, 19,Row,216, 2,74 , 586 , 5.86,1657828032.2371051 
6,0, 4, 34,Row,36, 6,53 , 1589 , 15.89,1657828032.2371051 
6,0, 4, 0,Col,215, 4,74 , 1098 , 10.98,1657828032.2371051 
6,0, 4, 34,Col,36, 8,114 , 2162 , 21.62,1657828032.2371051 

7,0, 4, 0,Row,152, 7,151 , 1943 , 19.43,1657828041.4582934 
7,0, 4, 0,Col,152, 7,160 , 1952 , 19.52,1657828041.4582934 

8,0, 4, 19,Row,55, 1,26 , 282 , 2.82,1657828045.281783 
8,0, 4, 34,Col,55, 1,14 , 270 , 2.7,1657828045.281783 

9,0, 4, 19,Row,160, 11,168 , 2984 , 29.84,1657828046.0120668 
9,0, 4, 17,Col,160, 11,166 , 2982 , 29.82,1657828046.0120668 

10,0, 4, 34,Row,3, 12,244 , 3316 , 33.16,1657828049.1533673 
10,0, 4, 34,Col,3, 12,239 , 3311 , 33.11,1657828049.1533673 

11,0, 4, 19,Row,62, 12,160 , 3232 , 32.32,1657828058.9423547 
11,0, 4, 17,Col,62, 12,156 , 3228 , 32.28,1657828058.9423547 

12,0, 4, 19,Row,121, 15,74 , 3914 , 39.14,1657828059.6703324 
12,0, 4, 17,Col,121, 15,72 , 3912 , 39.12,1657828059.6703324 

13,0, 4, 19,Row,141, 3,133 , 901 , 9.01,1657828063.1028707 
13,0, 4, 34,Col,141, 3,125 , 893 , 8.93,1657828063.1028707 

14,0, 4, 19,Row,218, 2,37 , 549 , 5.49,1657828072.1672244 
14,0, 4, 34,Col,218, 2,25 , 537 , 5.37,1657828072.1672244 

15,0, 4, 19,Row,184, 9,22 , 2326 , 23.26,1657828073.532884 
15,0, 4, 34,Col,184, 9,16 , 2320 , 23.2,1657828073.532884 

