NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,159, 10,0 , 2560 , 25.6,1657216823.8939934 
0,0, 4, 0,Col,159, 10,192 , 2752 , 27.52,1657216823.8939934 
0,0, 4, 0,Row,206, 13,129 , 3457 , 34.57,1657216823.8939934 
0,0, 4, 0,Col,206, 13,138 , 3466 , 34.66,1657216823.8939934 

1,0, 4, 0,Row,155, 4,103 , 1127 , 11.27,1657216824.6888146 
1,0, 4, 0,Col,155, 4,113 , 1137 , 11.37,1657216824.6888146 

2,0, 4, 0,Row,114, 4,249 , 1273 , 12.73,1657216825.4221709 
2,0, 4, 0,Col,114, 5,2 , 1282 , 12.82,1657216825.4221709 

3,0, 4, 0,Row,160, 2,207 , 719 , 7.19,1657216828.0685456 
3,0, 4, 0,Col,160, 2,216 , 728 , 7.28,1657216828.0685456 

4,0, 4, 0,Row,153, 11,181 , 2997 , 29.97,1657216837.3897302 
4,0, 4, 0,Col,153, 11,187 , 3003 , 30.03,1657216837.3897302 

5,0, 4, 0,Row,216, 4,225 , 1249 , 12.49,1657216842.4933455 
5,0, 4, 0,Col,215, 4,235 , 1259 , 12.59,1657216842.4933455 

6,0, 4, 0,Row,4, 8,65 , 2113 , 21.13,1657216855.6962752 
6,0, 4, 0,Col,4, 8,71 , 2119 , 21.19,1657216855.6962752 

7,0, 4, 0,Row,65, 6,168 , 1704 , 17.04,1657216856.441981 
7,0, 4, 0,Col,65, 6,177 , 1713 , 17.13,1657216856.441981 

8,0, 4, 0,Row,89, 4,114 , 1138 , 11.38,1657216862.7533364 
8,0, 4, 0,Col,89, 4,123 , 1147 , 11.47,1657216862.7533364 

9,0, 4, 0,Row,154, 11,224 , 3040 , 30.4,1657216877.718687 
9,0, 4, 0,Col,153, 11,232 , 3048 , 30.48,1657216877.718687 

10,0, 4, 0,Row,112, 4,240 , 1264 , 12.64,1657216886.0459602 
10,0, 4, 0,Col,112, 4,250 , 1274 , 12.74,1657216886.0459602 

11,0, 4, 0,Row,61, 7,167 , 1959 , 19.59,1657216887.061456 
11,0, 7, 39,Col,4, 0,60 , 60 , 0.6,1657216887.061456 
11,0, 7, 44,Col,61, 13,61 , 3389 , 33.89,1657216887.061456 

12,0, 4, 0,Row,8, 11,16 , 2832 , 28.32,1657216888.8687048 
12,0, 4, 0,Col,8, 11,24 , 2840 , 28.4,1657216888.8687048 

13,0, 4, 0,Row,45, 13,243 , 3571 , 35.71,1657216905.2291322 
13,0, 4, 0,Col,45, 13,252 , 3580 , 35.8,1657216905.2291322 

14,0, 4, 0,Row,204, 5,190 , 1470 , 14.7,1657216911.7309566 
14,0, 4, 0,Col,204, 5,198 , 1478 , 14.78,1657216911.7309566 

15,0, 4, 0,Row,30, 12,202 , 3274 , 32.74,1657216931.5680547 
15,0, 4, 0,Col,29, 12,209 , 3281 , 32.81,1657216931.5680547 

16,0, 4, 0,Row,162, 5,254 , 1534 , 15.34,1657216937.676277 
16,0, 4, 0,Col,162, 6,5 , 1541 , 15.41,1657216937.676277 

17,0, 4, 0,Row,50, 10,225 , 2785 , 27.85,1657216960.4087322 
17,0, 4, 0,Col,50, 10,232 , 2792 , 27.92,1657216960.4087322 

18,0, 4, 0,Row,186, 5,13 , 1293 , 12.93,1657216962.4577518 
18,0, 4, 0,Col,186, 5,21 , 1301 , 13.01,1657216962.4577518 

19,0, 4, 0,Row,77, 1,139 , 395 , 3.95,1657216972.0214865 
19,0, 4, 0,Col,77, 1,147 , 403 , 4.03,1657216972.0214865 

20,0, 4, 0,Row,64, 15,208 , 4048 , 40.48,1657216979.6153703 
20,0, 4, 0,Col,64, 15,216 , 4056 , 40.56,1657216979.6153703 

21,0, 4, 0,Row,169, 0,56 , 56 , 0.56,1657216986.2772083 
21,0, 4, 0,Col,169, 0,66 , 66 , 0.66,1657216986.2772083 

22,0, 4, 0,Row,140, 13,60 , 3388 , 33.88,1657216987.0223114 
22,0, 4, 0,Col,139, 13,69 , 3397 , 33.97,1657216987.0223114 

23,0, 4, 0,Row,130, 8,178 , 2226 , 22.26,1657217008.4047492 
23,0, 4, 0,Col,130, 8,185 , 2233 , 22.33,1657217008.4047492 

24,0, 4, 0,Row,173, 6,154 , 1690 , 16.9,1657217010.974938 
24,0, 4, 0,Col,172, 6,161 , 1697 , 16.97,1657217010.974938 

25,0, 4, 0,Row,255, 5,84 , 1364 , 13.64,1657217013.3931875 
25,0, 4, 0,Col,255, 5,94 , 1374 , 13.74,1657217013.3931875 

26,0, 4, 0,Row,208, 1,156 , 412 , 4.12,1657217014.126284 
26,0, 4, 0,Col,208, 1,165 , 421 , 4.21,1657217014.126284 

27,0, 4, 0,Row,196, 7,212 , 2004 , 20.04,1657217020.1305304 
27,0, 4, 0,Col,196, 7,222 , 2014 , 20.14,1657217020.1305304 

28,0, 4, 0,Row,253, 13,59 , 3387 , 33.87,1657217022.110313 
28,0, 4, 0,Col,252, 13,68 , 3396 , 33.96,1657217022.110313 

29,0, 4, 0,Row,41, 15,115 , 3955 , 39.55,1657217028.726097 
29,0, 4, 0,Col,41, 15,123 , 3963 , 39.63,1657217028.726097 

30,0, 4, 0,Row,248, 15,229 , 4069 , 40.69,1657217036.2423027 
30,0, 4, 0,Col,248, 15,237 , 4077 , 40.77,1657217036.2423027 

31,0, 4, 0,Row,186, 13,149 , 3477 , 34.77,1657217047.6102254 
31,0, 4, 0,Col,186, 13,159 , 3487 , 34.87,1657217047.6102254 

32,0, 4, 0,Row,225, 6,175 , 1711 , 17.11,1657217055.6594758 
32,0, 4, 0,Col,225, 6,182 , 1718 , 17.18,1657217055.6594758 

33,0, 4, 0,Row,76, 11,114 , 2930 , 29.3,1657217088.7358172 
33,0, 4, 0,Col,76, 11,122 , 2938 , 29.38,1657217088.7358172 

34,0, 4, 0,Row,181, 7,184 , 1976 , 19.76,1657217090.4966578 
34,0, 4, 0,Col,180, 7,191 , 1983 , 19.83,1657217090.4966578 

35,0, 4, 0,Row,51, 5,107 , 1387 , 13.87,1657217104.388343 
35,0, 4, 0,Col,51, 5,117 , 1397 , 13.97,1657217104.388343 

36,0, 4, 0,Row,137, 3,58 , 826 , 8.26,1657217116.6828299 
36,0, 4, 0,Col,137, 3,66 , 834 , 8.34,1657217116.6828299 

37,0, 4, 0,Row,116, 3,54 , 822 , 8.22,1657217138.1022785 
37,0, 4, 0,Col,116, 3,61 , 829 , 8.29,1657217138.1022785 

38,0, 4, 0,Row,252, 2,93 , 605 , 6.05,1657217140.861999 
38,0, 4, 0,Col,252, 2,100 , 612 , 6.12,1657217140.861999 

39,0, 4, 0,Row,188, 13,158 , 3486 , 34.86,1657217151.943244 
39,0, 4, 0,Col,188, 13,164 , 3492 , 34.92,1657217151.943244 

40,0, 4, 0,Row,69, 11,116 , 2932 , 29.32,1657217168.8996243 
40,0, 4, 0,Col,69, 11,124 , 2940 , 29.4,1657217168.8996243 

41,0, 4, 0,Row,193, 15,144 , 3984 , 39.84,1657217170.5141852 
41,0, 4, 0,Col,193, 15,152 , 3992 , 39.92,1657217170.5141852 

42,0, 4, 0,Row,153, 7,252 , 2044 , 20.44,1657217171.2596145 
42,0, 4, 0,Col,153, 8,3 , 2051 , 20.51,1657217171.2596145 

43,0, 4, 0,Row,99, 12,96 , 3168 , 31.68,1657217182.8160822 
43,0, 4, 0,Col,99, 12,103 , 3175 , 31.75,1657217182.8160822 

44,0, 4, 0,Row,101, 1,248 , 504 , 5.04,1657217189.8878102 
44,0, 4, 0,Col,101, 2,1 , 513 , 5.13,1657217189.8878102 

45,0, 4, 0,Row,249, 5,169 , 1449 , 14.49,1657217200.9753368 
45,0, 4, 0,Col,249, 5,177 , 1457 , 14.57,1657217200.9753368 

46,0, 4, 0,Row,225, 6,97 , 1633 , 16.33,1657217203.5244765 
46,0, 4, 0,Col,225, 6,106 , 1642 , 16.42,1657217203.5244765 

47,0, 4, 0,Row,29, 14,40 , 3624 , 36.24,1657217219.9346716 
47,0, 4, 0,Col,29, 14,48 , 3632 , 36.32,1657217219.9346716 

48,0, 4, 0,Row,94, 3,234 , 1002 , 10.02,1657217221.6006474 
48,0, 4, 0,Col,94, 3,242 , 1010 , 10.1,1657217221.6006474 

49,0, 4, 0,Row,135, 10,160 , 2720 , 27.2,1657217240.5089443 
49,0, 4, 0,Col,135, 10,169 , 2729 , 27.29,1657217240.5089443 

50,0, 4, 0,Row,46, 6,231 , 1767 , 17.67,1657217248.9688928 
50,0, 4, 0,Col,45, 6,235 , 1771 , 17.71,1657217248.9688928 

51,0, 4, 0,Row,213, 10,12 , 2572 , 25.72,1657217250.1269038 
51,0, 4, 0,Col,213, 10,21 , 2581 , 25.81,1657217250.1269038 

52,0, 4, 0,Row,160, 10,223 , 2783 , 27.83,1657217258.502719 
52,0, 4, 0,Col,160, 10,232 , 2792 , 27.92,1657217258.502719 

53,0, 4, 0,Row,100, 14,180 , 3764 , 37.64,1657217262.8865912 
53,0, 4, 0,Col,100, 14,187 , 3771 , 37.71,1657217262.8865912 

54,0, 4, 0,Row,147, 7,28 , 1820 , 18.2,1657217263.626002 
54,0, 4, 0,Col,147, 7,37 , 1829 , 18.29,1657217263.626002 

55,0, 4, 0,Row,244, 5,101 , 1381 , 13.81,1657217266.1681812 
55,0, 4, 0,Col,244, 5,111 , 1391 , 13.91,1657217266.1681812 

56,0, 4, 0,Row,111, 3,149 , 917 , 9.17,1657217279.5498393 
56,0, 4, 0,Col,111, 3,160 , 928 , 9.28,1657217279.5498393 

57,0, 4, 0,Row,189, 14,92 , 3676 , 36.76,1657217282.239688 
57,0, 4, 0,Col,189, 14,101 , 3685 , 36.85,1657217282.239688 

58,0, 4, 0,Row,233, 7,220 , 2012 , 20.12,1657217289.522505 
58,0, 4, 0,Col,232, 7,229 , 2021 , 20.21,1657217289.522505 

59,0, 4, 0,Row,147, 2,130 , 642 , 6.42,1657217293.7958877 
59,0, 4, 0,Col,147, 2,139 , 651 , 6.51,1657217293.7958877 

60,0, 4, 0,Row,196, 15,97 , 3937 , 39.37,1657217305.1115549 
60,0, 4, 0,Col,196, 15,101 , 3941 , 39.41,1657217305.1115549 

61,0, 4, 0,Row,125, 12,212 , 3284 , 32.84,1657217313.3845108 
61,0, 4, 0,Col,125, 12,221 , 3293 , 32.93,1657217313.3845108 

62,0, 4, 0,Row,223, 15,203 , 4043 , 40.43,1657217315.485356 
62,0, 4, 0,Col,223, 15,214 , 4054 , 40.54,1657217315.485356 

63,0, 4, 0,Row,134, 3,117 , 885 , 8.85,1657217316.2200487 
63,0, 4, 0,Col,134, 3,126 , 894 , 8.94,1657217316.2200487 

64,0, 4, 0,Row,161, 4,27 , 1051 , 10.51,1657217319.9912896 
