NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,142, 15,42 , 3882 , 38.82,1657310675.0903637 
0,0, 4, 0,Col,127, 2,30 , 542 , 5.42,1657310675.0903637 
0,0, 4, 5,Col,141, 14,121 , 3705 , 37.05,1657310675.0903637 
0,7, 5, 61,Row,61, 13,61 , 3389 , 33.89,1657310675.0903637 
0,7, 5, 61,Row,121, 13,61 , 3389 , 33.89,1657310675.0903637 
0,0, 4, 0,Row,3, 7,153 , 1945 , 19.45,1657310675.0903637 
0,0, 4, 0,Col,2, 7,161 , 1953 , 19.53,1657310675.0903637 

1,0, 4, 0,Row,188, 4,237 , 1261 , 12.61,1657310687.7770689 
1,0, 4, 0,Col,187, 4,246 , 1270 , 12.7,1657310687.7770689 

2,0, 4, 0,Row,16, 9,187 , 2491 , 24.91,1657310690.572186 
2,0, 4, 0,Col,16, 9,196 , 2500 , 25.0,1657310690.572186 

3,0, 4, 0,Row,53, 14,65 , 3649 , 36.49,1657310707.0142126 
3,0, 4, 0,Col,53, 14,75 , 3659 , 36.59,1657310707.0142126 

4,0, 4, 0,Row,202, 11,143 , 2959 , 29.59,1657310712.1045504 
4,0, 4, 0,Col,202, 11,152 , 2968 , 29.68,1657310712.1045504 

5,0, 4, 0,Row,239, 8,95 , 2143 , 21.43,1657310729.4429934 
5,0, 4, 0,Col,239, 8,102 , 2150 , 21.5,1657310729.4429934 

6,0, 4, 0,Row,90, 8,132 , 2180 , 21.8,1657310736.2089658 
6,0, 4, 0,Col,90, 8,143 , 2191 , 21.91,1657310736.2089658 

7,0, 4, 0,Row,255, 8,149 , 2197 , 21.97,1657310744.9043 
7,0, 4, 0,Col,255, 8,147 , 2195 , 21.95,1657310744.9043 

8,0, 4, 0,Row,62, 9,225 , 2529 , 25.29,1657310782.8213413 
8,0, 4, 0,Col,62, 9,232 , 2536 , 25.36,1657310782.8213413 

9,0, 4, 0,Row,173, 0,70 , 70 , 0.7,1657310800.1259422 
9,0, 4, 0,Col,173, 0,80 , 80 , 0.8,1657310800.1259422 

10,0, 4, 0,Row,192, 8,152 , 2200 , 22.0,1657310818.8390443 
10,0, 4, 0,Col,192, 8,162 , 2210 , 22.1,1657310818.8390443 

11,0, 4, 0,Row,217, 5,54 , 1334 , 13.34,1657310872.1494255 
11,0, 4, 0,Col,217, 5,64 , 1344 , 13.44,1657310872.1494255 

12,0, 4, 0,Row,23, 11,255 , 3071 , 30.71,1657310892.73106 
12,0, 4, 0,Col,23, 12,8 , 3080 , 30.8,1657310892.73106 

13,0, 4, 0,Row,23, 9,96 , 2400 , 24.0,1657310907.3062422 
13,0, 4, 0,Col,243, 9,107 , 2411 , 24.11,1657310907.3062422 

14,0, 4, 0,Row,180, 8,200 , 2248 , 22.48,1657310994.1765273 
14,0, 4, 0,Col,180, 8,209 , 2257 , 22.57,1657310994.1765273 

15,0, 4, 0,Row,255, 1,25 , 281 , 2.81,1657311029.3713486 
15,0, 4, 0,Col,255, 1,34 , 290 , 2.9,1657311029.3713486 

16,0, 4, 0,Row,97, 3,97 , 865 , 8.65,1657311172.99878 
16,0, 4, 0,Col,97, 3,106 , 874 , 8.74,1657311172.99878 

17,0, 4, 0,Row,184, 13,114 , 3442 , 34.42,1657311181.6888895 
17,0, 4, 0,Col,184, 13,123 , 3451 , 34.51,1657311181.6888895 

18,0, 4, 0,Row,202, 15,123 , 3963 , 39.63,1657311189.7294452 
18,0, 4, 0,Col,202, 15,133 , 3973 , 39.73,1657311189.7294452 

19,0, 4, 0,Row,115, 5,15 , 1295 , 12.95,1657311197.2738698 
19,0, 4, 0,Col,115, 5,25 , 1305 , 13.05,1657311197.2738698 

20,0, 4, 0,Row,126, 10,189 , 2749 , 27.49,1657311249.8642826 
20,0, 4, 0,Col,126, 10,198 , 2758 , 27.58,1657311249.8642826 

21,0, 4, 0,Row,106, 2,144 , 656 , 6.56,1657311262.7478738 
21,0, 4, 0,Col,106, 2,155 , 667 , 6.67,1657311262.7478738 

22,0, 4, 0,Row,41, 15,113 , 3953 , 39.53,1657311289.978347 
22,0, 4, 0,Col,41, 15,121 , 3961 , 39.61,1657311289.978347 

23,0, 4, 0,Row,140, 8,71 , 2119 , 21.19,1657311305.132535 
23,0, 4, 0,Col,139, 8,80 , 2128 , 21.28,1657311305.132535 

24,0, 4, 0,Row,210, 1,170 , 426 , 4.26,1657311315.0361965 
24,0, 4, 0,Col,210, 1,175 , 431 , 4.31,1657311315.0361965 

25,0, 4, 0,Row,140, 14,61 , 3645 , 36.45,1657311321.2361495 
25,0, 4, 0,Col,140, 14,70 , 3654 , 36.54,1657311321.2361495 

26,0, 4, 0,Row,147, 9,64 , 2368 , 23.68,1657311336.4869027 
26,0, 4, 0,Col,146, 9,73 , 2377 , 23.77,1657311336.4869027 

27,0, 4, 0,Row,233, 2,107 , 619 , 6.19,1657311358.686826 
27,0, 4, 0,Col,233, 2,118 , 630 , 6.3,1657311358.686826 

28,0, 4, 0,Row,237, 9,106 , 2410 , 24.1,1657311373.4203737 
28,0, 4, 0,Col,237, 9,114 , 2418 , 24.18,1657311373.4203737 

29,0, 4, 0,Row,36, 7,69 , 1861 , 18.61,1657311375.036321 
29,0, 4, 0,Col,36, 7,79 , 1871 , 18.71,1657311375.036321 

30,0, 4, 0,Row,4, 13,22 , 3350 , 33.5,1657311387.7834506 
30,0, 4, 0,Col,3, 13,32 , 3360 , 33.6,1657311387.7834506 

31,0, 4, 0,Row,171, 5,89 , 1369 , 13.69,1657311405.9623823 
31,0, 4, 0,Col,171, 5,96 , 1376 , 13.76,1657311405.9623823 

32,0, 4, 0,Row,147, 8,8 , 2056 , 20.56,1657311406.7852612 
32,0, 4, 0,Col,147, 8,16 , 2064 , 20.64,1657311406.7852612 

33,0, 4, 0,Row,60, 1,59 , 315 , 3.15,1657311500.6647818 
