NEvent,ChipId,Payload,Locatn,Row/Col,tStamp,MSB,LSB,ToT,ToT(us),RealTime
0,0, 4, 0,Row,78, 5,203 , 1483 , 14.83,1655914140.672131 
0,0, 4, 9,Row,127, 7,143 , 1935 , 19.35,1655914140.672131 
0,0, 4, 0,Col,127, 14,111 , 3695 , 36.95,1655914140.672131 
0,[0;31;40m7[0m, [0;31;40m5[0m, 61,Row,61, 13,61 , 3389 , 33.89,1655914140.672131 
0,[0;31;40m7[0m, [0;31;40m5[0m, 61,Row,111, 13,61 , 3389 , 33.89,1655914140.672131 
0,0, 4, 0,Row,199, 2,222 , 734 , 7.34,1655914140.672131 
0,0, 4, 0,Col,199, 2,225 , 737 , 7.37,1655914140.672131 
0,0, 4, 0,Row,167, 10,199 , 2759 , 27.59,1655914140.672131 
0,0, 4, 0,Col,167, 10,198 , 2758 , 27.58,1655914140.672131 
0,0, 4, 0,Row,169, 7,137 , 1929 , 19.29,1655914140.672131 
0,0, 4, 0,Col,169, 7,139 , 1931 , 19.31,1655914140.672131 

1,0, 4, 0,Row,82, 7,74 , 1866 , 18.66,1655914146.6479466 
1,0, 4, 0,Col,82, 7,72 , 1864 , 18.64,1655914146.6479466 
1,0, 4, 0,Row,39, 11,105 , 2921 , 29.21,1655914146.6479466 
1,0, 4, 0,Col,39, 11,101 , 2917 , 29.17,1655914146.6479466 

2,0, 4, 0,Row,15, 7,45 , 1837 , 18.37,1655914149.4733167 
2,0, 4, 0,Col,15, 7,42 , 1834 , 18.34,1655914149.4733167 
2,0, 4, 0,Row,70, 0,201 , 201 , 2.01,1655914149.4733167 
2,0, 4, 0,Col,70, 0,198 , 198 , 1.98,1655914149.4733167 
2,0, 4, 0,Row,71, 8,142 , 2190 , 21.9,1655914149.4733167 
2,0, 4, 0,Col,71, 8,139 , 2187 , 21.87,1655914149.4733167 
2,0, 4, 0,Row,71, 6,168 , 1704 , 17.04,1655914149.4733167 
2,0, 4, 0,Col,71, 6,172 , 1708 , 17.08,1655914149.4733167 

3,0, 4, 0,Row,151, 5,182 , 1462 , 14.62,1655914151.2500978 
3,0, 4, 0,Col,151, 5,183 , 1463 , 14.63,1655914151.2500978 
3,0, 4, 0,Row,71, 7,141 , 1933 , 19.33,1655914151.2500978 
3,0, 4, 0,Col,71, 7,141 , 1933 , 19.33,1655914151.2500978 
3,0, 4, 0,Row,77, 2,250 , 762 , 7.62,1655914151.2500978 
3,0, 4, 0,Col,77, 2,246 , 758 , 7.58,1655914151.2500978 
3,0, 4, 0,Row,72, 5,185 , 1465 , 14.65,1655914151.2500978 
3,0, 4, 0,Col,72, 5,188 , 1468 , 14.68,1655914151.2500978 

4,0, 4, 0,Row,6, 10,26 , 2586 , 25.86,1655914152.8457253 
4,0, 4, 0,Col,6, 10,24 , 2584 , 25.84,1655914152.8457253 
4,0, 4, 0,Row,134, 11,81 , 2897 , 28.97,1655914152.8457253 
4,0, 4, 0,Col,134, 11,82 , 2898 , 28.98,1655914152.8457253 

5,0, 4, 0,Row,103, 13,53 , 3381 , 33.81,1655914155.9457123 
5,0, 4, 0,Col,103, 13,51 , 3379 , 33.79,1655914155.9457123 
5,0, 4, 0,Row,204, 9,64 , 2368 , 23.68,1655914155.9457123 
5,0, 4, 0,Row,204, 11,254 , 3070 , 30.7,1655914155.9457123 
5,0, 4, 0,Col,204, 11,253 , 3069 , 30.69,1655914155.9457123 
5,0, 4, 0,Row,156, 1,191 , 447 , 4.47,1655914155.9457123 
5,0, 4, 0,Row,201, 7,87 , 1879 , 18.79,1655914155.9457123 
5,0, 4, 0,Col,201, 9,29 , 2333 , 23.33,1655914155.9457123 
5,0, 4, 0,Row,202, 6,253 , 1789 , 17.89,1655914155.9457123 
5,0, 4, 0,Col,202, 6,253 , 1789 , 17.89,1655914155.9457123 

6,0, 4, 0,Row,131, 8,217 , 2265 , 22.65,1655914160.5574615 
6,0, 4, 0,Col,131, 8,216 , 2264 , 22.64,1655914160.5574615 
6,0, 4, 0,Row,167, 6,6 , 1542 , 15.42,1655914160.5574615 
6,0, 4, 0,Col,167, 6,8 , 1544 , 15.44,1655914160.5574615 
6,0, 4, 0,Row,169, 6,105 , 1641 , 16.41,1655914160.5574615 
6,0, 4, 0,Col,169, 6,107 , 1643 , 16.43,1655914160.5574615 

7,0, 4, 0,Row,37, 4,176 , 1200 , 12.0,1655914161.3498995 
7,0, 4, 0,Col,37, 4,168 , 1192 , 11.92,1655914161.3498995 

8,0, 4, 0,Row,69, 6,45 , 1581 , 15.81,1655914162.1446428 
8,0, 4, 0,Col,69, 6,37 , 1573 , 15.73,1655914162.1446428 

9,0, 4, 0,Row,33, 12,19 , 3091 , 30.91,1655914164.1914327 
9,0, 4, 0,Col,33, 12,14 , 3086 , 30.86,1655914164.1914327 
9,0, 4, 0,Row,7, 6,250 , 1786 , 17.86,1655914164.1914327 
9,0, 4, 0,Col,7, 6,252 , 1788 , 17.88,1655914164.1914327 
9,0, 4, 0,Row,9, 7,251 , 2043 , 20.43,1655914164.1914327 
9,0, 4, 0,Col,9, 7,251 , 2043 , 20.43,1655914164.1914327 
9,0, 4, 0,Row,7, 7,115 , 1907 , 19.07,1655914164.1914327 
9,0, 4, 0,Col,109, 11,12 , 2828 , 28.28,1655914164.1914327 
9,0, 4, 0,Row,109, 9,125 , 2429 , 24.29,1655914164.1914327 
9,0, 4, 0,Col,109, 0,246 , 246 , 2.46,1655914164.1914327 

